           symbol       date          open  date_delta  clusterLabel
0       AAVE/USDT 2022-05-22     91.200000       123.0            -1
1       AAVE/USDT 2022-05-21     90.200000       122.0            -1
2       AAVE/USDT 2022-05-20     91.900000       121.0            -1
3       AAVE/USDT 2022-05-19     81.900000       120.0            -1
4       AAVE/USDT 2022-05-18     92.700000       119.0            -1
5       AAVE/USDT 2022-05-17     84.000000       118.0            -1
6       AAVE/USDT 2022-05-16     92.100000       117.0            -1
7       AAVE/USDT 2022-05-15     86.600000       116.0            -1
8       AAVE/USDT 2022-05-14     82.500000       115.0            -1
9       AAVE/USDT 2022-05-13     77.100000       114.0            -1
10      AAVE/USDT 2022-05-12     82.600000       113.0            -1
11      AAVE/USDT 2022-05-11    105.300000       112.0            -1
12      AAVE/USDT 2022-05-10     99.400000       111.0             0
13      AAVE/USDT 2022-05-09    125.900000       110.0            37
14      AAVE/USDT 2022-05-08    132.200000       109.0            -1
15      AAVE/USDT 2022-05-07    138.400000       108.0            40
16      AAVE/USDT 2022-05-06    141.400000       107.0            40
17      AAVE/USDT 2022-05-05    159.600000       106.0            -1
18      AAVE/USDT 2022-05-04    141.200000       105.0            40
19      AAVE/USDT 2022-05-03    144.300000       104.0            40
20      AAVE/USDT 2022-05-02    146.500000       103.0            40
21      AAVE/USDT 2022-05-01    142.300000       102.0            40
22      AAVE/USDT 2022-04-30    157.300000       101.0            41
23      AAVE/USDT 2022-04-29    166.200000       100.0            42
24      AAVE/USDT 2022-04-28    168.500000        99.0            42
25      AAVE/USDT 2022-04-27    157.900000        98.0            41
26      AAVE/USDT 2022-04-26    168.800000        97.0            42
27      AAVE/USDT 2022-04-25    166.400000        96.0            42
28      AAVE/USDT 2022-04-24    173.400000        95.0            42
29      AAVE/USDT 2022-04-23    176.900000        94.0            -1
30      AAVE/USDT 2022-04-22    173.800000        93.0           344
31      AAVE/USDT 2022-04-21    186.300000        92.0            -1
32      AAVE/USDT 2022-04-20    183.000000        91.0            -1
33      AAVE/USDT 2022-04-19    169.100000        90.0           344
34      AAVE/USDT 2022-04-18    166.700000        89.0           344
35      AAVE/USDT 2022-04-17    172.300000        88.0           344
36      AAVE/USDT 2022-04-16    176.000000        87.0           344
37      AAVE/USDT 2022-04-15    172.100000        86.0           344
38      AAVE/USDT 2022-04-14    178.300000        85.0           344
39      AAVE/USDT 2022-04-13    164.500000        84.0            -1
40      AAVE/USDT 2022-04-12    157.900000        83.0            -1
41      AAVE/USDT 2022-04-11    176.300000        82.0           344
42      AAVE/USDT 2022-04-10    184.900000        81.0            -1
43      AAVE/USDT 2022-04-09    183.300000        80.0            -1
44      AAVE/USDT 2022-04-08    202.200000        79.0            -1
45      AAVE/USDT 2022-04-07    191.200000        78.0            -1
46      AAVE/USDT 2022-04-06    221.100000        77.0           353
47      AAVE/USDT 2022-04-05    237.900000        76.0           355
48      AAVE/USDT 2022-04-04    243.000000        75.0           355
49      AAVE/USDT 2022-04-03    238.100000        74.0           355
50      AAVE/USDT 2022-04-02    244.500000        73.0            -1
51      AAVE/USDT 2022-04-01    207.000000        72.0            -1
52      AAVE/USDT 2022-03-31    223.300000        71.0           353
53      AAVE/USDT 2022-03-30    222.900000        70.0           353
54      AAVE/USDT 2022-03-29    167.700000        69.0           350
55      AAVE/USDT 2022-03-28    169.200000        68.0           350
56      AAVE/USDT 2022-03-27    163.400000        67.0           350
57      AAVE/USDT 2022-03-26    162.500000        66.0           350
58      AAVE/USDT 2022-03-25    168.100000        65.0           350
59      AAVE/USDT 2022-03-24    156.000000        64.0           354
60      AAVE/USDT 2022-03-23    152.900000        63.0           354
61      AAVE/USDT 2022-03-22    153.900000        62.0           354
62      AAVE/USDT 2022-03-21    152.700000        61.0           354
63      AAVE/USDT 2022-03-20    157.200000        60.0           354
64      AAVE/USDT 2022-03-19    160.200000        59.0           354
65      AAVE/USDT 2022-03-18    155.600000        58.0           354
66      AAVE/USDT 2022-03-17    141.700000        57.0            -1
67      AAVE/USDT 2022-03-16    122.000000        56.0            -1
68      AAVE/USDT 2022-03-15    118.300000        55.0            -1
69      AAVE/USDT 2022-03-14    115.600000        54.0            -1
70      AAVE/USDT 2022-03-13    120.400000        53.0            -1
71      AAVE/USDT 2022-03-12    116.700000        52.0            -1
72      AAVE/USDT 2022-03-11    119.200000        51.0            -1
73      AAVE/USDT 2022-03-10    127.500000        50.0            -1
74      AAVE/USDT 2022-03-09    121.700000        49.0            -1
75      AAVE/USDT 2022-03-08    116.800000        48.0            -1
76      AAVE/USDT 2022-03-07    116.700000        47.0            26
77      AAVE/USDT 2022-03-06    124.600000        46.0            -1
78      AAVE/USDT 2022-03-05    124.300000        45.0            -1
79      AAVE/USDT 2022-03-04    129.900000        44.0            -1
80      AAVE/USDT 2022-03-03    137.700000        43.0            -1
81      AAVE/USDT 2022-03-02    143.200000        42.0            -1
82      AAVE/USDT 2022-03-01    145.800000        41.0           343
83      AAVE/USDT 2022-02-28    131.600000        40.0            -1
84      AAVE/USDT 2022-02-27    136.700000        39.0            -1
85      AAVE/USDT 2022-02-26    139.500000        38.0            -1
86      AAVE/USDT 2022-02-25    125.400000        37.0            -1
87      AAVE/USDT 2022-02-24    130.600000        36.0            -1
88      AAVE/USDT 2022-02-23    134.700000        35.0            -1
89      AAVE/USDT 2022-02-22    128.600000        34.0            -1
90      AAVE/USDT 2022-02-21    137.500000        33.0            -1
91      AAVE/USDT 2022-02-20    146.200000        32.0           343
92      AAVE/USDT 2022-02-19    145.500000        31.0           343
93      AAVE/USDT 2022-02-18    153.100000        30.0           343
94      AAVE/USDT 2022-02-17    170.400000        29.0           346
