,symbol,date,open,date_delta,clusterLabel
0,AAVE/USDT,2022-05-22,91.2,123.0,-1
1,AAVE/USDT,2022-05-21,90.2,122.0,-1
2,AAVE/USDT,2022-05-20,91.9,121.0,-1
3,AAVE/USDT,2022-05-19,81.9,120.0,-1
4,AAVE/USDT,2022-05-18,92.7,119.0,-1
5,AAVE/USDT,2022-05-17,84.0,118.0,-1
6,AAVE/USDT,2022-05-16,92.1,117.0,-1
7,AAVE/USDT,2022-05-15,86.6,116.0,-1
8,AAVE/USDT,2022-05-14,82.5,115.0,-1
9,AAVE/USDT,2022-05-13,77.1,114.0,-1
10,AAVE/USDT,2022-05-12,82.6,113.0,-1
11,AAVE/USDT,2022-05-11,105.3,112.0,-1
12,AAVE/USDT,2022-05-10,99.4,111.0,0
13,AAVE/USDT,2022-05-09,125.9,110.0,37
14,AAVE/USDT,2022-05-08,132.2,109.0,-1
15,AAVE/USDT,2022-05-07,138.4,108.0,40
16,AAVE/USDT,2022-05-06,141.4,107.0,40
17,AAVE/USDT,2022-05-05,159.6,106.0,-1
18,AAVE/USDT,2022-05-04,141.2,105.0,40
19,AAVE/USDT,2022-05-03,144.3,104.0,40
20,AAVE/USDT,2022-05-02,146.5,103.0,40
21,AAVE/USDT,2022-05-01,142.3,102.0,40
22,AAVE/USDT,2022-04-30,157.3,101.0,41
23,AAVE/USDT,2022-04-29,166.2,100.0,42
24,AAVE/USDT,2022-04-28,168.5,99.0,42
25,AAVE/USDT,2022-04-27,157.9,98.0,41
26,AAVE/USDT,2022-04-26,168.8,97.0,42
27,AAVE/USDT,2022-04-25,166.4,96.0,42
28,AAVE/USDT,2022-04-24,173.4,95.0,42
29,AAVE/USDT,2022-04-23,176.9,94.0,-1
30,AAVE/USDT,2022-04-22,173.8,93.0,344
31,AAVE/USDT,2022-04-21,186.3,92.0,-1
32,AAVE/USDT,2022-04-20,183.0,91.0,-1
33,AAVE/USDT,2022-04-19,169.1,90.0,344
34,AAVE/USDT,2022-04-18,166.7,89.0,344
35,AAVE/USDT,2022-04-17,172.3,88.0,344
36,AAVE/USDT,2022-04-16,176.0,87.0,344
37,AAVE/USDT,2022-04-15,172.1,86.0,344
38,AAVE/USDT,2022-04-14,178.3,85.0,344
39,AAVE/USDT,2022-04-13,164.5,84.0,-1
