https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume BTC,tradecount
1651795200000,2022-05-06 00:00:00,ETH/BTC,0.07517400,0.07534000,0.07500200,0.07509200,1917.89490000,144.02097252,3419
1651791600000,2022-05-05 23:00:00,ETH/BTC,0.07552200,0.07553300,0.07513700,0.07517400,2885.87980000,217.34582462,4278
1651788000000,2022-05-05 22:00:00,ETH/BTC,0.07511200,0.07552700,0.07509100,0.07552200,3375.32650000,254.24138505,5195
1651784400000,2022-05-05 21:00:00,ETH/BTC,0.07558100,0.07563500,0.07508700,0.07511100,3063.02380000,230.70316537,6144
1651780800000,2022-05-05 20:00:00,ETH/BTC,0.07514100,0.07568400,0.07509300,0.07558100,8261.69960000,623.14634365,10911
1651777200000,2022-05-05 19:00:00,ETH/BTC,0.07500100,0.07571200,0.07497100,0.07514000,13065.56590000,984.32185492,24401
1651773600000,2022-05-05 18:00:00,ETH/BTC,0.07451300,0.07520700,0.07444400,0.07500000,11570.07160000,866.59273318,17098
1651770000000,2022-05-05 17:00:00,ETH/BTC,0.07452100,0.07468400,0.07437700,0.07451400,5450.95580000,406.34341720,7395
1651766400000,2022-05-05 16:00:00,ETH/BTC,0.07431800,0.07453000,0.07410000,0.07452100,7170.28560000,532.67854156,10841
1651762800000,2022-05-05 15:00:00,ETH/BTC,0.07408100,0.07480600,0.07379900,0.07431800,18039.57840000,1343.45490561,27685
1651759200000,2022-05-05 14:00:00,ETH/BTC,0.07422700,0.07438600,0.07392200,0.07407000,9345.45710000,693.51093356,11770
1651755600000,2022-05-05 13:00:00,ETH/BTC,0.07415700,0.07429300,0.07406300,0.07422800,4502.69430000,334.02632267,6073
1651752000000,2022-05-05 12:00:00,ETH/BTC,0.07408000,0.07423100,0.07402700,0.07415700,1796.56030000,133.23801824,3035
1651748400000,2022-05-05 11:00:00,ETH/BTC,0.07411400,0.07415600,0.07402900,0.07408000,1765.60860000,130.82952738,2871
1651744800000,2022-05-05 10:00:00,ETH/BTC,0.07405000,0.07418300,0.07402600,0.07411400,1885.74740000,139.77839211,3312
1651741200000,2022-05-05 09:00:00,ETH/BTC,0.07408600,0.07413300,0.07394100,0.07405100,1769.34320000,130.99240701,2665
1651737600000,2022-05-05 08:00:00,ETH/BTC,0.07412000,0.07414100,0.07385900,0.07408600,2899.44360000,214.63976976,4625
1651734000000,2022-05-05 07:00:00,ETH/BTC,0.07405600,0.07416500,0.07403000,0.07411900,1924.54210000,142.62617553,2950
1651730400000,2022-05-05 06:00:00,ETH/BTC,0.07402100,0.07411800,0.07399500,0.07405600,1768.01980000,130.95605947,2466
1651726800000,2022-05-05 05:00:00,ETH/BTC,0.07410200,0.07410700,0.07398000,0.07402100,1949.69620000,144.39105382,3225
1651723200000,2022-05-05 04:00:00,ETH/BTC,0.07404800,0.07415100,0.07402200,0.07410200,1032.99930000,76.53732459,1755
1651719600000,2022-05-05 03:00:00,ETH/BTC,0.07411000,0.07413100,0.07402000,0.07404900,1589.50040000,117.72310817,2645
1651716000000,2022-05-05 02:00:00,ETH/BTC,0.07420900,0.07437300,0.07410900,0.07410900,2136.20210000,158.56955426,3301
1651712400000,2022-05-05 01:00:00,ETH/BTC,0.07420600,0.07436400,0.07420100,0.07420900,1736.54760000,128.96542208,3124
1651708800000,2022-05-05 00:00:00,ETH/BTC,0.07409400,0.07450000,0.07407600,0.07420600,4006.26600000,297.64128005,8009
1651705200000,2022-05-04 23:00:00,ETH/BTC,0.07371200,0.07425200,0.07364500,0.07409300,3761.68760000,278.56241313,5476
1651701600000,2022-05-04 22:00:00,ETH/BTC,0.07385400,0.07390800,0.07363900,0.07371200,2811.97190000,207.41513205,4788
1651698000000,2022-05-04 21:00:00,ETH/BTC,0.07399500,0.07411600,0.07383200,0.07385300,2004.75660000,148.29480502,3850
1651694400000,2022-05-04 20:00:00,ETH/BTC,0.07414900,0.07417000,0.07396500,0.07398900,2797.82720000,207.16886208,4533
1651690800000,2022-05-04 19:00:00,ETH/BTC,0.07408100,0.07433300,0.07393500,0.07414900,7699.17750000,570.94784071,11677
1651687200000,2022-05-04 18:00:00,ETH/BTC,0.07316200,0.07423000,0.07300100,0.07408100,11190.02500000,822.62409226,21070
1651683600000,2022-05-04 17:00:00,ETH/BTC,0.07292500,0.07316200,0.07289500,0.07316200,3410.23040000,248.97885864,5430
1651680000000,2022-05-04 16:00:00,ETH/BTC,0.07297800,0.07313900,0.07285100,0.07292500,5029.15410000,366.94154649,6931
1651676400000,2022-05-04 15:00:00,ETH/BTC,0.07317500,0.07318000,0.07295100,0.07297800,4353.80230000,318.02916483,7107
1651672800000,2022-05-04 14:00:00,ETH/BTC,0.07328700,0.07334400,0.07314500,0.07317500,2831.08420000,207.31616240,4774
1651669200000,2022-05-04 13:00:00,ETH/BTC,0.07339700,0.07349900,0.07316800,0.07328800,3578.16110000,262.50307838,6199
1651665600000,2022-05-04 12:00:00,ETH/BTC,0.07360400,0.07366700,0.07331400,0.07339800,3716.58590000,273.03518609,6386
1651662000000,2022-05-04 11:00:00,ETH/BTC,0.07346100,0.07392000,0.07339700,0.07360400,4168.08220000,307.06833991,8798
1651658400000,2022-05-04 10:00:00,ETH/BTC,0.07284900,0.07351300,0.07277900,0.07346100,4566.41610000,334.39538650,8357
