https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STX,Volume BTC,tradecount
1651795200000,2022-05-06 00:00:00,STX/BTC,0.00002411,0.00002440,0.00002411,0.00002418,9174.70000000,0.22297940,129
1651708800000,2022-05-05 00:00:00,STX/BTC,0.00002486,0.00002521,0.00002405,0.00002413,411182.40000000,10.10161379,1895
1651622400000,2022-05-04 00:00:00,STX/BTC,0.00002431,0.00002507,0.00002383,0.00002483,219739.20000000,5.36092636,1440
1651536000000,2022-05-03 00:00:00,STX/BTC,0.00002443,0.00002493,0.00002410,0.00002426,127670.50000000,3.12327613,709
1651449600000,2022-05-02 00:00:00,STX/BTC,0.00002454,0.00002628,0.00002382,0.00002444,529168.60000000,13.04510845,2388
1651363200000,2022-05-01 00:00:00,STX/BTC,0.00002439,0.00002483,0.00002380,0.00002462,320096.40000000,7.79624390,1178
1651276800000,2022-04-30 00:00:00,STX/BTC,0.00002610,0.00002610,0.00002433,0.00002433,259898.20000000,6.57732164,1165
1651190400000,2022-04-29 00:00:00,STX/BTC,0.00002644,0.00002812,0.00002575,0.00002607,476402.90000000,12.71314059,2242
1651104000000,2022-04-28 00:00:00,STX/BTC,0.00002673,0.00002732,0.00002618,0.00002635,246649.70000000,6.58408667,1170
1651017600000,2022-04-27 00:00:00,STX/BTC,0.00002699,0.00002730,0.00002663,0.00002675,208558.40000000,5.60663278,846
1650931200000,2022-04-26 00:00:00,STX/BTC,0.00002747,0.00002782,0.00002687,0.00002703,221336.80000000,6.02777992,1277
1650844800000,2022-04-25 00:00:00,STX/BTC,0.00002838,0.00002838,0.00002696,0.00002751,271048.20000000,7.43163606,1447
1650758400000,2022-04-24 00:00:00,STX/BTC,0.00002853,0.00003058,0.00002822,0.00002831,393222.60000000,11.47808505,2272
1650672000000,2022-04-23 00:00:00,STX/BTC,0.00002874,0.00002881,0.00002839,0.00002853,64314.50000000,1.83608137,407
1650585600000,2022-04-22 00:00:00,STX/BTC,0.00002834,0.00002938,0.00002831,0.00002874,92910.90000000,2.67093040,1065
1650499200000,2022-04-21 00:00:00,STX/BTC,0.00002864,0.00002888,0.00002810,0.00002836,165638.70000000,4.70988220,1043
1650412800000,2022-04-20 00:00:00,STX/BTC,0.00002950,0.00002950,0.00002836,0.00002863,282948.10000000,8.19428368,1373
1650326400000,2022-04-19 00:00:00,STX/BTC,0.00002959,0.00003040,0.00002927,0.00002950,224210.60000000,6.64528196,1503
1650240000000,2022-04-18 00:00:00,STX/BTC,0.00002847,0.00003328,0.00002782,0.00002975,1845377.20000000,57.55667916,10160
1650153600000,2022-04-17 00:00:00,STX/BTC,0.00002904,0.00002932,0.00002840,0.00002846,96079.30000000,2.77042471,677
1650067200000,2022-04-16 00:00:00,STX/BTC,0.00002920,0.00002922,0.00002870,0.00002905,92306.50000000,2.67655150,532
1649980800000,2022-04-15 00:00:00,STX/BTC,0.00002967,0.00002985,0.00002900,0.00002924,138438.80000000,4.05604780,739
1649894400000,2022-04-14 00:00:00,STX/BTC,0.00002927,0.00003108,0.00002922,0.00002965,275388.70000000,8.26087385,1808
1649808000000,2022-04-13 00:00:00,STX/BTC,0.00002881,0.00002999,0.00002868,0.00002931,240055.40000000,7.06408906,1320
1649721600000,2022-04-12 00:00:00,STX/BTC,0.00002837,0.00002921,0.00002833,0.00002885,166413.00000000,4.79104962,979
1649635200000,2022-04-11 00:00:00,STX/BTC,0.00002908,0.00002935,0.00002770,0.00002833,236702.30000000,6.70403262,1433
1649548800000,2022-04-10 00:00:00,STX/BTC,0.00002993,0.00002996,0.00002906,0.00002906,180866.60000000,5.33058596,1171
1649462400000,2022-04-09 00:00:00,STX/BTC,0.00002924,0.00003164,0.00002918,0.00002986,310479.40000000,9.44738690,1947
1649376000000,2022-04-08 00:00:00,STX/BTC,0.00002988,0.00003008,0.00002875,0.00002922,214111.00000000,6.27342160,1356
1649289600000,2022-04-07 00:00:00,STX/BTC,0.00002915,0.00002995,0.00002875,0.00002992,153861.40000000,4.52949719,1314
1649203200000,2022-04-06 00:00:00,STX/BTC,0.00003082,0.00003123,0.00002889,0.00002913,400512.90000000,11.87521010,2438
1649116800000,2022-04-05 00:00:00,STX/BTC,0.00003130,0.00003144,0.00003074,0.00003084,303167.30000000,9.40811785,1474
1649030400000,2022-04-04 00:00:00,STX/BTC,0.00003295,0.00003317,0.00003106,0.00003130,177232.10000000,5.64774396,1678
1648944000000,2022-04-03 00:00:00,STX/BTC,0.00003256,0.00003419,0.00003200,0.00003295,438385.60000000,14.43348729,2681
1648857600000,2022-04-02 00:00:00,STX/BTC,0.00003162,0.00003330,0.00003149,0.00003241,1281446.40000000,41.28350289,4078
1648771200000,2022-04-01 00:00:00,STX/BTC,0.00003168,0.00003215,0.00003101,0.00003155,299148.20000000,9.39688532,1744
1648684800000,2022-03-31 00:00:00,STX/BTC,0.00003223,0.00003336,0.00003103,0.00003162,527167.60000000,16.99862599,2947
1648598400000,2022-03-30 00:00:00,STX/BTC,0.00003063,0.00003314,0.00003020,0.00003221,501586.90000000,15.90690866,3308
1648512000000,2022-03-29 00:00:00,STX/BTC,0.00003009,0.00003177,0.00002997,0.00003060,400712.40000000,12.37066383,2275
1648425600000,2022-03-28 00:00:00,STX/BTC,0.00003083,0.00003182,0.00003010,0.00003010,1014782.50000000,31.47467624,2920
1648339200000,2022-03-27 00:00:00,STX/BTC,0.00003061,0.00003230,0.00003026,0.00003080,716110.90000000,22.39081788,2932
1648252800000,2022-03-26 00:00:00,STX/BTC,0.00003030,0.00003080,0.00003007,0.00003057,374801.10000000,11.39288140,1107
1648166400000,2022-03-25 00:00:00,STX/BTC,0.00003120,0.00003163,0.00003000,0.00003032,532673.60000000,16.30090845,1765
1648080000000,2022-03-24 00:00:00,STX/BTC,0.00003121,0.00003178,0.00003099,0.00003116,361709.20000000,11.34957622,1561
1647993600000,2022-03-23 00:00:00,STX/BTC,0.00003081,0.00003500,0.00003055,0.00003120,1036169.40000000,33.30836134,4246
1647907200000,2022-03-22 00:00:00,STX/BTC,0.00003160,0.00003172,0.00003041,0.00003082,163202.60000000,5.03529790,1352
1647820800000,2022-03-21 00:00:00,STX/BTC,0.00003052,0.00003212,0.00003052,0.00003169,449082.30000000,14.13937689,2588
1647734400000,2022-03-20 00:00:00,STX/BTC,0.00003105,0.00003119,0.00003050,0.00003055,215675.40000000,6.63584470,1279
1647648000000,2022-03-19 00:00:00,STX/BTC,0.00003092,0.00003173,0.00003083,0.00003113,429059.80000000,13.41386115,2095
1647561600000,2022-03-18 00:00:00,STX/BTC,0.00003110,0.00003369,0.00003034,0.00003101,727830.40000000,22.96326202,3952
1647475200000,2022-03-17 00:00:00,STX/BTC,0.00003101,0.00003111,0.00003043,0.00003111,296099.90000000,9.08396691,1580
1647388800000,2022-03-16 00:00:00,STX/BTC,0.00003107,0.00003230,0.00003024,0.00003100,443968.60000000,13.70761014,2258
1647302400000,2022-03-15 00:00:00,STX/BTC,0.00003210,0.00003226,0.00003093,0.00003108,385155.80000000,12.11154557,1389
1647216000000,2022-03-14 00:00:00,STX/BTC,0.00003236,0.00003470,0.00003146,0.00003202,636092.70000000,20.56004852,2848
1647129600000,2022-03-13 00:00:00,STX/BTC,0.00003409,0.00003420,0.00003217,0.00003236,687883.20000000,22.63314643,2503
1647043200000,2022-03-12 00:00:00,STX/BTC,0.00003496,0.00003639,0.00003328,0.00003410,868951.70000000,29.97773944,4419
1646956800000,2022-03-11 00:00:00,STX/BTC,0.00003801,0.00004180,0.00003409,0.00003505,5741545.60000000,211.82920442,29242
1646870400000,2022-03-10 00:00:00,STX/BTC,0.00002675,0.00004960,0.00002665,0.00003796,7550990.70000000,293.98741335,44391
1646784000000,2022-03-09 00:00:00,STX/BTC,0.00002743,0.00002773,0.00002641,0.00002679,207056.30000000,5.57091443,1035
1646697600000,2022-03-08 00:00:00,STX/BTC,0.00002760,0.00002766,0.00002725,0.00002740,161380.30000000,4.42085498,705
1646611200000,2022-03-07 00:00:00,STX/BTC,0.00002803,0.00002809,0.00002738,0.00002758,299894.30000000,8.31430880,1174
1646524800000,2022-03-06 00:00:00,STX/BTC,0.00002879,0.00002879,0.00002787,0.00002803,248170.10000000,6.99249390,1074
1646438400000,2022-03-05 00:00:00,STX/BTC,0.00002842,0.00002889,0.00002812,0.00002877,144198.60000000,4.11870175,710
1646352000000,2022-03-04 00:00:00,STX/BTC,0.00002827,0.00002852,0.00002758,0.00002843,200923.40000000,5.61978761,1125
1646265600000,2022-03-03 00:00:00,STX/BTC,0.00002816,0.00002882,0.00002786,0.00002827,258318.00000000,7.29044543,1439
1646179200000,2022-03-02 00:00:00,STX/BTC,0.00002886,0.00002891,0.00002787,0.00002821,380185.90000000,10.75451659,1617
1646092800000,2022-03-01 00:00:00,STX/BTC,0.00002889,0.00002903,0.00002810,0.00002895,266920.80000000,7.62869735,1630
1646006400000,2022-02-28 00:00:00,STX/BTC,0.00002963,0.00003017,0.00002831,0.00002888,518500.80000000,15.26932425,2483
1645920000000,2022-02-27 00:00:00,STX/BTC,0.00003032,0.00003036,0.00002954,0.00002963,289554.40000000,8.66998152,1852
1645833600000,2022-02-26 00:00:00,STX/BTC,0.00002963,0.00003045,0.00002957,0.00003036,390804.80000000,11.73766738,1662
1645747200000,2022-02-25 00:00:00,STX/BTC,0.00002903,0.00002998,0.00002898,0.00002961,294025.20000000,8.61649619,1632
1645660800000,2022-02-24 00:00:00,STX/BTC,0.00003055,0.00003082,0.00002821,0.00002903,811527.80000000,23.66527296,2719
1645574400000,2022-02-23 00:00:00,STX/BTC,0.00003030,0.00003270,0.00002999,0.00003053,331736.80000000,10.31239696,1352
1645488000000,2022-02-22 00:00:00,STX/BTC,0.00002999,0.00003038,0.00002866,0.00003038,522244.60000000,15.29943541,1457
1645401600000,2022-02-21 00:00:00,STX/BTC,0.00003208,0.00003257,0.00002996,0.00003000,437840.00000000,13.86733772,1438
1645315200000,2022-02-20 00:00:00,STX/BTC,0.00003284,0.00003289,0.00003168,0.00003205,245078.00000000,7.89744860,999
1645228800000,2022-02-19 00:00:00,STX/BTC,0.00003339,0.00003348,0.00003198,0.00003283,233582.10000000,7.66282305,969
1645142400000,2022-02-18 00:00:00,STX/BTC,0.00003430,0.00003487,0.00003321,0.00003350,401376.30000000,13.61027191,1532
1645056000000,2022-02-17 00:00:00,STX/BTC,0.00003528,0.00003536,0.00003384,0.00003441,375606.00000000,12.93044911,1812
1644969600000,2022-02-16 00:00:00,STX/BTC,0.00003568,0.00003569,0.00003452,0.00003533,247705.20000000,8.69565791,1492
1644883200000,2022-02-15 00:00:00,STX/BTC,0.00003451,0.00003701,0.00003417,0.00003557,700688.90000000,24.94701461,4000
1644796800000,2022-02-14 00:00:00,STX/BTC,0.00003437,0.00003453,0.00003315,0.00003451,474016.60000000,15.95778619,1961
1644710400000,2022-02-13 00:00:00,STX/BTC,0.00003589,0.00003615,0.00003434,0.00003439,347372.70000000,12.24239033,1584
1644624000000,2022-02-12 00:00:00,STX/BTC,0.00003569,0.00003590,0.00003408,0.00003583,435292.90000000,15.14032357,2241
1644537600000,2022-02-11 00:00:00,STX/BTC,0.00003727,0.00003750,0.00003530,0.00003562,592010.60000000,21.84533928,2869
1644451200000,2022-02-10 00:00:00,STX/BTC,0.00003886,0.00004021,0.00003691,0.00003723,711677.70000000,27.46019620,3468
1644364800000,2022-02-09 00:00:00,STX/BTC,0.00003833,0.00003924,0.00003743,0.00003879,2359675.90000000,90.09787281,5132
1644278400000,2022-02-08 00:00:00,STX/BTC,0.00003915,0.00004059,0.00003631,0.00003836,1061813.30000000,40.00460570,5058
1644192000000,2022-02-07 00:00:00,STX/BTC,0.00003956,0.00004069,0.00003893,0.00003916,548742.10000000,21.68924728,2950
1644105600000,2022-02-06 00:00:00,STX/BTC,0.00003807,0.00004065,0.00003807,0.00003957,370598.10000000,14.66140573,2993
1644019200000,2022-02-05 00:00:00,STX/BTC,0.00003700,0.00003919,0.00003678,0.00003810,358476.20000000,13.70902140,2393
1643932800000,2022-02-04 00:00:00,STX/BTC,0.00003815,0.00003888,0.00003681,0.00003702,546925.10000000,20.66144200,2110
1643846400000,2022-02-03 00:00:00,STX/BTC,0.00003810,0.00003871,0.00003713,0.00003814,752732.60000000,28.45423758,3271
1643760000000,2022-02-02 00:00:00,STX/BTC,0.00003853,0.00003966,0.00003796,0.00003796,579483.60000000,22.44376835,2646
1643673600000,2022-02-01 00:00:00,STX/BTC,0.00003889,0.00003982,0.00003813,0.00003846,245328.40000000,9.55303038,1789
1643587200000,2022-01-31 00:00:00,STX/BTC,0.00003930,0.00004029,0.00003843,0.00003889,629697.30000000,24.62010031,2858
1643500800000,2022-01-30 00:00:00,STX/BTC,0.00003962,0.00004090,0.00003885,0.00003936,531679.30000000,21.09616118,2921
1643414400000,2022-01-29 00:00:00,STX/BTC,0.00003875,0.00004154,0.00003868,0.00003972,1911091.90000000,77.16158377,4416
1643328000000,2022-01-28 00:00:00,STX/BTC,0.00003743,0.00004000,0.00003726,0.00003871,602974.50000000,23.33248053,3336
1643241600000,2022-01-27 00:00:00,STX/BTC,0.00003742,0.00003912,0.00003674,0.00003750,628841.30000000,23.84504545,3033
