https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALGO,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,ALGO/USDT,0.43500000,0.43520000,0.43010000,0.43350000,644225.00000000,278494.42570000,1070
1653174000000,2022-05-21 23:00:00,ALGO/USDT,0.43480000,0.43600000,0.43230000,0.43500000,1253696.00000000,543888.47610000,2358
1653170400000,2022-05-21 22:00:00,ALGO/USDT,0.42590000,0.43560000,0.42500000,0.43480000,1502894.00000000,647613.94900000,2713
1653166800000,2022-05-21 21:00:00,ALGO/USDT,0.42900000,0.43300000,0.42580000,0.42610000,1262865.00000000,542156.21040000,2089
1653163200000,2022-05-21 20:00:00,ALGO/USDT,0.43170000,0.43600000,0.42710000,0.42890000,1809354.00000000,779084.96380000,3296
1653159600000,2022-05-21 19:00:00,ALGO/USDT,0.43650000,0.43930000,0.43000000,0.43170000,2018683.00000000,875288.40510000,3329
1653156000000,2022-05-21 18:00:00,ALGO/USDT,0.43540000,0.43720000,0.43400000,0.43660000,1010553.00000000,440118.45740000,1725
1653152400000,2022-05-21 17:00:00,ALGO/USDT,0.43970000,0.44100000,0.43380000,0.43530000,1684609.00000000,735496.39820000,2851
1653148800000,2022-05-21 16:00:00,ALGO/USDT,0.43790000,0.44390000,0.43650000,0.43970000,2517086.00000000,1106808.18860000,4594
1653145200000,2022-05-21 15:00:00,ALGO/USDT,0.43250000,0.43860000,0.42920000,0.43800000,2702434.00000000,1172264.58550000,4662
1653141600000,2022-05-21 14:00:00,ALGO/USDT,0.42990000,0.43430000,0.42660000,0.43250000,1669348.00000000,718809.57240000,2718
1653138000000,2022-05-21 13:00:00,ALGO/USDT,0.42760000,0.43370000,0.42570000,0.42990000,1557295.00000000,668997.86750000,2598
1653134400000,2022-05-21 12:00:00,ALGO/USDT,0.42660000,0.42920000,0.42370000,0.42750000,1295771.00000000,552819.86090000,2250
1653130800000,2022-05-21 11:00:00,ALGO/USDT,0.42740000,0.42830000,0.42310000,0.42670000,1602522.00000000,682917.19330000,2644
1653127200000,2022-05-21 10:00:00,ALGO/USDT,0.42870000,0.43140000,0.42650000,0.42740000,979887.00000000,419698.65690000,1878
1653123600000,2022-05-21 09:00:00,ALGO/USDT,0.42910000,0.42980000,0.42660000,0.42860000,1238262.00000000,530202.47340000,1931
1653120000000,2022-05-21 08:00:00,ALGO/USDT,0.43200000,0.43550000,0.42850000,0.42910000,1374481.00000000,592930.31370000,2417
1653116400000,2022-05-21 07:00:00,ALGO/USDT,0.43040000,0.43460000,0.42870000,0.43220000,1470947.00000000,635472.99570000,2506
1653112800000,2022-05-21 06:00:00,ALGO/USDT,0.42770000,0.43180000,0.42760000,0.43030000,1276963.00000000,548901.27560000,2164
1653109200000,2022-05-21 05:00:00,ALGO/USDT,0.43220000,0.43330000,0.42630000,0.42740000,1719251.00000000,738196.62240000,3324
1653105600000,2022-05-21 04:00:00,ALGO/USDT,0.43420000,0.43570000,0.43050000,0.43240000,1084350.00000000,469375.59760000,2269
1653102000000,2022-05-21 03:00:00,ALGO/USDT,0.43330000,0.43570000,0.42690000,0.43430000,1354033.00000000,584161.49930000,2909
1653098400000,2022-05-21 02:00:00,ALGO/USDT,0.42750000,0.43470000,0.42540000,0.43300000,1354178.00000000,583779.80300000,2991
1653094800000,2022-05-21 01:00:00,ALGO/USDT,0.43020000,0.43110000,0.42140000,0.42740000,1711013.00000000,728762.44400000,4037
1653091200000,2022-05-21 00:00:00,ALGO/USDT,0.43320000,0.43620000,0.42670000,0.43010000,1787568.00000000,771744.21010000,4081
1653087600000,2022-05-20 23:00:00,ALGO/USDT,0.43600000,0.44300000,0.43280000,0.43350000,1921239.00000000,839570.02780000,4018
1653084000000,2022-05-20 22:00:00,ALGO/USDT,0.43500000,0.44190000,0.43450000,0.43590000,2061374.00000000,904540.49760000,3892
1653080400000,2022-05-20 21:00:00,ALGO/USDT,0.43360000,0.44000000,0.43350000,0.43500000,567345.00000000,247625.87960000,1489
1653076800000,2022-05-20 20:00:00,ALGO/USDT,0.43630000,0.44110000,0.43250000,0.43380000,1612734.00000000,705201.78950000,3333
1653073200000,2022-05-20 19:00:00,ALGO/USDT,0.42800000,0.43760000,0.42590000,0.43590000,1365732.00000000,590284.96900000,3061
1653069600000,2022-05-20 18:00:00,ALGO/USDT,0.42840000,0.42930000,0.42330000,0.42780000,1166784.00000000,496676.46580000,2590
1653066000000,2022-05-20 17:00:00,ALGO/USDT,0.42200000,0.42900000,0.42030000,0.42850000,1859867.00000000,788933.75320000,3998
1653062400000,2022-05-20 16:00:00,ALGO/USDT,0.42840000,0.42870000,0.41990000,0.42220000,2457103.00000000,1039553.01600000,5506
1653058800000,2022-05-20 15:00:00,ALGO/USDT,0.43460000,0.43460000,0.42550000,0.42830000,2732327.00000000,1175148.05850000,5730
1653055200000,2022-05-20 14:00:00,ALGO/USDT,0.44780000,0.44790000,0.43260000,0.43470000,3215639.00000000,1408550.80030000,7299
1653051600000,2022-05-20 13:00:00,ALGO/USDT,0.44700000,0.45060000,0.44100000,0.44770000,2271523.00000000,1012619.39600000,4920
1653048000000,2022-05-20 12:00:00,ALGO/USDT,0.45260000,0.45420000,0.44240000,0.44720000,1501448.00000000,673121.06830000,3486
1653044400000,2022-05-20 11:00:00,ALGO/USDT,0.45270000,0.45410000,0.44680000,0.45250000,3073060.00000000,1386518.58870000,5162
1653040800000,2022-05-20 10:00:00,ALGO/USDT,0.44630000,0.45310000,0.44630000,0.45270000,1246586.00000000,560491.65030000,2888
1653037200000,2022-05-20 09:00:00,ALGO/USDT,0.44280000,0.44940000,0.44000000,0.44620000,1545881.00000000,688440.87040000,2922
1653033600000,2022-05-20 08:00:00,ALGO/USDT,0.44370000,0.44880000,0.44160000,0.44280000,2216357.00000000,987352.33080000,4390
1653030000000,2022-05-20 07:00:00,ALGO/USDT,0.43980000,0.44540000,0.43630000,0.44380000,1981325.00000000,874166.74940000,4048
1653026400000,2022-05-20 06:00:00,ALGO/USDT,0.44830000,0.44950000,0.43300000,0.43980000,3027842.00000000,1329684.89850000,5669
1653022800000,2022-05-20 05:00:00,ALGO/USDT,0.44230000,0.45150000,0.43970000,0.44860000,2024779.00000000,901049.09280000,3514
1653019200000,2022-05-20 04:00:00,ALGO/USDT,0.44510000,0.44850000,0.43730000,0.44270000,2065161.00000000,914112.07330000,3443
1653015600000,2022-05-20 03:00:00,ALGO/USDT,0.44800000,0.44910000,0.43870000,0.44510000,1986234.00000000,879599.42020000,3809
1653012000000,2022-05-20 02:00:00,ALGO/USDT,0.45330000,0.45340000,0.44560000,0.44800000,1566286.00000000,702428.96360000,2734
1653008400000,2022-05-20 01:00:00,ALGO/USDT,0.44780000,0.45930000,0.44370000,0.45330000,2707142.00000000,1224246.59840000,5748
1653004800000,2022-05-20 00:00:00,ALGO/USDT,0.45150000,0.45170000,0.44290000,0.44810000,2265391.00000000,1013195.68810000,4613
1653001200000,2022-05-19 23:00:00,ALGO/USDT,0.43990000,0.45170000,0.43890000,0.45160000,2868163.00000000,1279137.43930000,6154
1652997600000,2022-05-19 22:00:00,ALGO/USDT,0.43990000,0.44000000,0.43180000,0.43990000,1779042.00000000,775048.51620000,3632
1652994000000,2022-05-19 21:00:00,ALGO/USDT,0.44180000,0.44430000,0.43810000,0.44000000,1043714.00000000,460627.51420000,2659
1652990400000,2022-05-19 20:00:00,ALGO/USDT,0.43280000,0.44260000,0.43240000,0.44190000,1562384.00000000,683517.20770000,3250
1652986800000,2022-05-19 19:00:00,ALGO/USDT,0.43530000,0.44080000,0.43180000,0.43270000,2730962.00000000,1187364.86160000,5421
1652983200000,2022-05-19 18:00:00,ALGO/USDT,0.44750000,0.44980000,0.43360000,0.43540000,6115900.00000000,2693573.25390000,10291
1652979600000,2022-05-19 17:00:00,ALGO/USDT,0.45400000,0.45580000,0.44510000,0.44740000,2123962.00000000,954200.16950000,4602
1652976000000,2022-05-19 16:00:00,ALGO/USDT,0.45840000,0.46050000,0.45070000,0.45380000,1623920.00000000,740142.26910000,4337
1652972400000,2022-05-19 15:00:00,ALGO/USDT,0.45210000,0.46400000,0.45020000,0.45820000,2725525.00000000,1248833.60060000,7094
1652968800000,2022-05-19 14:00:00,ALGO/USDT,0.44860000,0.45940000,0.44570000,0.45200000,2419243.00000000,1094940.95670000,6522
1652965200000,2022-05-19 13:00:00,ALGO/USDT,0.44750000,0.45730000,0.44300000,0.44850000,2200648.00000000,992075.50230000,5293
1652961600000,2022-05-19 12:00:00,ALGO/USDT,0.45090000,0.45390000,0.44530000,0.44740000,2347301.00000000,1054633.60590000,3887
1652958000000,2022-05-19 11:00:00,ALGO/USDT,0.43390000,0.45270000,0.43070000,0.45050000,2442003.00000000,1075220.27940000,5426
1652954400000,2022-05-19 10:00:00,ALGO/USDT,0.43000000,0.43650000,0.42820000,0.43370000,1877214.00000000,813109.77010000,3500
1652950800000,2022-05-19 09:00:00,ALGO/USDT,0.42790000,0.43220000,0.42580000,0.43000000,1354406.00000000,581332.11140000,2774
1652947200000,2022-05-19 08:00:00,ALGO/USDT,0.43950000,0.44160000,0.42750000,0.42750000,1963287.00000000,851744.98040000,3996
1652943600000,2022-05-19 07:00:00,ALGO/USDT,0.44550000,0.44620000,0.43610000,0.43970000,1610269.00000000,709832.05390000,3213
1652940000000,2022-05-19 06:00:00,ALGO/USDT,0.43640000,0.44660000,0.43640000,0.44550000,1888071.00000000,836415.01710000,3571
1652936400000,2022-05-19 05:00:00,ALGO/USDT,0.44110000,0.44300000,0.43520000,0.43640000,1736133.00000000,761476.58950000,2828
1652932800000,2022-05-19 04:00:00,ALGO/USDT,0.44180000,0.44610000,0.44100000,0.44120000,939759.00000000,416793.09280000,2169
1652929200000,2022-05-19 03:00:00,ALGO/USDT,0.43890000,0.44530000,0.43780000,0.44180000,1261661.00000000,557961.29470000,3323
1652925600000,2022-05-19 02:00:00,ALGO/USDT,0.42580000,0.44120000,0.42110000,0.43930000,2731442.00000000,1176928.93720000,6193
1652922000000,2022-05-19 01:00:00,ALGO/USDT,0.43800000,0.44220000,0.42330000,0.42570000,1573632.00000000,682739.36780000,4421
1652918400000,2022-05-19 00:00:00,ALGO/USDT,0.43360000,0.44450000,0.43330000,0.43790000,2015062.00000000,886724.74440000,5253
1652914800000,2022-05-18 23:00:00,ALGO/USDT,0.44830000,0.45330000,0.43120000,0.43340000,3430712.00000000,1509202.69040000,7104
1652911200000,2022-05-18 22:00:00,ALGO/USDT,0.44850000,0.45410000,0.44580000,0.44830000,1093705.00000000,491633.78350000,3022
1652907600000,2022-05-18 21:00:00,ALGO/USDT,0.45180000,0.45260000,0.44540000,0.44840000,900450.00000000,404995.94450000,2045
1652904000000,2022-05-18 20:00:00,ALGO/USDT,0.45590000,0.45650000,0.44650000,0.45190000,2061460.00000000,929313.33330000,4420
1652900400000,2022-05-18 19:00:00,ALGO/USDT,0.44980000,0.45770000,0.44980000,0.45590000,1606203.00000000,729337.98250000,4215
1652896800000,2022-05-18 18:00:00,ALGO/USDT,0.44490000,0.45080000,0.44140000,0.44940000,1904246.00000000,851730.41190000,4739
1652893200000,2022-05-18 17:00:00,ALGO/USDT,0.44890000,0.44970000,0.44320000,0.44480000,1375580.00000000,613873.17710000,3590
1652889600000,2022-05-18 16:00:00,ALGO/USDT,0.44300000,0.45330000,0.43930000,0.44900000,3102509.00000000,1382655.01210000,8197
1652886000000,2022-05-18 15:00:00,ALGO/USDT,0.45150000,0.45150000,0.43920000,0.44280000,2946218.00000000,1307017.90530000,7582
1652882400000,2022-05-18 14:00:00,ALGO/USDT,0.45220000,0.45700000,0.44550000,0.45150000,2415566.00000000,1091328.94620000,5912
1652878800000,2022-05-18 13:00:00,ALGO/USDT,0.46060000,0.46350000,0.44950000,0.45220000,3531348.00000000,1609052.47780000,7899
1652875200000,2022-05-18 12:00:00,ALGO/USDT,0.47270000,0.47400000,0.45910000,0.46080000,1996409.00000000,934243.78050000,4682
1652871600000,2022-05-18 11:00:00,ALGO/USDT,0.47700000,0.47920000,0.47000000,0.47250000,2229764.00000000,1056743.89690000,5333
1652868000000,2022-05-18 10:00:00,ALGO/USDT,0.47900000,0.48530000,0.47510000,0.47710000,1297357.00000000,623375.52270000,3317
1652864400000,2022-05-18 09:00:00,ALGO/USDT,0.48330000,0.48360000,0.47410000,0.47890000,2671207.00000000,1275598.43070000,5597
1652860800000,2022-05-18 08:00:00,ALGO/USDT,0.48090000,0.49460000,0.48040000,0.48320000,3053006.00000000,1482835.42950000,7439
1652857200000,2022-05-18 07:00:00,ALGO/USDT,0.47580000,0.48260000,0.47390000,0.48060000,1379011.00000000,659742.49330000,2931
1652853600000,2022-05-18 06:00:00,ALGO/USDT,0.47980000,0.48540000,0.47530000,0.47560000,2478401.00000000,1190921.49800000,5041
1652850000000,2022-05-18 05:00:00,ALGO/USDT,0.47430000,0.48000000,0.47310000,0.47980000,955066.00000000,455541.60570000,2538
1652846400000,2022-05-18 04:00:00,ALGO/USDT,0.47290000,0.47590000,0.47230000,0.47450000,870652.00000000,412815.61760000,2170
1652842800000,2022-05-18 03:00:00,ALGO/USDT,0.48970000,0.48970000,0.47280000,0.47300000,1915795.00000000,917622.87640000,5508
1652839200000,2022-05-18 02:00:00,ALGO/USDT,0.48290000,0.48980000,0.48180000,0.48970000,729583.00000000,354643.63490000,2204
1652835600000,2022-05-18 01:00:00,ALGO/USDT,0.49400000,0.49450000,0.48160000,0.48300000,1256848.00000000,613028.47680000,3661
1652832000000,2022-05-18 00:00:00,ALGO/USDT,0.49500000,0.50430000,0.49310000,0.49400000,1429520.00000000,713993.67410000,4272
1652828400000,2022-05-17 23:00:00,ALGO/USDT,0.49800000,0.49990000,0.49440000,0.49500000,1338831.00000000,664870.22450000,3732
1652824800000,2022-05-17 22:00:00,ALGO/USDT,0.49560000,0.50110000,0.49280000,0.49800000,1742525.00000000,866136.69780000,4768
1652821200000,2022-05-17 21:00:00,ALGO/USDT,0.47890000,0.49720000,0.47880000,0.49540000,1079170.00000000,525399.52010000,3501
1652817600000,2022-05-17 20:00:00,ALGO/USDT,0.48190000,0.48780000,0.47890000,0.47890000,1216659.00000000,587699.91980000,3473
1652814000000,2022-05-17 19:00:00,ALGO/USDT,0.47890000,0.48960000,0.47750000,0.48170000,2024256.00000000,981447.92690000,5853
1652810400000,2022-05-17 18:00:00,ALGO/USDT,0.48130000,0.48380000,0.46790000,0.47910000,3233763.00000000,1535087.51410000,9079
1652806800000,2022-05-17 17:00:00,ALGO/USDT,0.48390000,0.48760000,0.48130000,0.48130000,1083368.00000000,525189.84360000,3300
1652803200000,2022-05-17 16:00:00,ALGO/USDT,0.48500000,0.48700000,0.47440000,0.48390000,2273734.00000000,1093643.50320000,5798
1652799600000,2022-05-17 15:00:00,ALGO/USDT,0.48200000,0.48840000,0.48100000,0.48490000,2051673.00000000,994398.99100000,5228
1652796000000,2022-05-17 14:00:00,ALGO/USDT,0.49910000,0.49930000,0.48100000,0.48210000,2699011.00000000,1319173.76580000,7555
1652792400000,2022-05-17 13:00:00,ALGO/USDT,0.50260000,0.50690000,0.49470000,0.49920000,3405574.00000000,1703610.73880000,8162
1652788800000,2022-05-17 12:00:00,ALGO/USDT,0.49000000,0.50870000,0.48920000,0.50270000,4117939.00000000,2056388.03670000,8279
1652785200000,2022-05-17 11:00:00,ALGO/USDT,0.49010000,0.49570000,0.48790000,0.49000000,1550564.00000000,760848.04460000,3701
1652781600000,2022-05-17 10:00:00,ALGO/USDT,0.49590000,0.49640000,0.48960000,0.49030000,1482600.00000000,730197.02360000,3434
1652778000000,2022-05-17 09:00:00,ALGO/USDT,0.48950000,0.50130000,0.48930000,0.49580000,2875394.00000000,1428297.24050000,5857
1652774400000,2022-05-17 08:00:00,ALGO/USDT,0.48060000,0.49670000,0.48050000,0.48950000,2456172.00000000,1202885.53010000,5311
1652770800000,2022-05-17 07:00:00,ALGO/USDT,0.49030000,0.49150000,0.47970000,0.48070000,1582035.00000000,767737.52290000,3421
1652767200000,2022-05-17 06:00:00,ALGO/USDT,0.48550000,0.49150000,0.48220000,0.49020000,1723392.00000000,839855.86130000,3932
1652763600000,2022-05-17 05:00:00,ALGO/USDT,0.48190000,0.48710000,0.47640000,0.48560000,2464413.00000000,1184121.70820000,4039
1652760000000,2022-05-17 04:00:00,ALGO/USDT,0.47790000,0.48650000,0.47550000,0.48190000,1755773.00000000,843598.96760000,3272
1652756400000,2022-05-17 03:00:00,ALGO/USDT,0.47400000,0.48460000,0.47250000,0.47790000,2285008.00000000,1096053.06480000,4935
1652752800000,2022-05-17 02:00:00,ALGO/USDT,0.47450000,0.47900000,0.47220000,0.47410000,1193889.00000000,567596.88530000,2915
1652749200000,2022-05-17 01:00:00,ALGO/USDT,0.47060000,0.47610000,0.46440000,0.47450000,1859745.00000000,873019.72450000,4275
1652745600000,2022-05-17 00:00:00,ALGO/USDT,0.46040000,0.47220000,0.45930000,0.47050000,1998107.00000000,930426.77190000,4896
1652742000000,2022-05-16 23:00:00,ALGO/USDT,0.46410000,0.46520000,0.45390000,0.46030000,1764214.00000000,810597.40290000,4434
1652738400000,2022-05-16 22:00:00,ALGO/USDT,0.47320000,0.47450000,0.46330000,0.46420000,1620186.00000000,759428.31970000,4024
1652734800000,2022-05-16 21:00:00,ALGO/USDT,0.47160000,0.47820000,0.47040000,0.47320000,1524729.00000000,722889.77060000,3105
1652731200000,2022-05-16 20:00:00,ALGO/USDT,0.47530000,0.48380000,0.47070000,0.47160000,3140014.00000000,1495524.06760000,8683
1652727600000,2022-05-16 19:00:00,ALGO/USDT,0.48010000,0.48810000,0.47330000,0.47520000,5240341.00000000,2523691.05700000,14610
1652724000000,2022-05-16 18:00:00,ALGO/USDT,0.45950000,0.48320000,0.45740000,0.48000000,4378921.00000000,2065871.11460000,11876
1652720400000,2022-05-16 17:00:00,ALGO/USDT,0.44990000,0.46060000,0.44950000,0.45960000,1526252.00000000,695524.10980000,3705
1652716800000,2022-05-16 16:00:00,ALGO/USDT,0.45380000,0.45640000,0.44740000,0.45020000,2192072.00000000,988696.20560000,4855
1652713200000,2022-05-16 15:00:00,ALGO/USDT,0.44910000,0.45480000,0.44500000,0.45340000,2634208.00000000,1187147.47580000,5630
1652709600000,2022-05-16 14:00:00,ALGO/USDT,0.44750000,0.45590000,0.44580000,0.44920000,1887554.00000000,852245.42010000,4749
1652706000000,2022-05-16 13:00:00,ALGO/USDT,0.45230000,0.45750000,0.44700000,0.44750000,3367270.00000000,1521215.43410000,7971
1652702400000,2022-05-16 12:00:00,ALGO/USDT,0.44980000,0.45910000,0.44550000,0.45250000,2987733.00000000,1351931.16550000,7095
1652698800000,2022-05-16 11:00:00,ALGO/USDT,0.45480000,0.45480000,0.44890000,0.44970000,1651234.00000000,745912.76250000,3441
