https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,AVAX/USDT,29.89000000,30.05000000,29.75000000,29.96000000,23046.78000000,689389.52510000,1856
1653174000000,2022-05-21 23:00:00,AVAX/USDT,29.62000000,30.10000000,29.60000000,29.89000000,61960.34000000,1850922.49470000,4885
1653170400000,2022-05-21 22:00:00,AVAX/USDT,29.21000000,29.62000000,29.16000000,29.62000000,50979.19000000,1499062.06390000,3602
1653166800000,2022-05-21 21:00:00,AVAX/USDT,29.60000000,29.74000000,29.18000000,29.22000000,54239.74000000,1596503.50510000,3476
1653163200000,2022-05-21 20:00:00,AVAX/USDT,29.60000000,29.84000000,29.48000000,29.61000000,51160.31000000,1516478.34820000,4648
1653159600000,2022-05-21 19:00:00,AVAX/USDT,29.82000000,30.10000000,29.46000000,29.59000000,84647.62000000,2512143.02220000,6546
1653156000000,2022-05-21 18:00:00,AVAX/USDT,29.82000000,30.03000000,29.57000000,29.81000000,84502.25000000,2517930.09320000,6503
1653152400000,2022-05-21 17:00:00,AVAX/USDT,30.11000000,30.31000000,29.76000000,29.82000000,109239.18000000,3277034.12080000,8042
1653148800000,2022-05-21 16:00:00,AVAX/USDT,29.97000000,30.61000000,29.79000000,30.10000000,235077.26000000,7113383.11800000,15665
1653145200000,2022-05-21 15:00:00,AVAX/USDT,29.91000000,30.03000000,29.59000000,29.96000000,139000.82000000,4147298.07520000,8506
1653141600000,2022-05-21 14:00:00,AVAX/USDT,29.25000000,29.95000000,29.20000000,29.92000000,105264.25000000,3116202.93320000,6849
1653138000000,2022-05-21 13:00:00,AVAX/USDT,29.03000000,29.49000000,29.00000000,29.25000000,71602.90000000,2095345.53580000,4730
1653134400000,2022-05-21 12:00:00,AVAX/USDT,29.11000000,29.21000000,28.60000000,29.03000000,92076.10000000,2660212.60990000,5490
1653130800000,2022-05-21 11:00:00,AVAX/USDT,29.19000000,29.24000000,28.79000000,29.10000000,61777.30000000,1792626.68680000,4154
1653127200000,2022-05-21 10:00:00,AVAX/USDT,29.33000000,29.50000000,29.08000000,29.18000000,65881.04000000,1926241.69580000,4943
1653123600000,2022-05-21 09:00:00,AVAX/USDT,29.49000000,29.51000000,29.21000000,29.33000000,99887.72000000,2934679.31560000,6696
1653120000000,2022-05-21 08:00:00,AVAX/USDT,29.51000000,29.72000000,29.43000000,29.48000000,52109.05000000,1540289.82940000,3922
1653116400000,2022-05-21 07:00:00,AVAX/USDT,29.34000000,29.81000000,29.09000000,29.50000000,112977.09000000,3333202.44340000,8307
1653112800000,2022-05-21 06:00:00,AVAX/USDT,29.18000000,29.43000000,28.96000000,29.34000000,107930.82000000,3152565.16720000,6424
1653109200000,2022-05-21 05:00:00,AVAX/USDT,29.18000000,29.27000000,28.97000000,29.17000000,62285.31000000,1812495.90070000,4786
1653105600000,2022-05-21 04:00:00,AVAX/USDT,29.48000000,29.54000000,29.07000000,29.17000000,45878.74000000,1343198.05820000,3960
1653102000000,2022-05-21 03:00:00,AVAX/USDT,29.27000000,29.54000000,29.01000000,29.47000000,79972.52000000,2340447.52150000,6117
1653098400000,2022-05-21 02:00:00,AVAX/USDT,28.85000000,29.36000000,28.74000000,29.27000000,77554.66000000,2258042.04350000,6638
1653094800000,2022-05-21 01:00:00,AVAX/USDT,28.94000000,28.98000000,28.19000000,28.84000000,145800.19000000,4160976.98990000,10775
1653091200000,2022-05-21 00:00:00,AVAX/USDT,28.80000000,29.14000000,28.50000000,28.94000000,118393.48000000,3416624.96140000,8974
1653087600000,2022-05-20 23:00:00,AVAX/USDT,29.03000000,29.34000000,28.74000000,28.80000000,73719.46000000,2143429.73600000,6356
1653084000000,2022-05-20 22:00:00,AVAX/USDT,29.03000000,29.31000000,28.87000000,29.03000000,82430.41000000,2402003.69940000,6017
1653080400000,2022-05-20 21:00:00,AVAX/USDT,28.98000000,29.40000000,28.77000000,29.02000000,99387.11000000,2890410.41550000,4850
1653076800000,2022-05-20 20:00:00,AVAX/USDT,29.40000000,29.48000000,28.76000000,28.99000000,117408.17000000,3417111.37490000,8646
1653073200000,2022-05-20 19:00:00,AVAX/USDT,28.40000000,29.50000000,28.34000000,29.41000000,190461.77000000,5514205.54570000,12553
1653069600000,2022-05-20 18:00:00,AVAX/USDT,28.66000000,28.66000000,27.95000000,28.41000000,206815.56000000,5857295.66620000,12628
