https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,AXS/USDT,21.04000000,21.21000000,20.92000000,20.96000000,15453.91000000,325415.77540000,993
1653091200000,2022-05-21 00:00:00,AXS/USDT,20.72000000,21.33000000,20.19000000,21.04000000,859938.70000000,17817673.79800000,51763
1653004800000,2022-05-20 00:00:00,AXS/USDT,21.83000000,22.11000000,20.17000000,20.72000000,1269489.51000000,26845323.11620000,86946
1652918400000,2022-05-19 00:00:00,AXS/USDT,21.60000000,22.12000000,19.73000000,21.84000000,2619602.69000000,54633974.70100000,171532
1652832000000,2022-05-18 00:00:00,AXS/USDT,21.32000000,22.44000000,20.21000000,21.60000000,4200018.08000000,89279245.09500000,257507
1652745600000,2022-05-17 00:00:00,AXS/USDT,19.57000000,21.90000000,19.32000000,21.32000000,2923352.66000000,60638776.98020000,188165
1652659200000,2022-05-16 00:00:00,AXS/USDT,23.25000000,23.71000000,19.23000000,19.57000000,4067007.57000000,86158169.30590000,282116
1652572800000,2022-05-15 00:00:00,AXS/USDT,20.89000000,23.42000000,20.19000000,23.25000000,4131177.82000000,88669276.65780000,328949
1652486400000,2022-05-14 00:00:00,AXS/USDT,20.08000000,21.40000000,19.00000000,20.89000000,4193048.13000000,84408632.83860000,334025
1652400000000,2022-05-13 00:00:00,AXS/USDT,19.03000000,24.50000000,18.85000000,20.07000000,5188209.51000000,112542596.39070000,390094
1652313600000,2022-05-12 00:00:00,AXS/USDT,18.97000000,24.70000000,17.15000000,19.02000000,7873099.65000000,164221066.97070000,600233
1652227200000,2022-05-11 00:00:00,AXS/USDT,24.20000000,25.15000000,16.20000000,18.97000000,5789945.36000000,122784948.35309700,430405
1652140800000,2022-05-10 00:00:00,AXS/USDT,24.73000000,28.34000000,23.38000000,24.22000000,3754859.07000000,97719536.33955000,293322
1652054400000,2022-05-09 00:00:00,AXS/USDT,30.50000000,31.56000000,24.38000000,24.77000000,4317996.69000000,121885714.60110000,310801
1651968000000,2022-05-08 00:00:00,AXS/USDT,28.60000000,31.70000000,27.66000000,30.49000000,2772806.53000000,82673621.73360000,213591
1651881600000,2022-05-07 00:00:00,AXS/USDT,28.43000000,29.54000000,27.38000000,28.60000000,903046.60000000,25823793.82880000,84662
1651795200000,2022-05-06 00:00:00,AXS/USDT,28.94000000,29.11000000,27.16000000,28.44000000,1246973.35000000,35240965.04140000,104342
1651708800000,2022-05-05 00:00:00,AXS/USDT,33.32000000,35.24000000,27.97000000,28.95000000,2859849.79000000,90655782.30160000,239694
1651622400000,2022-05-04 00:00:00,AXS/USDT,29.09000000,33.79000000,28.07000000,33.31000000,1695264.91000000,51984452.85510000,150814
1651536000000,2022-05-03 00:00:00,AXS/USDT,30.20000000,30.89000000,28.61000000,29.07000000,1057805.67000000,31559262.41390000,100314
1651449600000,2022-05-02 00:00:00,AXS/USDT,31.78000000,32.30000000,29.90000000,30.19000000,1029546.52000000,31507561.07910000,103861
1651363200000,2022-05-01 00:00:00,AXS/USDT,29.05000000,32.53000000,27.83000000,31.79000000,1638733.05000000,50301153.69530000,162445
1651276800000,2022-04-30 00:00:00,AXS/USDT,34.36000000,34.89000000,26.51000000,29.05000000,1631328.16000000,51497149.64926400,173189
1651190400000,2022-04-29 00:00:00,AXS/USDT,38.05000000,38.69000000,33.41000000,34.35000000,1508178.41000000,53504140.97093000,149513
1651104000000,2022-04-28 00:00:00,AXS/USDT,38.80000000,40.17000000,37.39000000,38.05000000,972085.78000000,37450704.67830000,115463
1651017600000,2022-04-27 00:00:00,AXS/USDT,38.76000000,40.13000000,37.12000000,38.80000000,968446.97000000,37426721.86423700,106911
1650931200000,2022-04-26 00:00:00,AXS/USDT,42.92000000,43.51000000,37.96000000,38.78000000,905276.90000000,36920843.93633800,123586
1650844800000,2022-04-25 00:00:00,AXS/USDT,44.37000000,44.45000000,39.84000000,42.92000000,1131817.37000000,47289664.08253200,148659
1650758400000,2022-04-24 00:00:00,AXS/USDT,45.15000000,45.63000000,44.15000000,44.37000000,379989.61000000,17092438.72550000,62377
1650672000000,2022-04-23 00:00:00,AXS/USDT,45.96000000,46.17000000,44.91000000,45.15000000,358375.34000000,16339840.60660000,58166
1650585600000,2022-04-22 00:00:00,AXS/USDT,44.92000000,46.78000000,44.78000000,45.95000000,730722.09000000,33532381.83710000,105158
1650499200000,2022-04-21 00:00:00,AXS/USDT,46.18000000,48.13000000,44.34000000,44.92000000,852267.84000000,39649574.14940000,115757
1650412800000,2022-04-20 00:00:00,AXS/USDT,47.38000000,48.44000000,45.29000000,46.19000000,927729.49000000,43680573.91240000,115585
1650326400000,2022-04-19 00:00:00,AXS/USDT,46.22000000,47.95000000,45.43000000,47.39000000,728124.24000000,34018076.76250000,92926
1650240000000,2022-04-18 00:00:00,AXS/USDT,45.48000000,46.43000000,43.00000000,46.22000000,893806.22000000,39838960.88590000,108965
1650153600000,2022-04-17 00:00:00,AXS/USDT,47.42000000,47.92000000,45.21000000,45.48000000,536323.15000000,25256736.39110000,63976
1650067200000,2022-04-16 00:00:00,AXS/USDT,47.92000000,48.62000000,46.71000000,47.42000000,455879.99000000,21684717.44770000,60213
