https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,BAT/USDT,0.3884,0.3904,0.3855,0.3899,1205153.3,467339.94443,2034
1653174000000,2022-05-21 23:00:00,BAT/USDT,0.3884,0.3906,0.3870,0.3883,930220.5,361517.58387,1599
1653170400000,2022-05-21 22:00:00,BAT/USDT,0.3824,0.3887,0.3812,0.3884,1141654.5,439638.81193,1756
1653166800000,2022-05-21 21:00:00,BAT/USDT,0.3846,0.3873,0.3821,0.3822,1612844.2,619940.52293,1982
1653163200000,2022-05-21 20:00:00,BAT/USDT,0.3873,0.3885,0.3822,0.3846,1570902.3,605867.36178,2376
1653159600000,2022-05-21 19:00:00,BAT/USDT,0.3922,0.3936,0.3844,0.3871,2021271.6,785045.07155,3094
1653156000000,2022-05-21 18:00:00,BAT/USDT,0.3885,0.3942,0.3881,0.3922,2729337.8,1069577.31630,3575
1653152400000,2022-05-21 17:00:00,BAT/USDT,0.3903,0.3932,0.3877,0.3884,3371304.1,1317140.22519,4505
1653148800000,2022-05-21 16:00:00,BAT/USDT,0.3857,0.3908,0.3839,0.3903,4361314.4,1689318.14780,5935
1653145200000,2022-05-21 15:00:00,BAT/USDT,0.3850,0.3873,0.3805,0.3858,3599547.7,1381395.03145,4585
1653141600000,2022-05-21 14:00:00,BAT/USDT,0.3799,0.3863,0.3776,0.3851,2631078.6,1003021.08416,3502
1653138000000,2022-05-21 13:00:00,BAT/USDT,0.3801,0.3835,0.3781,0.3800,1616371.8,616065.31570,2355
1653134400000,2022-05-21 12:00:00,BAT/USDT,0.3813,0.3828,0.3769,0.3802,1641439.3,623770.66562,2651
1653130800000,2022-05-21 11:00:00,BAT/USDT,0.3834,0.3840,0.3766,0.3813,2489419.1,946877.38981,3292
1653127200000,2022-05-21 10:00:00,BAT/USDT,0.3830,0.3884,0.3812,0.3834,2344128.4,902416.52217,3123
1653123600000,2022-05-21 09:00:00,BAT/USDT,0.3842,0.3846,0.3794,0.3831,1947638.8,744227.92432,2679
1653120000000,2022-05-21 08:00:00,BAT/USDT,0.3851,0.3859,0.3816,0.3839,2125663.9,814917.35406,3414
1653116400000,2022-05-21 07:00:00,BAT/USDT,0.3827,0.3876,0.3810,0.3854,1955907.0,752595.70069,3134
1653112800000,2022-05-21 06:00:00,BAT/USDT,0.3800,0.3839,0.3771,0.3827,1889456.1,719455.49099,2955
1653109200000,2022-05-21 05:00:00,BAT/USDT,0.3830,0.3842,0.3754,0.3798,2378714.1,901640.33751,3463
1653105600000,2022-05-21 04:00:00,BAT/USDT,0.3848,0.3861,0.3822,0.3831,1390551.7,533792.85541,2519
1653102000000,2022-05-21 03:00:00,BAT/USDT,0.3814,0.3858,0.3766,0.3850,2065496.2,787513.26178,3061
1653098400000,2022-05-21 02:00:00,BAT/USDT,0.3757,0.3836,0.3740,0.3814,2291340.2,867373.25210,3292
1653094800000,2022-05-21 01:00:00,BAT/USDT,0.3776,0.3787,0.3699,0.3754,2332896.7,873202.43482,3333
1653091200000,2022-05-21 00:00:00,BAT/USDT,0.3809,0.3844,0.3731,0.3776,2223528.8,844033.26206,4186
1653087600000,2022-05-20 23:00:00,BAT/USDT,0.3798,0.3845,0.3793,0.3809,1955333.2,746270.95250,3048
1653084000000,2022-05-20 22:00:00,BAT/USDT,0.3757,0.3855,0.3746,0.3799,2418393.2,921056.43991,3231
1653080400000,2022-05-20 21:00:00,BAT/USDT,0.3774,0.3798,0.3756,0.3757,1040933.1,393647.37270,1500
1653076800000,2022-05-20 20:00:00,BAT/USDT,0.3797,0.3812,0.3747,0.3777,2238545.8,846460.10547,3007
1653073200000,2022-05-20 19:00:00,BAT/USDT,0.3738,0.3806,0.3717,0.3795,2454991.7,922214.21412,3403
1653069600000,2022-05-20 18:00:00,BAT/USDT,0.3762,0.3762,0.3694,0.3738,2149753.0,800285.52445,3085
1653066000000,2022-05-20 17:00:00,BAT/USDT,0.3754,0.3768,0.3698,0.3761,2822199.1,1053214.26961,3623
1653062400000,2022-05-20 16:00:00,BAT/USDT,0.3807,0.3815,0.3707,0.3755,4369675.7,1640499.62820,6392
1653058800000,2022-05-20 15:00:00,BAT/USDT,0.3828,0.3828,0.3758,0.3808,4133534.7,1569990.92925,5806
1653055200000,2022-05-20 14:00:00,BAT/USDT,0.3966,0.3969,0.3815,0.3825,4630336.5,1795298.11061,6853
1653051600000,2022-05-20 13:00:00,BAT/USDT,0.3985,0.4023,0.3917,0.3968,4115838.1,1632894.10417,6322
1653048000000,2022-05-20 12:00:00,BAT/USDT,0.4039,0.4063,0.3945,0.3986,2945343.1,1177377.84792,3882
1653044400000,2022-05-20 11:00:00,BAT/USDT,0.4074,0.4091,0.3988,0.4036,3124131.6,1259805.46831,4727
1653040800000,2022-05-20 10:00:00,BAT/USDT,0.4013,0.4075,0.4007,0.4072,2457500.8,994323.30547,3460
