https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,BAT/USDT,0.3884,0.3899,0.3855,0.3866,860158.4,333045.82025,1524
1653091200000,2022-05-21 00:00:00,BAT/USDT,0.3809,0.3942,0.3699,0.3883,52662027.8,20200342.92400,76366
1653004800000,2022-05-20 00:00:00,BAT/USDT,0.3906,0.4091,0.3694,0.3809,68749491.7,26773589.44183,99721
1652918400000,2022-05-19 00:00:00,BAT/USDT,0.3724,0.3981,0.3583,0.3906,60098568.5,22846994.76515,89717
1652832000000,2022-05-18 00:00:00,BAT/USDT,0.4140,0.4208,0.3668,0.3723,68184959.2,26588328.19628,96002
1652745600000,2022-05-17 00:00:00,BAT/USDT,0.3928,0.4214,0.3863,0.4138,72989119.8,29831522.31026,104184
1652659200000,2022-05-16 00:00:00,BAT/USDT,0.4347,0.4351,0.3803,0.3929,54745046.8,21778440.66126,92860
1652572800000,2022-05-15 00:00:00,BAT/USDT,0.4182,0.4352,0.3944,0.4351,44879915.4,18459152.43367,79867
1652486400000,2022-05-14 00:00:00,BAT/USDT,0.3841,0.4215,0.3678,0.4181,47597493.3,18783200.40811,88018
1652400000000,2022-05-13 00:00:00,BAT/USDT,0.3580,0.4280,0.3517,0.3838,70150040.6,28149171.37748,131651
1652313600000,2022-05-12 00:00:00,BAT/USDT,0.3755,0.3929,0.3046,0.3580,152226420.4,52387676.55363,257173
1652227200000,2022-05-11 00:00:00,BAT/USDT,0.4660,0.4856,0.3426,0.3753,182773550.2,75975073.14165,336379
1652140800000,2022-05-10 00:00:00,BAT/USDT,0.4396,0.5095,0.4273,0.4660,94849818.1,44960306.25366,198869
1652054400000,2022-05-09 00:00:00,BAT/USDT,0.5458,0.5563,0.4375,0.4397,77743949.7,37978721.46423,177476
1651968000000,2022-05-08 00:00:00,BAT/USDT,0.5540,0.5598,0.5315,0.5459,37354936.8,20383185.77344,92984
1651881600000,2022-05-07 00:00:00,BAT/USDT,0.5783,0.5820,0.5373,0.5541,36191261.1,20477107.24332,91935
1651795200000,2022-05-06 00:00:00,BAT/USDT,0.5863,0.5884,0.5546,0.5783,42961362.5,24637335.66651,116001
1651708800000,2022-05-05 00:00:00,BAT/USDT,0.6542,0.6611,0.5662,0.5863,49842834.4,30551182.09997,147687
1651622400000,2022-05-04 00:00:00,BAT/USDT,0.5789,0.6587,0.5751,0.6543,66585250.5,40873264.68529,168750
1651536000000,2022-05-03 00:00:00,BAT/USDT,0.5852,0.6070,0.5650,0.5790,32986976.0,19391978.01578,92040
1651449600000,2022-05-02 00:00:00,BAT/USDT,0.6019,0.6126,0.5657,0.5852,35640415.1,20840043.14868,100082
1651363200000,2022-05-01 00:00:00,BAT/USDT,0.5685,0.6109,0.5610,0.6020,35416495.7,20781940.07566,109728
1651276800000,2022-04-30 00:00:00,BAT/USDT,0.6292,0.6603,0.5491,0.5686,77274448.7,48110515.82402,192656
1651190400000,2022-04-29 00:00:00,BAT/USDT,0.6582,0.6617,0.6120,0.6293,26810891.0,17120277.30883,85435
1651104000000,2022-04-28 00:00:00,BAT/USDT,0.6687,0.6786,0.6488,0.6582,27216098.2,18045760.27007,88045
1651017600000,2022-04-27 00:00:00,BAT/USDT,0.6557,0.6791,0.6466,0.6688,24915428.6,16564297.43976,82891
1650931200000,2022-04-26 00:00:00,BAT/USDT,0.7227,0.7270,0.6474,0.6557,35950473.6,24738208.99860,114265
1650844800000,2022-04-25 00:00:00,BAT/USDT,0.7223,0.7241,0.6748,0.7227,36587885.0,25587018.28794,114865
1650758400000,2022-04-24 00:00:00,BAT/USDT,0.7337,0.7484,0.7109,0.7223,25326880.7,18457346.35016,86109
1650672000000,2022-04-23 00:00:00,BAT/USDT,0.7375,0.7500,0.7190,0.7335,25985820.6,19117071.91585,91618
1650585600000,2022-04-22 00:00:00,BAT/USDT,0.7506,0.7853,0.7308,0.7374,49054894.6,37160057.66401,151958
1650499200000,2022-04-21 00:00:00,BAT/USDT,0.7613,0.8224,0.7403,0.7505,88603665.6,69777220.94087,251763
1650412800000,2022-04-20 00:00:00,BAT/USDT,0.7758,0.7758,0.7341,0.7613,31567559.5,23918455.09217,106582
1650326400000,2022-04-19 00:00:00,BAT/USDT,0.7606,0.7777,0.7435,0.7756,38956776.6,29510732.46449,110391
1650240000000,2022-04-18 00:00:00,BAT/USDT,0.7218,0.7696,0.6950,0.7608,71808111.0,52715331.77125,182841
1650153600000,2022-04-17 00:00:00,BAT/USDT,0.7715,0.7770,0.7172,0.7217,62894815.9,47814708.74578,156447
1650067200000,2022-04-16 00:00:00,BAT/USDT,0.7233,0.7820,0.7229,0.7715,155632305.3,118474237.10121,288437
1649980800000,2022-04-15 00:00:00,BAT/USDT,0.7199,0.7378,0.7093,0.7227,23037970.2,16685124.89402,73066
1649894400000,2022-04-14 00:00:00,BAT/USDT,0.7426,0.7597,0.7010,0.7198,26826384.4,19660301.86654,90018
1649808000000,2022-04-13 00:00:00,BAT/USDT,0.7190,0.7429,0.7049,0.7424,24183093.3,17517335.99661,90955
1649721600000,2022-04-12 00:00:00,BAT/USDT,0.6865,0.7279,0.6793,0.7190,26259198.1,18560738.46008,102479
1649635200000,2022-04-11 00:00:00,BAT/USDT,0.7402,0.7475,0.6650,0.6865,34922136.3,24599698.11946,118809
1649548800000,2022-04-10 00:00:00,BAT/USDT,0.7701,0.7771,0.7387,0.7402,17430954.1,13266290.46745,76874
1649462400000,2022-04-09 00:00:00,BAT/USDT,0.7393,0.7721,0.7368,0.7701,19964615.8,15112679.61972,95054
1649376000000,2022-04-08 00:00:00,BAT/USDT,0.7881,0.7992,0.7305,0.7396,27349629.6,21061923.15905,122286
1649289600000,2022-04-07 00:00:00,BAT/USDT,0.7507,0.7960,0.7413,0.7882,32916030.5,25485325.47614,130642
1649203200000,2022-04-06 00:00:00,BAT/USDT,0.8405,0.8416,0.7482,0.7508,46857147.7,37059140.10585,168643
1649116800000,2022-04-05 00:00:00,BAT/USDT,0.8900,0.8985,0.8370,0.8406,29635164.6,25799464.39936,123995
1649030400000,2022-04-04 00:00:00,BAT/USDT,0.9473,0.9485,0.8534,0.8902,43518728.3,38920439.17062,168896
1648944000000,2022-04-03 00:00:00,BAT/USDT,0.9203,0.9882,0.9091,0.9473,66404345.0,62462701.52493,233580
1648857600000,2022-04-02 00:00:00,BAT/USDT,0.8944,0.9587,0.8836,0.9203,67149115.4,61580557.86487,229544
1648771200000,2022-04-01 00:00:00,BAT/USDT,0.8670,0.8985,0.8212,0.8939,36698818.1,31732050.05596,147803
1648684800000,2022-03-31 00:00:00,BAT/USDT,0.8994,0.9371,0.8520,0.8670,58407485.2,52518339.20707,211772
1648598400000,2022-03-30 00:00:00,BAT/USDT,0.8939,0.9144,0.8531,0.8990,43607281.3,38857898.99290,158829
1648512000000,2022-03-29 00:00:00,BAT/USDT,0.8712,0.9220,0.8617,0.8940,45177902.7,40422333.65655,149191
1648425600000,2022-03-28 00:00:00,BAT/USDT,0.9029,0.9293,0.8575,0.8711,50881505.8,46314025.43437,167500
1648339200000,2022-03-27 00:00:00,BAT/USDT,0.8565,0.9100,0.8504,0.9030,58312809.7,51412873.49786,207743
1648252800000,2022-03-26 00:00:00,BAT/USDT,0.8330,0.8590,0.8248,0.8566,23647234.3,19898871.45105,99818
1648166400000,2022-03-25 00:00:00,BAT/USDT,0.8584,0.8820,0.8224,0.8330,47540677.5,40569212.11172,157194
1648080000000,2022-03-24 00:00:00,BAT/USDT,0.8334,0.8707,0.8176,0.8581,67527826.0,57151843.49378,186244
1647993600000,2022-03-23 00:00:00,BAT/USDT,0.8116,0.8383,0.7989,0.8334,33684701.8,27686229.50612,112219
1647907200000,2022-03-22 00:00:00,BAT/USDT,0.8147,0.8315,0.8013,0.8113,32038695.7,26258317.94205,103044
1647820800000,2022-03-21 00:00:00,BAT/USDT,0.8197,0.8315,0.7911,0.8149,30543610.5,24792775.25132,102940
1647734400000,2022-03-20 00:00:00,BAT/USDT,0.8401,0.8525,0.8043,0.8194,41382496.2,34223061.63358,142394
1647648000000,2022-03-19 00:00:00,BAT/USDT,0.8398,0.8795,0.8288,0.8404,54217952.7,46238378.99000,172801
1647561600000,2022-03-18 00:00:00,BAT/USDT,0.8486,0.8570,0.8049,0.8395,61592253.4,50978071.26191,204003
1647475200000,2022-03-17 00:00:00,BAT/USDT,0.8228,0.8880,0.8168,0.8485,100895249.9,86439862.13926,281511
1647388800000,2022-03-16 00:00:00,BAT/USDT,0.7840,0.8489,0.7769,0.8229,170519000.1,138723697.10294,429351
1647302400000,2022-03-15 00:00:00,BAT/USDT,0.7195,0.8072,0.7002,0.7840,180531937.6,136256923.79094,421539
1647216000000,2022-03-14 00:00:00,BAT/USDT,0.6734,0.7250,0.6611,0.7195,75332072.1,52365448.72144,192586
1647129600000,2022-03-13 00:00:00,BAT/USDT,0.6624,0.7390,0.6590,0.6736,142713028.6,101328793.90194,323609
1647043200000,2022-03-12 00:00:00,BAT/USDT,0.6527,0.7077,0.6510,0.6624,53059424.0,36305469.92088,155557
1646956800000,2022-03-11 00:00:00,BAT/USDT,0.6872,0.6878,0.6429,0.6526,39358932.5,26197436.48296,119621
1646870400000,2022-03-10 00:00:00,BAT/USDT,0.6849,0.7210,0.6353,0.6871,71410074.5,48519730.56735,207194
1646784000000,2022-03-09 00:00:00,BAT/USDT,0.6576,0.6921,0.6506,0.6850,24623407.7,16663917.58461,89439
1646697600000,2022-03-08 00:00:00,BAT/USDT,0.6310,0.6653,0.6271,0.6576,25323188.9,16405555.26037,84765
1646611200000,2022-03-07 00:00:00,BAT/USDT,0.6379,0.6677,0.6134,0.6310,30533127.1,19467255.91463,96422
1646524800000,2022-03-06 00:00:00,BAT/USDT,0.6741,0.6786,0.6352,0.6369,21920982.9,14350156.99501,75730
1646438400000,2022-03-05 00:00:00,BAT/USDT,0.6566,0.6787,0.6389,0.6742,18652394.4,12369150.29791,67321
1646352000000,2022-03-04 00:00:00,BAT/USDT,0.7106,0.7147,0.6446,0.6565,25450042.9,17219954.86297,86477
1646265600000,2022-03-03 00:00:00,BAT/USDT,0.7308,0.7377,0.6886,0.7106,25579779.0,18278204.53922,84931
1646179200000,2022-03-02 00:00:00,BAT/USDT,0.7551,0.7654,0.7187,0.7307,29442544.1,21779657.25121,97271
1646092800000,2022-03-01 00:00:00,BAT/USDT,0.7405,0.7664,0.7266,0.7546,31876842.2,23801026.15055,98910
1646006400000,2022-02-28 00:00:00,BAT/USDT,0.6671,0.7417,0.6562,0.7403,29040569.5,20207707.33154,94477
1645920000000,2022-02-27 00:00:00,BAT/USDT,0.7019,0.7112,0.6500,0.6671,23881345.5,16271062.40938,84234
1645833600000,2022-02-26 00:00:00,BAT/USDT,0.7022,0.7283,0.6915,0.7019,23465841.1,16594333.41488,86689
1645747200000,2022-02-25 00:00:00,BAT/USDT,0.6580,0.7097,0.6489,0.7019,36828312.4,24956322.21587,104650
1645660800000,2022-02-24 00:00:00,BAT/USDT,0.6538,0.6686,0.5660,0.6580,56974680.1,34628644.70326,148915
1645574400000,2022-02-23 00:00:00,BAT/USDT,0.6817,0.7109,0.6518,0.6540,29818070.6,20467800.03445,82355
1645488000000,2022-02-22 00:00:00,BAT/USDT,0.6437,0.6853,0.6280,0.6819,35799158.5,23547324.39404,103274
1645401600000,2022-02-21 00:00:00,BAT/USDT,0.7021,0.7384,0.6397,0.6437,41140312.4,28718040.60172,121778
1645315200000,2022-02-20 00:00:00,BAT/USDT,0.7587,0.7597,0.6917,0.7018,22960228.9,16451745.67682,84411
1645228800000,2022-02-19 00:00:00,BAT/USDT,0.7500,0.7695,0.7300,0.7586,25188378.1,18962492.73189,88403
1645142400000,2022-02-18 00:00:00,BAT/USDT,0.7596,0.7876,0.7393,0.7500,29977756.7,22858541.22178,101488
1645056000000,2022-02-17 00:00:00,BAT/USDT,0.8355,0.8458,0.7516,0.7595,26439003.1,21114721.12242,102987
1644969600000,2022-02-16 00:00:00,BAT/USDT,0.8592,0.8620,0.8121,0.8354,21910114.4,18333260.42478,93283
1644883200000,2022-02-15 00:00:00,BAT/USDT,0.8053,0.8622,0.8052,0.8589,23385685.5,19578555.95232,92691
1644796800000,2022-02-14 00:00:00,BAT/USDT,0.8027,0.8161,0.7732,0.8051,29158062.0,23157992.57577,113518
1644710400000,2022-02-13 00:00:00,BAT/USDT,0.8096,0.8268,0.7776,0.8026,24884093.7,20110557.01387,111668
1644624000000,2022-02-12 00:00:00,BAT/USDT,0.8238,0.8329,0.7824,0.8093,32308010.4,26074681.56379,130695
1644537600000,2022-02-11 00:00:00,BAT/USDT,0.8817,0.8924,0.8140,0.8240,39185221.3,33859691.11207,147224
1644451200000,2022-02-10 00:00:00,BAT/USDT,0.9409,0.9496,0.8748,0.8816,47716840.3,43712848.70568,170593
1644364800000,2022-02-09 00:00:00,BAT/USDT,0.9219,0.9529,0.8989,0.9410,31129542.0,28924663.16059,134057
1644278400000,2022-02-08 00:00:00,BAT/USDT,0.9683,0.9786,0.8814,0.9219,50401644.3,46433189.13859,193681
1644192000000,2022-02-07 00:00:00,BAT/USDT,0.9412,0.9870,0.9142,0.9683,44571770.2,42517276.80151,159597
1644105600000,2022-02-06 00:00:00,BAT/USDT,0.9232,0.9444,0.8958,0.9412,27645343.3,25583312.85507,109401
1644019200000,2022-02-05 00:00:00,BAT/USDT,0.9008,0.9550,0.8888,0.9234,36448792.3,33947698.05504,142212
1643932800000,2022-02-04 00:00:00,BAT/USDT,0.8258,0.9018,0.8186,0.9006,42775816.6,36587692.54875,152338
1643846400000,2022-02-03 00:00:00,BAT/USDT,0.8089,0.8323,0.7900,0.8258,32803449.2,26552547.41477,120960
1643760000000,2022-02-02 00:00:00,BAT/USDT,0.8429,0.8627,0.8026,0.8085,44952861.3,37493044.70919,156073
1643673600000,2022-02-01 00:00:00,BAT/USDT,0.8515,0.8591,0.8316,0.8429,31082622.5,26259985.47106,126348
1643587200000,2022-01-31 00:00:00,BAT/USDT,0.8330,0.8537,0.7939,0.8514,41622062.0,34470124.45793,150685
1643500800000,2022-01-30 00:00:00,BAT/USDT,0.8509,0.8645,0.8114,0.8332,38723441.9,32550356.66269,148776
1643414400000,2022-01-29 00:00:00,BAT/USDT,0.8623,0.8949,0.8339,0.8507,51238168.2,44298585.42440,192331
1643328000000,2022-01-28 00:00:00,BAT/USDT,0.8333,0.8770,0.8137,0.8621,65741041.8,55982268.54699,230549
1643241600000,2022-01-27 00:00:00,BAT/USDT,0.8080,0.8533,0.7677,0.8333,60924582.0,49619373.05712,207189
1643155200000,2022-01-26 00:00:00,BAT/USDT,0.7928,0.8785,0.7802,0.8084,86988985.3,71572750.18343,266213
1643068800000,2022-01-25 00:00:00,BAT/USDT,0.7492,0.7940,0.7291,0.7928,51896474.3,39220409.54368,172590
1642982400000,2022-01-24 00:00:00,BAT/USDT,0.7591,0.7755,0.6509,0.7496,82939455.4,58381718.25365,251614
1642896000000,2022-01-23 00:00:00,BAT/USDT,0.7172,0.7600,0.7052,0.7591,60878676.4,44632108.24031,169746
1642809600000,2022-01-22 00:00:00,BAT/USDT,0.8073,0.8295,0.6685,0.7168,95168201.6,69851309.87257,270561
