https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMP,Volume USDT,tradecount
1651795200000,2022-05-06 00:00:00,COMP/USDT,104.60000000,105.20000000,103.90000000,103.90000000,821.85500000,85864.29040000,331
1651708800000,2022-05-05 00:00:00,COMP/USDT,115.70000000,117.20000000,101.60000000,104.60000000,67213.45100000,7271394.01410000,29213
1651622400000,2022-05-04 00:00:00,COMP/USDT,102.90000000,115.80000000,102.60000000,115.60000000,48062.86800000,5222118.99460000,20516
1651536000000,2022-05-03 00:00:00,COMP/USDT,104.40000000,106.70000000,100.70000000,103.00000000,32293.99000000,3365446.59330000,13830
1651449600000,2022-05-02 00:00:00,COMP/USDT,105.70000000,107.90000000,100.70000000,104.30000000,39760.44200000,4157690.91520000,19346
1651363200000,2022-05-01 00:00:00,COMP/USDT,103.60000000,108.00000000,101.00000000,105.70000000,88718.07200000,9179756.70380000,32021
1651276800000,2022-04-30 00:00:00,COMP/USDT,114.10000000,116.70000000,102.10000000,103.70000000,64128.72600000,7075923.29020000,29069
1651190400000,2022-04-29 00:00:00,COMP/USDT,122.50000000,123.80000000,112.30000000,114.00000000,41210.48000000,4870810.04290000,19216
1651104000000,2022-04-28 00:00:00,COMP/USDT,124.50000000,126.50000000,121.00000000,122.40000000,33885.12200000,4198496.45670000,16845
1651017600000,2022-04-27 00:00:00,COMP/USDT,120.60000000,127.10000000,119.80000000,124.50000000,34633.39400000,4291403.75540000,17756
1650931200000,2022-04-26 00:00:00,COMP/USDT,132.80000000,134.00000000,118.50000000,120.60000000,57294.55700000,7257830.05560000,25977
1650844800000,2022-04-25 00:00:00,COMP/USDT,129.30000000,133.20000000,121.80000000,132.80000000,52398.41900000,6652779.98500000,25772
1650758400000,2022-04-24 00:00:00,COMP/USDT,131.30000000,133.40000000,128.60000000,129.40000000,24545.29500000,3217433.76980000,13543
1650672000000,2022-04-23 00:00:00,COMP/USDT,135.30000000,137.10000000,130.60000000,131.20000000,40001.63500000,5360770.87260000,19669
1650585600000,2022-04-22 00:00:00,COMP/USDT,136.20000000,139.50000000,133.00000000,135.30000000,45289.20100000,6153053.47200000,21625
1650499200000,2022-04-21 00:00:00,COMP/USDT,146.50000000,148.70000000,132.70000000,136.30000000,86208.43300000,12343039.09770000,39096
1650412800000,2022-04-20 00:00:00,COMP/USDT,142.90000000,149.40000000,139.40000000,146.60000000,77754.09500000,11245515.21610000,40196
1650326400000,2022-04-19 00:00:00,COMP/USDT,140.70000000,144.50000000,138.40000000,142.80000000,80174.54800000,11344694.70390000,35539
1650240000000,2022-04-18 00:00:00,COMP/USDT,141.70000000,146.50000000,132.60000000,140.70000000,112443.82100000,15539071.54990000,42941
1650153600000,2022-04-17 00:00:00,COMP/USDT,143.50000000,149.90000000,140.90000000,141.80000000,68446.16000000,9976980.95690000,27974
1650067200000,2022-04-16 00:00:00,COMP/USDT,148.00000000,150.10000000,140.90000000,143.60000000,66444.62500000,9577629.66530000,29373
1649980800000,2022-04-15 00:00:00,COMP/USDT,143.60000000,148.40000000,139.10000000,148.10000000,76494.74200000,11009884.52880000,35674
1649894400000,2022-04-14 00:00:00,COMP/USDT,149.30000000,156.50000000,141.00000000,143.70000000,185272.16200000,27814139.00110000,83456
1649808000000,2022-04-13 00:00:00,COMP/USDT,128.90000000,153.00000000,127.60000000,149.30000000,183240.48900000,26045725.06810000,78029
1649721600000,2022-04-12 00:00:00,COMP/USDT,117.50000000,133.50000000,116.90000000,128.80000000,132321.47900000,16941707.54840000,52985
1649635200000,2022-04-11 00:00:00,COMP/USDT,134.00000000,134.20000000,115.70000000,117.60000000,70854.44800000,8810076.74130000,31783
1649548800000,2022-04-10 00:00:00,COMP/USDT,137.30000000,140.60000000,133.40000000,134.00000000,24108.19300000,3299971.98080000,13987
1649462400000,2022-04-09 00:00:00,COMP/USDT,134.60000000,138.40000000,133.60000000,137.20000000,37586.34600000,5102775.87750000,17149
1649376000000,2022-04-08 00:00:00,COMP/USDT,138.50000000,143.50000000,133.10000000,134.70000000,76441.12200000,10660919.70550000,33769
1649289600000,2022-04-07 00:00:00,COMP/USDT,133.80000000,140.50000000,131.50000000,138.60000000,54008.48500000,7354008.16560000,27886
1649203200000,2022-04-06 00:00:00,COMP/USDT,153.60000000,153.60000000,133.00000000,133.90000000,117236.94800000,16846170.24280000,58277
1649116800000,2022-04-05 00:00:00,COMP/USDT,163.50000000,166.20000000,152.70000000,153.60000000,62366.55800000,9962138.46630000,35430
1649030400000,2022-04-04 00:00:00,COMP/USDT,171.70000000,171.70000000,155.00000000,163.60000000,132279.25500000,21514991.19020000,67023
1648944000000,2022-04-03 00:00:00,COMP/USDT,150.40000000,174.80000000,147.90000000,171.70000000,221280.27100000,36454254.08870000,131174
1648857600000,2022-04-02 00:00:00,COMP/USDT,158.80000000,162.50000000,149.50000000,150.40000000,109615.78000000,17112701.51390000,59798
1648771200000,2022-04-01 00:00:00,COMP/USDT,149.20000000,159.80000000,141.00000000,158.80000000,171664.41300000,25952412.08560000,94655
1648684800000,2022-03-31 00:00:00,COMP/USDT,158.10000000,164.50000000,146.00000000,149.20000000,198533.73100000,31062525.86740000,103892
1648598400000,2022-03-30 00:00:00,COMP/USDT,147.40000000,163.30000000,139.00000000,158.10000000,392983.61600000,60721852.33560000,213930
1648512000000,2022-03-29 00:00:00,COMP/USDT,122.60000000,150.20000000,121.90000000,147.50000000,510772.85100000,72305564.67650000,253840
1648425600000,2022-03-28 00:00:00,COMP/USDT,126.00000000,134.40000000,121.00000000,122.60000000,215012.59800000,27696846.02490000,97993
1648339200000,2022-03-27 00:00:00,COMP/USDT,122.10000000,126.20000000,118.00000000,126.00000000,137768.73800000,16887183.70870000,59185
1648252800000,2022-03-26 00:00:00,COMP/USDT,116.10000000,122.20000000,115.80000000,122.10000000,56184.23400000,6695942.61880000,25332
1648166400000,2022-03-25 00:00:00,COMP/USDT,118.90000000,121.80000000,113.60000000,116.00000000,87297.34400000,10311005.33740000,39899
1648080000000,2022-03-24 00:00:00,COMP/USDT,116.30000000,121.90000000,113.40000000,118.90000000,123283.60900000,14481576.23280000,55580
1647993600000,2022-03-23 00:00:00,COMP/USDT,114.10000000,116.90000000,112.30000000,116.30000000,72634.10500000,8309214.10830000,32403
1647907200000,2022-03-22 00:00:00,COMP/USDT,113.00000000,119.00000000,112.70000000,114.20000000,63182.29000000,7336066.77970000,30467
1647820800000,2022-03-21 00:00:00,COMP/USDT,115.30000000,118.30000000,111.80000000,113.10000000,44748.11800000,5142965.91030000,24436
1647734400000,2022-03-20 00:00:00,COMP/USDT,119.70000000,120.10000000,113.30000000,115.20000000,49958.89700000,5809707.60100000,25126
1647648000000,2022-03-19 00:00:00,COMP/USDT,119.50000000,124.40000000,118.40000000,119.60000000,45137.29800000,5455226.58310000,23746
1647561600000,2022-03-18 00:00:00,COMP/USDT,111.60000000,120.30000000,109.30000000,119.40000000,46810.23300000,5384775.01970000,22624
1647475200000,2022-03-17 00:00:00,COMP/USDT,110.70000000,116.90000000,108.40000000,111.60000000,59340.86900000,6717722.66360000,27564
1647388800000,2022-03-16 00:00:00,COMP/USDT,104.30000000,110.90000000,102.90000000,110.70000000,44273.61900000,4725773.50540000,23327
1647302400000,2022-03-15 00:00:00,COMP/USDT,101.30000000,105.40000000,98.60000000,104.30000000,30073.03300000,3071731.33080000,13899
1647216000000,2022-03-14 00:00:00,COMP/USDT,99.00000000,102.50000000,98.20000000,101.40000000,25899.25200000,2598390.11710000,12892
1647129600000,2022-03-13 00:00:00,COMP/USDT,101.60000000,103.70000000,97.80000000,99.00000000,19441.18700000,1964674.83880000,10919
1647043200000,2022-03-12 00:00:00,COMP/USDT,101.20000000,105.30000000,101.20000000,101.70000000,21204.39000000,2184737.90740000,10459
1646956800000,2022-03-11 00:00:00,COMP/USDT,103.20000000,104.20000000,100.00000000,101.20000000,23163.27800000,2357084.86300000,12675
1646870400000,2022-03-10 00:00:00,COMP/USDT,110.00000000,110.60000000,100.00000000,103.30000000,36762.36800000,3791410.77360000,20125
1646784000000,2022-03-09 00:00:00,COMP/USDT,104.10000000,112.10000000,104.00000000,109.90000000,27662.33100000,3036001.58290000,18232
