https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,DASH/USDT,56.98,57.26,56.83,57.15,5311.658,302893.71740,1926
1653174000000,2022-05-21 23:00:00,DASH/USDT,57.06,57.41,56.85,56.99,12633.017,720851.39247,3488
1653170400000,2022-05-21 22:00:00,DASH/USDT,56.55,57.24,56.40,57.06,27153.586,1544159.98859,4252
1653166800000,2022-05-21 21:00:00,DASH/USDT,56.95,57.23,56.51,56.56,9358.306,532368.36179,2726
1653163200000,2022-05-21 20:00:00,DASH/USDT,57.46,57.49,56.72,56.95,15826.391,904081.31016,3836
1653159600000,2022-05-21 19:00:00,DASH/USDT,57.69,57.98,57.00,57.44,13166.956,756218.50097,3759
1653156000000,2022-05-21 18:00:00,DASH/USDT,57.39,57.78,57.33,57.69,9569.911,550669.24550,2853
1653152400000,2022-05-21 17:00:00,DASH/USDT,57.90,58.04,57.35,57.38,12873.367,742748.35119,3566
1653148800000,2022-05-21 16:00:00,DASH/USDT,57.66,58.23,57.51,57.90,17192.629,994850.44794,5730
1653145200000,2022-05-21 15:00:00,DASH/USDT,57.79,58.06,57.21,57.66,19688.536,1132782.57796,5832
1653141600000,2022-05-21 14:00:00,DASH/USDT,56.80,58.14,56.75,57.79,43498.297,2497372.14481,7486
1653138000000,2022-05-21 13:00:00,DASH/USDT,56.90,57.36,56.66,56.80,11539.084,657940.59272,3326
1653134400000,2022-05-21 12:00:00,DASH/USDT,56.79,56.99,56.49,56.89,11874.748,673852.57585,3501
1653130800000,2022-05-21 11:00:00,DASH/USDT,56.83,56.93,56.32,56.79,9820.977,556852.50391,3287
1653127200000,2022-05-21 10:00:00,DASH/USDT,56.97,57.28,56.59,56.83,11188.551,636375.54991,3700
1653123600000,2022-05-21 09:00:00,DASH/USDT,57.17,57.34,56.64,56.94,12076.530,687842.96601,3464
1653120000000,2022-05-21 08:00:00,DASH/USDT,57.13,57.44,56.86,57.15,16652.254,951797.24014,4623
1653116400000,2022-05-21 07:00:00,DASH/USDT,56.76,57.29,56.41,57.13,12132.672,690869.97422,3618
1653112800000,2022-05-21 06:00:00,DASH/USDT,56.51,56.90,56.28,56.76,11527.466,652589.01787,3264
1653109200000,2022-05-21 05:00:00,DASH/USDT,56.45,56.74,56.08,56.51,14012.370,790205.46343,3665
1653105600000,2022-05-21 04:00:00,DASH/USDT,56.99,57.04,56.39,56.44,10352.362,586651.62988,2986
1653102000000,2022-05-21 03:00:00,DASH/USDT,56.78,57.06,56.04,57.00,15895.473,898601.43308,4006
1653098400000,2022-05-21 02:00:00,DASH/USDT,56.54,57.18,56.12,56.80,18430.797,1044343.35337,5203
1653094800000,2022-05-21 01:00:00,DASH/USDT,57.15,57.22,55.69,56.55,18669.707,1051494.45049,5991
1653091200000,2022-05-21 00:00:00,DASH/USDT,57.30,57.63,56.47,57.16,14283.152,817225.12025,5662
1653087600000,2022-05-20 23:00:00,DASH/USDT,57.43,58.20,57.22,57.29,12999.545,750012.04573,3725
1653084000000,2022-05-20 22:00:00,DASH/USDT,57.19,58.05,57.11,57.43,16693.374,963004.06295,3974
1653080400000,2022-05-20 21:00:00,DASH/USDT,57.14,57.82,57.07,57.18,10131.847,582144.05183,3123
1653076800000,2022-05-20 20:00:00,DASH/USDT,57.64,58.43,56.84,57.17,31968.976,1847218.15656,7560
1653073200000,2022-05-20 19:00:00,DASH/USDT,56.68,57.70,56.40,57.65,21591.816,1233164.05378,5451
1653069600000,2022-05-20 18:00:00,DASH/USDT,56.43,56.90,55.91,56.69,17394.373,978950.58588,4673
1653066000000,2022-05-20 17:00:00,DASH/USDT,56.17,56.63,55.68,56.43,27544.716,1545793.76709,7138
1653062400000,2022-05-20 16:00:00,DASH/USDT,56.95,57.03,55.67,56.18,40460.001,2275260.29693,11764
1653058800000,2022-05-20 15:00:00,DASH/USDT,57.38,57.75,56.43,56.96,32036.669,1829075.20586,9297
1653055200000,2022-05-20 14:00:00,DASH/USDT,58.93,58.96,57.17,57.41,33586.296,1944502.28050,10111
1653051600000,2022-05-20 13:00:00,DASH/USDT,58.72,59.26,58.10,58.94,25622.671,1504657.79558,8127
1653048000000,2022-05-20 12:00:00,DASH/USDT,59.95,60.04,58.29,58.72,28207.965,1663978.38157,7812
1653044400000,2022-05-20 11:00:00,DASH/USDT,59.75,60.17,59.18,59.93,23949.933,1431568.80327,7223
1653040800000,2022-05-20 10:00:00,DASH/USDT,59.51,59.85,59.26,59.73,14139.497,842027.31830,4813
1653037200000,2022-05-20 09:00:00,DASH/USDT,59.11,59.99,58.92,59.52,22176.795,1319367.11473,6207
1653033600000,2022-05-20 08:00:00,DASH/USDT,58.97,59.79,58.78,59.10,30106.811,1784202.41874,8771
1653030000000,2022-05-20 07:00:00,DASH/USDT,58.26,59.08,57.66,59.01,15060.779,880727.82425,4649
1653026400000,2022-05-20 06:00:00,DASH/USDT,58.69,58.73,57.65,58.30,19990.761,1162039.19534,5766
1653022800000,2022-05-20 05:00:00,DASH/USDT,57.40,58.89,57.04,58.69,26213.375,1521261.19209,6488
1653019200000,2022-05-20 04:00:00,DASH/USDT,57.65,58.04,56.94,57.42,17853.133,1026453.50513,4876
1653015600000,2022-05-20 03:00:00,DASH/USDT,58.23,58.35,57.40,57.65,19235.873,1109093.02153,4709
1653012000000,2022-05-20 02:00:00,DASH/USDT,58.73,58.84,57.95,58.21,12731.648,742662.24554,4002
1653008400000,2022-05-20 01:00:00,DASH/USDT,58.74,59.64,58.35,58.73,21466.655,1266004.60082,6426
1653004800000,2022-05-20 00:00:00,DASH/USDT,58.81,59.01,58.17,58.75,19191.773,1125645.58980,6840
1653001200000,2022-05-19 23:00:00,DASH/USDT,57.70,58.83,57.40,58.82,22914.944,1333230.60875,6716
1652997600000,2022-05-19 22:00:00,DASH/USDT,57.45,57.71,56.86,57.68,19096.380,1093776.60008,4656
1652994000000,2022-05-19 21:00:00,DASH/USDT,57.46,57.82,57.34,57.46,8717.059,501766.78115,2779
1652990400000,2022-05-19 20:00:00,DASH/USDT,56.81,57.44,56.77,57.44,10868.546,620220.04462,3593
1652986800000,2022-05-19 19:00:00,DASH/USDT,57.69,57.82,56.77,56.78,14166.324,810524.97102,4463
1652983200000,2022-05-19 18:00:00,DASH/USDT,57.77,58.05,57.38,57.70,16243.132,937046.03449,4624
1652979600000,2022-05-19 17:00:00,DASH/USDT,58.07,58.33,57.26,57.78,15340.720,885723.11731,4850
1652976000000,2022-05-19 16:00:00,DASH/USDT,58.42,58.85,57.73,58.04,19748.354,1150620.09828,6616
1652972400000,2022-05-19 15:00:00,DASH/USDT,57.06,59.41,56.69,58.41,66504.704,3884044.73098,15513
1652968800000,2022-05-19 14:00:00,DASH/USDT,56.31,57.59,56.27,57.04,31230.376,1779472.64880,9358
1652965200000,2022-05-19 13:00:00,DASH/USDT,55.96,57.20,55.84,56.30,39992.725,2259710.88001,11140
1652961600000,2022-05-19 12:00:00,DASH/USDT,56.12,56.35,55.67,55.96,25454.529,1424986.67655,7670
1652958000000,2022-05-19 11:00:00,DASH/USDT,54.74,56.23,54.35,56.13,28534.431,1574020.96131,7397
1652954400000,2022-05-19 10:00:00,DASH/USDT,54.60,54.86,54.00,54.74,28948.795,1578976.77149,7101
1652950800000,2022-05-19 09:00:00,DASH/USDT,54.84,55.12,54.10,54.60,18352.490,1002924.67677,6035
1652947200000,2022-05-19 08:00:00,DASH/USDT,56.12,56.28,54.66,54.83,26511.431,1467964.41064,7825
1652943600000,2022-05-19 07:00:00,DASH/USDT,56.82,56.83,55.65,56.13,13431.412,754747.83021,4367
1652940000000,2022-05-19 06:00:00,DASH/USDT,55.29,57.03,55.27,56.82,15457.739,868478.41679,4493
1652936400000,2022-05-19 05:00:00,DASH/USDT,55.72,55.82,55.14,55.28,10308.858,571541.62004,3092
1652932800000,2022-05-19 04:00:00,DASH/USDT,55.90,56.35,55.64,55.70,9996.382,559387.29786,3272
1652929200000,2022-05-19 03:00:00,DASH/USDT,55.56,56.19,55.46,55.90,20084.360,1121474.33995,6079
1652925600000,2022-05-19 02:00:00,DASH/USDT,54.10,55.73,53.25,55.60,31538.486,1720140.53923,9263
1652922000000,2022-05-19 01:00:00,DASH/USDT,55.54,56.27,53.70,54.08,23599.428,1299173.67217,7217
1652918400000,2022-05-19 00:00:00,DASH/USDT,55.67,56.22,55.16,55.56,14494.699,808202.90107,5827
1652914800000,2022-05-18 23:00:00,DASH/USDT,56.44,56.96,55.04,55.64,27003.335,1505165.55332,7646
1652911200000,2022-05-18 22:00:00,DASH/USDT,56.57,57.04,56.12,56.48,14875.461,841008.74230,4800
1652907600000,2022-05-18 21:00:00,DASH/USDT,57.12,57.35,56.35,56.57,9820.378,558824.57526,3136
1652904000000,2022-05-18 20:00:00,DASH/USDT,57.60,57.65,56.34,57.11,13290.471,756803.31517,4176
1652900400000,2022-05-18 19:00:00,DASH/USDT,56.96,57.79,56.94,57.60,15311.522,879577.89239,4951
1652896800000,2022-05-18 18:00:00,DASH/USDT,56.71,57.18,56.38,56.96,11949.137,678736.05308,4644
1652893200000,2022-05-18 17:00:00,DASH/USDT,57.29,57.31,56.51,56.71,17016.090,968890.81488,5472
1652889600000,2022-05-18 16:00:00,DASH/USDT,56.71,57.72,56.05,57.28,29649.511,1686511.18078,9125
1652886000000,2022-05-18 15:00:00,DASH/USDT,57.39,57.50,56.00,56.72,34133.083,1933777.78751,10437
1652882400000,2022-05-18 14:00:00,DASH/USDT,57.26,58.53,57.17,57.38,31280.751,1810317.54556,8305
1652878800000,2022-05-18 13:00:00,DASH/USDT,58.14,58.39,57.09,57.29,27506.323,1587459.39721,9137
1652875200000,2022-05-18 12:00:00,DASH/USDT,59.44,59.64,57.85,58.16,26689.164,1568075.39340,7478
1652871600000,2022-05-18 11:00:00,DASH/USDT,59.79,59.92,58.95,59.44,25441.779,1511675.14603,5891
1652868000000,2022-05-18 10:00:00,DASH/USDT,59.60,59.98,59.21,59.79,19864.890,1185151.34772,5471
1652864400000,2022-05-18 09:00:00,DASH/USDT,59.57,59.72,58.88,59.60,20477.896,1215350.87925,5304
1652860800000,2022-05-18 08:00:00,DASH/USDT,59.27,59.86,59.12,59.58,17878.459,1063726.11382,5399
1652857200000,2022-05-18 07:00:00,DASH/USDT,59.03,59.49,58.82,59.25,18588.806,1098977.17257,4809
1652853600000,2022-05-18 06:00:00,DASH/USDT,59.38,59.82,58.64,59.03,21046.265,1245571.12925,6027
1652850000000,2022-05-18 05:00:00,DASH/USDT,58.79,59.79,58.62,59.38,19454.223,1152925.07555,5351
1652846400000,2022-05-18 04:00:00,DASH/USDT,58.43,59.39,58.39,58.79,18616.493,1097356.69041,5933
1652842800000,2022-05-18 03:00:00,DASH/USDT,60.44,60.44,58.26,58.45,24089.054,1428307.01384,7198
1652839200000,2022-05-18 02:00:00,DASH/USDT,59.99,60.92,59.85,60.45,26920.502,1627873.96017,6112
1652835600000,2022-05-18 01:00:00,DASH/USDT,60.51,60.69,59.29,59.98,27854.668,1672048.17279,6984
1652832000000,2022-05-18 00:00:00,DASH/USDT,60.15,61.67,60.07,60.48,19640.526,1196686.78380,6681
1652828400000,2022-05-17 23:00:00,DASH/USDT,60.46,61.00,60.08,60.14,16949.507,1027302.92573,5038
1652824800000,2022-05-17 22:00:00,DASH/USDT,59.87,61.17,59.75,60.46,28621.899,1735387.08729,8939
1652821200000,2022-05-17 21:00:00,DASH/USDT,58.57,60.09,58.49,59.87,11111.853,658254.78868,3374
1652817600000,2022-05-17 20:00:00,DASH/USDT,57.93,58.93,57.79,58.57,13063.545,764083.84516,4017
1652814000000,2022-05-17 19:00:00,DASH/USDT,57.51,58.74,57.25,57.91,23388.031,1358623.65560,7203
1652810400000,2022-05-17 18:00:00,DASH/USDT,57.91,58.52,56.38,57.52,33081.137,1894168.38860,10642
1652806800000,2022-05-17 17:00:00,DASH/USDT,58.23,59.10,57.89,57.94,30524.522,1790478.42208,7472
1652803200000,2022-05-17 16:00:00,DASH/USDT,58.61,58.86,57.29,58.24,50135.231,2913125.57338,10423
1652799600000,2022-05-17 15:00:00,DASH/USDT,58.32,58.84,57.79,58.60,25564.229,1493726.64484,7528
1652796000000,2022-05-17 14:00:00,DASH/USDT,60.22,60.39,58.30,58.32,28418.998,1685818.32299,7429
1652792400000,2022-05-17 13:00:00,DASH/USDT,60.20,61.06,59.62,60.22,21894.015,1320352.43999,6341
1652788800000,2022-05-17 12:00:00,DASH/USDT,59.47,60.64,59.35,60.19,17276.351,1037707.14852,5346
1652785200000,2022-05-17 11:00:00,DASH/USDT,59.70,60.29,59.46,59.48,13095.168,783681.28848,4129
1652781600000,2022-05-17 10:00:00,DASH/USDT,59.73,60.13,59.52,59.73,15312.139,915369.85620,3810
1652778000000,2022-05-17 09:00:00,DASH/USDT,59.43,60.15,59.38,59.72,13041.806,779877.88451,3735
1652774400000,2022-05-17 08:00:00,DASH/USDT,59.25,59.93,59.20,59.44,19788.721,1179578.02195,4424
1652770800000,2022-05-17 07:00:00,DASH/USDT,60.50,60.56,59.15,59.26,19136.166,1143463.51717,5020
1652767200000,2022-05-17 06:00:00,DASH/USDT,60.12,60.53,59.69,60.48,19615.368,1178681.88152,4890
1652763600000,2022-05-17 05:00:00,DASH/USDT,60.15,60.26,59.36,60.13,17043.988,1019108.68418,4384
1652760000000,2022-05-17 04:00:00,DASH/USDT,59.84,60.37,59.39,60.17,16702.540,1000155.37837,4521
1652756400000,2022-05-17 03:00:00,DASH/USDT,58.60,60.06,58.47,59.84,12953.215,768711.19881,4415
1652752800000,2022-05-17 02:00:00,DASH/USDT,58.97,59.46,58.10,58.62,16170.415,949605.86684,4358
1652749200000,2022-05-17 01:00:00,DASH/USDT,58.83,59.06,58.17,58.96,15252.192,893795.93040,4296
1652745600000,2022-05-17 00:00:00,DASH/USDT,57.87,59.08,57.65,58.85,21825.654,1276584.33317,6702
1652742000000,2022-05-16 23:00:00,DASH/USDT,57.74,58.81,57.29,57.88,25222.294,1456664.47968,6647
1652738400000,2022-05-16 22:00:00,DASH/USDT,58.75,58.96,57.58,57.75,21594.419,1262470.61390,5913
1652734800000,2022-05-16 21:00:00,DASH/USDT,58.96,58.97,58.24,58.73,16567.828,971328.07066,4769
1652731200000,2022-05-16 20:00:00,DASH/USDT,58.32,59.08,58.28,58.95,18401.707,1080167.03851,5309
1652727600000,2022-05-16 19:00:00,DASH/USDT,58.65,58.92,57.84,58.32,29524.609,1722834.11277,7108
1652724000000,2022-05-16 18:00:00,DASH/USDT,58.23,59.10,58.00,58.64,22577.735,1322298.44745,6959
1652720400000,2022-05-16 17:00:00,DASH/USDT,57.02,58.68,56.88,58.23,31256.664,1812972.55790,8161
1652716800000,2022-05-16 16:00:00,DASH/USDT,56.98,58.87,56.63,57.02,73375.469,4234366.44063,17747
1652713200000,2022-05-16 15:00:00,DASH/USDT,55.80,57.10,55.58,56.97,55401.192,3123871.20544,9685
1652709600000,2022-05-16 14:00:00,DASH/USDT,56.68,57.69,55.75,55.80,28102.269,1592655.36154,8656
1652706000000,2022-05-16 13:00:00,DASH/USDT,57.35,58.06,56.25,56.72,31303.267,1788179.71957,8977
1652702400000,2022-05-16 12:00:00,DASH/USDT,56.95,58.41,56.42,57.38,60363.691,3480078.53480,10236
1652698800000,2022-05-16 11:00:00,DASH/USDT,57.80,57.84,56.66,56.97,23759.833,1358129.05970,6846
1652695200000,2022-05-16 10:00:00,DASH/USDT,55.71,58.06,55.22,57.81,37819.423,2153136.73523,10212
1652691600000,2022-05-16 09:00:00,DASH/USDT,57.90,57.90,55.64,55.70,36479.834,2065593.92760,9219
1652688000000,2022-05-16 08:00:00,DASH/USDT,57.40,58.36,56.99,57.93,20140.348,1163060.66473,6170
1652684400000,2022-05-16 07:00:00,DASH/USDT,56.75,57.80,56.01,57.41,27736.701,1579446.57193,8535
1652680800000,2022-05-16 06:00:00,DASH/USDT,59.72,59.72,56.38,56.78,47527.356,2733518.42079,13404
1652677200000,2022-05-16 05:00:00,DASH/USDT,60.41,60.74,59.57,59.75,11122.927,669686.39879,3441
1652673600000,2022-05-16 04:00:00,DASH/USDT,60.70,60.77,59.93,60.44,13768.284,830788.91907,4145
1652670000000,2022-05-16 03:00:00,DASH/USDT,61.45,61.65,60.13,60.72,19893.082,1208658.90230,4683
1652666400000,2022-05-16 02:00:00,DASH/USDT,61.14,62.70,60.40,61.44,23339.273,1435484.83437,6856
1652662800000,2022-05-16 01:00:00,DASH/USDT,61.01,61.78,60.16,61.11,21431.010,1302851.18399,5640
1652659200000,2022-05-16 00:00:00,DASH/USDT,63.04,63.23,60.70,61.02,31299.844,1931510.47462,8803
1652655600000,2022-05-15 23:00:00,DASH/USDT,62.24,63.09,62.20,63.04,17268.667,1079591.75070,4348
1652652000000,2022-05-15 22:00:00,DASH/USDT,61.97,63.04,61.81,62.24,23775.603,1488310.21881,6540
1652648400000,2022-05-15 21:00:00,DASH/USDT,61.92,62.28,61.20,61.96,16468.266,1016095.02754,4845
1652644800000,2022-05-15 20:00:00,DASH/USDT,60.31,62.15,59.90,61.89,33065.447,2026092.04377,9569
1652641200000,2022-05-15 19:00:00,DASH/USDT,59.38,60.40,58.71,60.34,41879.652,2491204.48922,10464
1652637600000,2022-05-15 18:00:00,DASH/USDT,60.01,60.80,58.27,59.40,104425.459,6194850.57447,18553
1652634000000,2022-05-15 17:00:00,DASH/USDT,61.68,62.09,59.90,60.03,23657.042,1438053.15659,5178
1652630400000,2022-05-15 16:00:00,DASH/USDT,60.83,62.25,60.24,61.67,17098.036,1044911.47224,5580
1652626800000,2022-05-15 15:00:00,DASH/USDT,60.75,61.71,60.16,60.81,23189.936,1410749.87028,5727
1652623200000,2022-05-15 14:00:00,DASH/USDT,60.13,61.46,59.25,60.74,35841.242,2164661.68806,10136
1652619600000,2022-05-15 13:00:00,DASH/USDT,61.67,61.88,59.82,60.17,20967.993,1273716.24897,6406
1652616000000,2022-05-15 12:00:00,DASH/USDT,62.26,62.54,61.51,61.67,23036.668,1429573.56502,6993
1652612400000,2022-05-15 11:00:00,DASH/USDT,61.29,62.78,61.03,62.26,18493.814,1143007.59994,5537
1652608800000,2022-05-15 10:00:00,DASH/USDT,60.83,61.43,60.15,61.29,13741.723,835456.28578,3381
1652605200000,2022-05-15 09:00:00,DASH/USDT,60.23,60.88,60.07,60.83,7978.079,482573.60252,2624
1652601600000,2022-05-15 08:00:00,DASH/USDT,60.31,60.87,59.51,60.22,14625.148,880126.18685,4262
1652598000000,2022-05-15 07:00:00,DASH/USDT,61.03,61.47,60.16,60.35,11702.471,711432.52362,3524
1652594400000,2022-05-15 06:00:00,DASH/USDT,60.88,61.14,60.25,61.02,11684.521,709591.90224,3862
1652590800000,2022-05-15 05:00:00,DASH/USDT,59.73,60.98,59.39,60.88,10798.357,651078.76041,3185
1652587200000,2022-05-15 04:00:00,DASH/USDT,59.87,60.33,59.40,59.76,10079.619,603507.31335,3045
1652583600000,2022-05-15 03:00:00,DASH/USDT,60.21,60.42,58.92,59.90,16444.338,981632.43106,4872
1652580000000,2022-05-15 02:00:00,DASH/USDT,61.13,62.31,59.63,60.19,43688.936,2653210.87734,10932
1652576400000,2022-05-15 01:00:00,DASH/USDT,60.82,61.86,59.31,61.14,30067.755,1817215.51307,7329
