https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,DASH/USDT,56.98,57.19,56.83,56.95,4304.656,245377.24864,1558
1653091200000,2022-05-21 00:00:00,DASH/USDT,57.30,58.23,55.69,56.99,369417.139,21072744.19251,99824
1653004800000,2022-05-20 00:00:00,DASH/USDT,58.81,60.17,55.67,57.29,540355.282,31328813.51380,153525
1652918400000,2022-05-19 00:00:00,DASH/USDT,55.67,59.41,53.25,58.82,531536.304,30008156.62957,153946
1652832000000,2022-05-18 00:00:00,DASH/USDT,60.15,61.67,55.04,55.64,518398.787,30270797.73606,150467
1652745600000,2022-05-17 00:00:00,DASH/USDT,57.87,61.17,56.38,60.14,499966.690,29567643.08446,138436
1652659200000,2022-05-16 00:00:00,DASH/USDT,63.04,63.23,55.22,57.88,728009.059,42279752.67597,188121
1652572800000,2022-05-15 00:00:00,DASH/USDT,60.89,63.09,58.27,63.04,590462.077,35780858.63596,153963
1652486400000,2022-05-14 00:00:00,DASH/USDT,57.98,61.47,55.10,60.89,452271.425,26538258.72264,136017
1652400000000,2022-05-13 00:00:00,DASH/USDT,53.77,62.64,52.62,57.99,561241.724,33157499.87215,179567
1652313600000,2022-05-12 00:00:00,DASH/USDT,58.19,61.61,44.81,53.76,1381449.000,71648943.67532,398959
1652227200000,2022-05-11 00:00:00,DASH/USDT,73.35,74.59,53.52,58.17,1292547.698,83592169.86596,420259
1652140800000,2022-05-10 00:00:00,DASH/USDT,69.67,78.97,68.03,73.33,810999.681,60012541.03256,292487
1652054400000,2022-05-09 00:00:00,DASH/USDT,82.92,85.66,68.48,69.67,759966.818,58086455.79442,273410
1651968000000,2022-05-08 00:00:00,DASH/USDT,83.45,85.40,79.71,82.89,364401.711,30246725.90644,147216
1651881600000,2022-05-07 00:00:00,DASH/USDT,87.67,87.84,81.48,83.44,247118.338,21087333.46775,103653
1651795200000,2022-05-06 00:00:00,DASH/USDT,87.43,88.41,84.28,87.66,307751.310,26657467.49025,123002
1651708800000,2022-05-05 00:00:00,DASH/USDT,95.81,97.53,84.46,87.45,435324.822,39831624.49692,186668
1651622400000,2022-05-04 00:00:00,DASH/USDT,88.12,95.96,87.61,95.79,293326.384,26730987.42028,134263
1651536000000,2022-05-03 00:00:00,DASH/USDT,89.22,90.71,86.38,88.11,240730.652,21461417.70358,105258
1651449600000,2022-05-02 00:00:00,DASH/USDT,89.86,90.97,86.23,89.22,277989.177,24713638.80962,116579
1651363200000,2022-05-01 00:00:00,DASH/USDT,84.63,90.56,83.61,89.90,287603.196,25090513.39740,127597
1651276800000,2022-04-30 00:00:00,DASH/USDT,91.96,94.43,80.44,84.62,329860.753,29575251.39428,151420
1651190400000,2022-04-29 00:00:00,DASH/USDT,96.40,99.64,90.39,91.97,363862.178,34610812.25177,155476
1651104000000,2022-04-28 00:00:00,DASH/USDT,95.56,99.85,94.62,96.38,328848.212,31838045.87435,135316
1651017600000,2022-04-27 00:00:00,DASH/USDT,93.04,96.28,92.17,95.56,208441.753,19738160.48632,101576
1650931200000,2022-04-26 00:00:00,DASH/USDT,99.41,101.28,91.22,93.04,355438.153,34457238.26969,167661
1650844800000,2022-04-25 00:00:00,DASH/USDT,99.91,100.15,93.15,99.41,349535.352,33804293.04730,154862
1650758400000,2022-04-24 00:00:00,DASH/USDT,101.81,102.49,98.69,99.91,189810.598,19130805.42238,93673
1650672000000,2022-04-23 00:00:00,DASH/USDT,103.59,104.48,101.00,101.83,157501.035,16227868.23753,81770
1650585600000,2022-04-22 00:00:00,DASH/USDT,102.04,105.97,101.23,103.59,296784.825,30762685.14926,138851
1650499200000,2022-04-21 00:00:00,DASH/USDT,107.01,109.90,99.39,102.01,359000.349,38080144.69528,157436
1650412800000,2022-04-20 00:00:00,DASH/USDT,109.59,109.70,105.19,107.03,299091.756,32166457.54353,135765
1650326400000,2022-04-19 00:00:00,DASH/USDT,108.66,110.63,105.83,109.59,307829.895,33391228.64115,133242
1650240000000,2022-04-18 00:00:00,DASH/USDT,104.23,108.87,100.65,108.64,390012.663,40841178.65597,164842
1650153600000,2022-04-17 00:00:00,DASH/USDT,108.18,109.75,103.95,104.28,231130.378,24941581.25390,96484
1650067200000,2022-04-16 00:00:00,DASH/USDT,109.17,110.38,106.49,108.21,254496.584,27617687.36852,101606
1649980800000,2022-04-15 00:00:00,DASH/USDT,106.07,111.49,105.70,109.16,687593.042,74710726.00853,262858
1649894400000,2022-04-14 00:00:00,DASH/USDT,105.28,108.42,101.36,106.06,383486.926,40394222.10473,182635
1649808000000,2022-04-13 00:00:00,DASH/USDT,102.38,107.00,100.98,105.28,400842.371,41718257.64624,177704
1649721600000,2022-04-12 00:00:00,DASH/USDT,100.68,105.28,99.41,102.37,324458.122,33166309.10271,162246
1649635200000,2022-04-11 00:00:00,DASH/USDT,111.03,112.20,98.53,100.71,510730.148,53411203.98046,233078
1649548800000,2022-04-10 00:00:00,DASH/USDT,114.73,115.60,110.20,111.05,291462.972,32865544.28579,142749
1649462400000,2022-04-09 00:00:00,DASH/USDT,110.76,117.93,110.39,114.72,406237.505,46380367.46933,221121
1649376000000,2022-04-08 00:00:00,DASH/USDT,116.72,118.10,108.22,110.75,368529.862,41835112.20364,191261
1649289600000,2022-04-07 00:00:00,DASH/USDT,113.53,117.75,110.89,116.72,360504.938,41296661.37596,201026
1649203200000,2022-04-06 00:00:00,DASH/USDT,126.94,127.15,113.05,113.56,625494.668,75286586.38827,312878
1649116800000,2022-04-05 00:00:00,DASH/USDT,133.23,136.62,126.25,126.94,438321.105,57815489.73191,243461
1649030400000,2022-04-04 00:00:00,DASH/USDT,132.65,134.50,125.45,133.20,519206.260,68084910.03383,273342
1648944000000,2022-04-03 00:00:00,DASH/USDT,127.43,135.74,124.23,132.64,406443.639,53225413.88197,247595
1648857600000,2022-04-02 00:00:00,DASH/USDT,128.14,131.61,126.35,127.44,314284.219,40612052.18350,191458
1648771200000,2022-04-01 00:00:00,DASH/USDT,127.18,130.70,121.04,128.15,364349.742,46106246.26547,209235
1648684800000,2022-03-31 00:00:00,DASH/USDT,133.10,137.44,125.20,127.20,605543.776,80123095.34786,308391
1648598400000,2022-03-30 00:00:00,DASH/USDT,130.27,137.07,126.26,133.09,501282.940,66485968.91664,248286
1648512000000,2022-03-29 00:00:00,DASH/USDT,127.61,135.87,127.08,130.23,457111.320,59946350.32098,217159
1648425600000,2022-03-28 00:00:00,DASH/USDT,132.88,138.20,125.60,127.62,693802.205,92631291.86749,309642
