https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,EOS/USDT,1.305,1.312,1.304,1.308,736461.1,963089.4071,2721
1653174000000,2022-05-21 23:00:00,EOS/USDT,1.310,1.316,1.303,1.306,2277092.1,2979116.5350,6895
1653170400000,2022-05-21 22:00:00,EOS/USDT,1.293,1.310,1.289,1.310,1458100.2,1896868.3042,4964
1653166800000,2022-05-21 21:00:00,EOS/USDT,1.304,1.310,1.291,1.294,1481533.7,1926732.5925,4996
1653163200000,2022-05-21 20:00:00,EOS/USDT,1.310,1.311,1.301,1.304,966323.4,1262105.5565,4179
1653159600000,2022-05-21 19:00:00,EOS/USDT,1.313,1.318,1.303,1.311,1068574.8,1400817.3108,4174
1653156000000,2022-05-21 18:00:00,EOS/USDT,1.304,1.316,1.303,1.313,1141374.6,1493759.4457,4083
1653152400000,2022-05-21 17:00:00,EOS/USDT,1.312,1.316,1.302,1.304,2242635.9,2933585.6893,6663
1653148800000,2022-05-21 16:00:00,EOS/USDT,1.315,1.324,1.310,1.311,2907441.0,3828607.9625,9699
1653145200000,2022-05-21 15:00:00,EOS/USDT,1.307,1.320,1.293,1.315,3933104.3,5139387.0885,11220
1653141600000,2022-05-21 14:00:00,EOS/USDT,1.293,1.313,1.291,1.308,2527015.9,3291321.9190,7818
1653138000000,2022-05-21 13:00:00,EOS/USDT,1.289,1.299,1.285,1.294,1587118.8,2052645.6457,5776
1653134400000,2022-05-21 12:00:00,EOS/USDT,1.289,1.295,1.283,1.289,1782488.6,2298260.2941,5563
1653130800000,2022-05-21 11:00:00,EOS/USDT,1.288,1.290,1.279,1.288,1963513.0,2523234.1602,5762
1653127200000,2022-05-21 10:00:00,EOS/USDT,1.288,1.296,1.282,1.289,1936223.3,2497042.9280,6472
1653123600000,2022-05-21 09:00:00,EOS/USDT,1.289,1.291,1.282,1.287,1702961.0,2190038.6898,5716
1653120000000,2022-05-21 08:00:00,EOS/USDT,1.290,1.293,1.286,1.289,1985492.6,2559815.0653,7294
1653116400000,2022-05-21 07:00:00,EOS/USDT,1.280,1.290,1.274,1.290,2461527.7,3159149.9264,6430
1653112800000,2022-05-21 06:00:00,EOS/USDT,1.278,1.284,1.272,1.279,6995187.1,8934790.9795,7534
1653109200000,2022-05-21 05:00:00,EOS/USDT,1.275,1.281,1.264,1.278,1678438.1,2137774.2507,5441
1653105600000,2022-05-21 04:00:00,EOS/USDT,1.278,1.279,1.271,1.276,1132220.3,1444333.5380,3960
1653102000000,2022-05-21 03:00:00,EOS/USDT,1.273,1.281,1.263,1.277,1594246.0,2027194.5196,5606
1653098400000,2022-05-21 02:00:00,EOS/USDT,1.264,1.278,1.256,1.274,2276450.3,2887081.0251,6858
1653094800000,2022-05-21 01:00:00,EOS/USDT,1.265,1.266,1.242,1.264,2662993.2,3339853.8853,8280
1653091200000,2022-05-21 00:00:00,EOS/USDT,1.271,1.279,1.250,1.265,5274460.9,6676930.3218,12156
1653087600000,2022-05-20 23:00:00,EOS/USDT,1.271,1.287,1.270,1.272,2080354.1,2663011.9007,6143
1653084000000,2022-05-20 22:00:00,EOS/USDT,1.267,1.281,1.264,1.271,1713481.3,2181749.0432,4893
1653080400000,2022-05-20 21:00:00,EOS/USDT,1.272,1.280,1.266,1.267,994243.2,1266602.1013,3597
1653076800000,2022-05-20 20:00:00,EOS/USDT,1.277,1.286,1.264,1.272,2401143.7,3061606.4613,6843
1653073200000,2022-05-20 19:00:00,EOS/USDT,1.260,1.281,1.258,1.277,2920951.3,3710739.0212,8306
1653069600000,2022-05-20 18:00:00,EOS/USDT,1.259,1.266,1.252,1.260,2326604.9,2926826.1288,8124
1653066000000,2022-05-20 17:00:00,EOS/USDT,1.254,1.261,1.245,1.259,3169546.9,3971108.6378,9403
1653062400000,2022-05-20 16:00:00,EOS/USDT,1.273,1.274,1.244,1.254,6762119.4,8503091.5333,18610
1653058800000,2022-05-20 15:00:00,EOS/USDT,1.280,1.283,1.260,1.272,8316555.2,10575131.2751,20941
1653055200000,2022-05-20 14:00:00,EOS/USDT,1.317,1.318,1.276,1.280,5370571.1,6947726.7409,18787
1653051600000,2022-05-20 13:00:00,EOS/USDT,1.315,1.325,1.304,1.317,3975793.6,5225498.6523,11936
1653048000000,2022-05-20 12:00:00,EOS/USDT,1.328,1.333,1.306,1.315,2843814.3,3754538.6438,8328
1653044400000,2022-05-20 11:00:00,EOS/USDT,1.329,1.336,1.317,1.328,2316687.6,3073205.8639,9514
1653040800000,2022-05-20 10:00:00,EOS/USDT,1.322,1.331,1.320,1.330,1667071.1,2209218.8230,7255
1653037200000,2022-05-20 09:00:00,EOS/USDT,1.313,1.327,1.308,1.321,2529545.9,3335606.2720,8476
1653033600000,2022-05-20 08:00:00,EOS/USDT,1.305,1.319,1.303,1.312,3551129.9,4657747.8768,11684
1653030000000,2022-05-20 07:00:00,EOS/USDT,1.302,1.312,1.297,1.305,3798227.6,4958507.8533,10128
1653026400000,2022-05-20 06:00:00,EOS/USDT,1.313,1.317,1.293,1.303,3298055.0,4292995.8771,14375
1653022800000,2022-05-20 05:00:00,EOS/USDT,1.307,1.319,1.299,1.314,2026601.4,2649619.0306,10460
1653019200000,2022-05-20 04:00:00,EOS/USDT,1.313,1.322,1.301,1.307,2647873.4,3472566.2325,12469
1653015600000,2022-05-20 03:00:00,EOS/USDT,1.325,1.330,1.308,1.314,2534024.6,3336301.9291,11957
1653012000000,2022-05-20 02:00:00,EOS/USDT,1.335,1.338,1.318,1.326,2346514.3,3107376.2133,8318
1653008400000,2022-05-20 01:00:00,EOS/USDT,1.324,1.348,1.314,1.336,3922497.6,5233030.6530,13683
1653004800000,2022-05-20 00:00:00,EOS/USDT,1.320,1.328,1.308,1.325,3111434.7,4103444.1735,10708
1653001200000,2022-05-19 23:00:00,EOS/USDT,1.301,1.330,1.301,1.321,3064876.8,4038327.0085,11343
1652997600000,2022-05-19 22:00:00,EOS/USDT,1.307,1.308,1.292,1.302,1621108.3,2104192.2989,6159
1652994000000,2022-05-19 21:00:00,EOS/USDT,1.315,1.318,1.305,1.307,1325754.8,1738165.2986,4391
1652990400000,2022-05-19 20:00:00,EOS/USDT,1.302,1.316,1.301,1.316,1081640.7,1415058.1189,4746
1652986800000,2022-05-19 19:00:00,EOS/USDT,1.315,1.319,1.302,1.302,1971843.1,2579550.4232,7926
1652983200000,2022-05-19 18:00:00,EOS/USDT,1.318,1.320,1.312,1.316,1393259.8,1833625.2800,6001
1652979600000,2022-05-19 17:00:00,EOS/USDT,1.319,1.322,1.308,1.319,1799591.8,2365980.4230,7203
1652976000000,2022-05-19 16:00:00,EOS/USDT,1.325,1.332,1.313,1.318,2473680.0,3268834.3610,8744
1652972400000,2022-05-19 15:00:00,EOS/USDT,1.304,1.336,1.296,1.324,3741934.8,4942438.2053,14318
1652968800000,2022-05-19 14:00:00,EOS/USDT,1.294,1.314,1.291,1.303,3022503.8,3937078.5158,11554
1652965200000,2022-05-19 13:00:00,EOS/USDT,1.281,1.309,1.280,1.295,4291501.2,5549990.5736,13833
1652961600000,2022-05-19 12:00:00,EOS/USDT,1.288,1.292,1.276,1.281,2374718.0,3047425.4690,8951
1652958000000,2022-05-19 11:00:00,EOS/USDT,1.263,1.291,1.256,1.288,3127011.1,3982932.5656,9435
1652954400000,2022-05-19 10:00:00,EOS/USDT,1.254,1.268,1.248,1.262,2361967.4,2970730.6727,7827
1652950800000,2022-05-19 09:00:00,EOS/USDT,1.254,1.259,1.239,1.255,3013767.6,3765735.0937,9443
1652947200000,2022-05-19 08:00:00,EOS/USDT,1.263,1.268,1.251,1.254,2521152.9,3178871.2679,8240
1652943600000,2022-05-19 07:00:00,EOS/USDT,1.283,1.284,1.259,1.264,1868154.8,2376063.9307,6415
1652940000000,2022-05-19 06:00:00,EOS/USDT,1.258,1.287,1.257,1.283,2014032.1,2561426.5759,6429
1652936400000,2022-05-19 05:00:00,EOS/USDT,1.269,1.274,1.255,1.259,2196832.6,2776016.1884,6368
1652932800000,2022-05-19 04:00:00,EOS/USDT,1.273,1.284,1.266,1.270,2047969.3,2610738.9085,6090
1652929200000,2022-05-19 03:00:00,EOS/USDT,1.266,1.281,1.264,1.273,2969056.4,3783524.8196,8540
1652925600000,2022-05-19 02:00:00,EOS/USDT,1.237,1.269,1.221,1.266,6003838.2,7475381.2825,16923
1652922000000,2022-05-19 01:00:00,EOS/USDT,1.259,1.276,1.227,1.238,4336635.7,5433784.6995,13718
1652918400000,2022-05-19 00:00:00,EOS/USDT,1.265,1.279,1.253,1.260,5080409.7,6430448.6539,15031
1652914800000,2022-05-18 23:00:00,EOS/USDT,1.292,1.300,1.259,1.266,4260152.1,5434115.6467,13854
1652911200000,2022-05-18 22:00:00,EOS/USDT,1.292,1.307,1.286,1.292,2291209.8,2966568.4267,6901
1652907600000,2022-05-18 21:00:00,EOS/USDT,1.297,1.301,1.286,1.292,1378668.2,1785347.8716,4129
1652904000000,2022-05-18 20:00:00,EOS/USDT,1.305,1.307,1.283,1.297,1797736.5,2328980.0697,7038
1652900400000,2022-05-18 19:00:00,EOS/USDT,1.293,1.307,1.292,1.304,2030065.3,2640871.3787,7656
1652896800000,2022-05-18 18:00:00,EOS/USDT,1.285,1.295,1.277,1.294,2130823.8,2741879.8568,9042
1652893200000,2022-05-18 17:00:00,EOS/USDT,1.297,1.298,1.281,1.284,2054009.3,2649063.4901,8618
1652889600000,2022-05-18 16:00:00,EOS/USDT,1.277,1.300,1.271,1.298,5795272.2,7454612.8751,18092
1652886000000,2022-05-18 15:00:00,EOS/USDT,1.304,1.306,1.267,1.277,7963083.0,10213944.1298,26877
1652882400000,2022-05-18 14:00:00,EOS/USDT,1.312,1.325,1.295,1.304,5191569.1,6807122.3902,17628
1652878800000,2022-05-18 13:00:00,EOS/USDT,1.325,1.338,1.306,1.312,6863986.9,9061081.6496,20701
1652875200000,2022-05-18 12:00:00,EOS/USDT,1.352,1.355,1.321,1.326,4387897.5,5867575.3164,13974
1652871600000,2022-05-18 11:00:00,EOS/USDT,1.355,1.359,1.344,1.352,2086138.8,2816881.5700,7501
1652868000000,2022-05-18 10:00:00,EOS/USDT,1.352,1.362,1.350,1.355,1656194.3,2246483.3936,6694
1652864400000,2022-05-18 09:00:00,EOS/USDT,1.352,1.357,1.340,1.352,1759410.0,2370865.2362,7312
1652860800000,2022-05-18 08:00:00,EOS/USDT,1.352,1.356,1.343,1.351,1583150.4,2135223.7627,7126
1652857200000,2022-05-18 07:00:00,EOS/USDT,1.339,1.353,1.336,1.352,1753675.5,2354545.8703,6471
1652853600000,2022-05-18 06:00:00,EOS/USDT,1.356,1.360,1.339,1.339,1834045.5,2474256.0337,7262
1652850000000,2022-05-18 05:00:00,EOS/USDT,1.345,1.358,1.343,1.356,1498678.7,2028995.4572,5978
1652846400000,2022-05-18 04:00:00,EOS/USDT,1.342,1.354,1.341,1.346,1645275.1,2216327.2609,7536
1652842800000,2022-05-18 03:00:00,EOS/USDT,1.376,1.376,1.337,1.342,3688099.6,4989672.5616,12312
1652839200000,2022-05-18 02:00:00,EOS/USDT,1.364,1.377,1.361,1.376,1325250.4,1813433.1343,5128
1652835600000,2022-05-18 01:00:00,EOS/USDT,1.377,1.379,1.360,1.364,1782626.0,2444608.9031,7034
1652832000000,2022-05-18 00:00:00,EOS/USDT,1.377,1.390,1.369,1.378,2195560.3,3032603.5935,8605
1652828400000,2022-05-17 23:00:00,EOS/USDT,1.373,1.384,1.373,1.376,1587316.6,2186653.9880,5952
1652824800000,2022-05-17 22:00:00,EOS/USDT,1.371,1.380,1.362,1.373,1570251.4,2153569.4196,6643
1652821200000,2022-05-17 21:00:00,EOS/USDT,1.347,1.375,1.346,1.370,950417.2,1294930.2285,4356
1652817600000,2022-05-17 20:00:00,EOS/USDT,1.349,1.358,1.345,1.347,986341.4,1333265.9441,4549
1652814000000,2022-05-17 19:00:00,EOS/USDT,1.331,1.362,1.326,1.349,3939774.0,5307214.8042,13131
1652810400000,2022-05-17 18:00:00,EOS/USDT,1.348,1.361,1.310,1.332,6324350.4,8408631.3493,22854
1652806800000,2022-05-17 17:00:00,EOS/USDT,1.363,1.373,1.349,1.349,2930238.4,3996496.8609,9345
1652803200000,2022-05-17 16:00:00,EOS/USDT,1.354,1.366,1.340,1.363,3277991.5,4430936.9756,12056
1652799600000,2022-05-17 15:00:00,EOS/USDT,1.344,1.358,1.341,1.354,2724478.5,3678765.6291,11344
1652796000000,2022-05-17 14:00:00,EOS/USDT,1.381,1.382,1.340,1.344,4123811.4,5608103.9607,13955
1652792400000,2022-05-17 13:00:00,EOS/USDT,1.381,1.394,1.369,1.381,3331662.6,4604685.4903,11283
1652788800000,2022-05-17 12:00:00,EOS/USDT,1.364,1.386,1.361,1.382,2653827.3,3656188.3689,8733
1652785200000,2022-05-17 11:00:00,EOS/USDT,1.370,1.378,1.362,1.365,1604126.0,2195431.3494,6709
1652781600000,2022-05-17 10:00:00,EOS/USDT,1.371,1.377,1.367,1.369,2231265.2,3061103.4189,6448
1652778000000,2022-05-17 09:00:00,EOS/USDT,1.365,1.376,1.365,1.371,1405938.0,1927950.0880,6351
1652774400000,2022-05-17 08:00:00,EOS/USDT,1.357,1.375,1.355,1.366,3746928.3,5110545.8354,10163
1652770800000,2022-05-17 07:00:00,EOS/USDT,1.384,1.384,1.354,1.356,2865400.8,3913485.2220,8786
1652767200000,2022-05-17 06:00:00,EOS/USDT,1.376,1.390,1.361,1.383,5631606.1,7743765.3367,14212
1652763600000,2022-05-17 05:00:00,EOS/USDT,1.366,1.379,1.358,1.376,1648473.8,2256773.2310,6805
1652760000000,2022-05-17 04:00:00,EOS/USDT,1.358,1.386,1.352,1.365,3831157.0,5237172.7640,12213
1652756400000,2022-05-17 03:00:00,EOS/USDT,1.343,1.367,1.342,1.358,2286620.2,3099656.8341,9500
