https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,ETC/USDT,20.340,20.449,20.310,20.430,56979.40,1161284.87345,4593
1653174000000,2022-05-21 23:00:00,ETC/USDT,20.198,20.384,20.184,20.344,89855.29,1823021.22639,6197
1653170400000,2022-05-21 22:00:00,ETC/USDT,20.128,20.204,20.070,20.198,101295.46,2041376.47243,6262
1653166800000,2022-05-21 21:00:00,ETC/USDT,20.233,20.289,20.111,20.123,56978.88,1151413.04129,5022
1653163200000,2022-05-21 20:00:00,ETC/USDT,20.308,20.357,20.155,20.233,91380.27,1849718.25648,6588
1653159600000,2022-05-21 19:00:00,ETC/USDT,20.449,20.513,20.218,20.308,117263.72,2386332.41449,7202
1653156000000,2022-05-21 18:00:00,ETC/USDT,20.356,20.475,20.343,20.450,56555.59,1155124.08304,4862
1653152400000,2022-05-21 17:00:00,ETC/USDT,20.431,20.530,20.335,20.353,115911.36,2367506.80129,7292
1653148800000,2022-05-21 16:00:00,ETC/USDT,20.435,20.540,20.361,20.432,202848.80,4148070.70747,13718
1653145200000,2022-05-21 15:00:00,ETC/USDT,20.382,20.490,20.218,20.435,203812.82,4156133.65578,12612
1653141600000,2022-05-21 14:00:00,ETC/USDT,20.202,20.428,20.142,20.382,139331.30,2824634.43060,9591
1653138000000,2022-05-21 13:00:00,ETC/USDT,20.150,20.247,20.109,20.203,79163.67,1598500.62981,7173
1653134400000,2022-05-21 12:00:00,ETC/USDT,20.193,20.221,20.061,20.155,99893.48,2012654.17608,8533
1653130800000,2022-05-21 11:00:00,ETC/USDT,20.239,20.246,20.034,20.196,83714.92,1686350.64785,7264
1653127200000,2022-05-21 10:00:00,ETC/USDT,20.247,20.326,20.134,20.240,93418.01,1890601.81137,7167
1653123600000,2022-05-21 09:00:00,ETC/USDT,20.292,20.308,20.138,20.246,105899.34,2140074.99592,7664
1653120000000,2022-05-21 08:00:00,ETC/USDT,20.297,20.359,20.227,20.295,104367.79,2119091.26739,8178
1653116400000,2022-05-21 07:00:00,ETC/USDT,20.215,20.354,20.134,20.297,79181.89,1604299.60267,7085
1653112800000,2022-05-21 06:00:00,ETC/USDT,20.182,20.263,20.107,20.215,86512.09,1746466.76787,6691
1653109200000,2022-05-21 05:00:00,ETC/USDT,20.235,20.260,20.045,20.182,97293.19,1960000.76081,7159
1653105600000,2022-05-21 04:00:00,ETC/USDT,20.287,20.312,20.199,20.234,79278.95,1605491.21054,6664
1653102000000,2022-05-21 03:00:00,ETC/USDT,20.193,20.340,20.050,20.287,115016.20,2319707.00563,7778
1653098400000,2022-05-21 02:00:00,ETC/USDT,20.026,20.225,19.927,20.193,86559.47,1739895.32786,7745
1653094800000,2022-05-21 01:00:00,ETC/USDT,20.087,20.128,19.840,20.022,168823.37,3375384.79994,11576
1653091200000,2022-05-21 00:00:00,ETC/USDT,20.135,20.247,19.893,20.088,137800.36,2768883.09147,10964
1653087600000,2022-05-20 23:00:00,ETC/USDT,20.231,20.396,20.097,20.136,200227.44,4059452.69680,10011
1653084000000,2022-05-20 22:00:00,ETC/USDT,20.106,20.352,20.062,20.226,78070.69,1580967.56228,6904
1653080400000,2022-05-20 21:00:00,ETC/USDT,20.129,20.265,20.089,20.109,62331.37,1258073.70832,6208
1653076800000,2022-05-20 20:00:00,ETC/USDT,20.242,20.391,20.029,20.127,189172.60,3827371.91814,11114
1653073200000,2022-05-20 19:00:00,ETC/USDT,20.055,20.294,19.996,20.242,209968.90,4229740.27485,12823
1653069600000,2022-05-20 18:00:00,ETC/USDT,19.982,20.091,19.803,20.057,169754.20,3385709.22943,10847
1653066000000,2022-05-20 17:00:00,ETC/USDT,19.848,20.055,19.739,19.983,213208.69,4234315.65026,15694
1653062400000,2022-05-20 16:00:00,ETC/USDT,20.100,20.100,19.705,19.854,414485.80,8239975.52636,25822
1653058800000,2022-05-20 15:00:00,ETC/USDT,20.341,20.355,19.971,20.102,430007.85,8657373.63247,24821
1653055200000,2022-05-20 14:00:00,ETC/USDT,20.911,20.921,20.283,20.345,369624.17,7588842.51252,21950
