https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,ETC/USDT,20.340,20.430,20.310,20.375,41861.37,852671.71896,3641
1653091200000,2022-05-21 00:00:00,ETC/USDT,20.135,20.540,19.840,20.344,2592156.22,52470733.18447,190987
1653004800000,2022-05-20 00:00:00,ETC/USDT,20.889,21.215,19.705,20.136,5277331.85,108339237.75350,312720
1652918400000,2022-05-19 00:00:00,ETC/USDT,19.779,21.024,19.382,20.889,5597441.34,113525995.78247,328481
1652832000000,2022-05-18 00:00:00,ETC/USDT,21.753,21.956,19.711,19.783,4796882.84,98985038.36470,312557
1652745600000,2022-05-17 00:00:00,ETC/USDT,20.884,21.881,20.618,21.758,4543734.20,96783793.06579,283174
1652659200000,2022-05-16 00:00:00,ETC/USDT,22.126,22.807,20.304,20.881,7160118.34,151609090.05601,426221
1652572800000,2022-05-15 00:00:00,ETC/USDT,21.064,22.155,20.388,22.130,3689929.35,77974815.28014,250093
1652486400000,2022-05-14 00:00:00,ETC/USDT,20.481,21.367,19.511,21.065,5871607.85,120366356.44572,348539
1652400000000,2022-05-13 00:00:00,ETC/USDT,18.886,21.834,18.645,20.479,8683564.03,180491863.79701,556161
1652313600000,2022-05-12 00:00:00,ETC/USDT,19.942,20.784,15.951,18.884,21227172.42,388968678.52495,1388508
1652227200000,2022-05-11 00:00:00,ETC/USDT,23.867,24.400,18.578,19.940,22839059.60,499051321.27891,1456958
1652140800000,2022-05-10 00:00:00,ETC/USDT,22.675,25.517,21.942,23.868,15481636.81,370732825.41574,1013680
1652054400000,2022-05-09 00:00:00,ETC/USDT,26.509,27.205,22.327,22.675,14141000.07,348011562.27347,943281
1651968000000,2022-05-08 00:00:00,ETC/USDT,26.825,27.212,26.092,26.504,5925751.89,157663203.17960,465410
1651881600000,2022-05-07 00:00:00,ETC/USDT,27.937,27.997,26.203,26.825,5564827.21,152155032.94989,420855
1651795200000,2022-05-06 00:00:00,ETC/USDT,28.291,28.618,26.948,27.936,9064437.10,252057953.89685,640471
1651708800000,2022-05-05 00:00:00,ETC/USDT,30.619,32.987,27.277,28.292,19390422.91,581135638.89954,1153852
1651622400000,2022-05-04 00:00:00,ETC/USDT,26.822,30.762,26.773,30.623,8420401.07,240235179.35832,583443
1651536000000,2022-05-03 00:00:00,ETC/USDT,27.399,28.013,26.451,26.823,4025677.06,109730444.40393,363528
1651449600000,2022-05-02 00:00:00,ETC/USDT,27.609,28.315,26.555,27.399,6370481.80,174336539.38777,515825
1651363200000,2022-05-01 00:00:00,ETC/USDT,25.845,28.031,25.756,27.609,8135112.26,218746460.14768,576323
1651276800000,2022-04-30 00:00:00,ETC/USDT,29.171,29.593,24.047,25.840,7751778.26,212890176.42566,548137
1651190400000,2022-04-29 00:00:00,ETC/USDT,31.104,31.430,28.597,29.171,6126561.65,183571009.73537,489177
1651104000000,2022-04-28 00:00:00,ETC/USDT,31.261,31.810,30.401,31.103,6028182.46,187853926.75785,426529
1651017600000,2022-04-27 00:00:00,ETC/USDT,30.642,31.655,30.204,31.260,5827976.35,180816633.97163,453958
1650931200000,2022-04-26 00:00:00,ETC/USDT,33.639,33.887,29.840,30.644,7400317.51,236624055.18892,598324
1650844800000,2022-04-25 00:00:00,ETC/USDT,33.613,34.092,31.310,33.638,11294472.66,367458555.00311,787419
1650758400000,2022-04-24 00:00:00,ETC/USDT,34.531,34.870,33.339,33.614,7111032.93,243330024.12991,477161
1650672000000,2022-04-23 00:00:00,ETC/USDT,35.493,35.699,34.358,34.533,3421718.33,119769649.05347,318719
1650585600000,2022-04-22 00:00:00,ETC/USDT,34.866,35.865,34.520,35.493,6730825.20,237133664.30187,528673
1650499200000,2022-04-21 00:00:00,ETC/USDT,36.523,37.791,34.052,34.867,7936352.07,289171478.81304,677656
1650412800000,2022-04-20 00:00:00,ETC/USDT,37.792,38.136,35.905,36.524,6872147.69,254788333.53817,654814
1650326400000,2022-04-19 00:00:00,ETC/USDT,36.861,37.944,36.163,37.792,6444772.98,238833846.17988,583188
1650240000000,2022-04-18 00:00:00,ETC/USDT,36.558,37.027,34.391,36.862,8589894.84,306133599.09747,647853
1650153600000,2022-04-17 00:00:00,ETC/USDT,38.139,38.449,36.401,36.561,8177889.34,307541719.31428,517319
1650067200000,2022-04-16 00:00:00,ETC/USDT,37.335,38.734,36.954,38.138,11480857.51,437549618.12346,664402
1649980800000,2022-04-15 00:00:00,ETC/USDT,37.033,37.587,36.583,37.333,6119824.54,227235600.06390,513329
1649894400000,2022-04-14 00:00:00,ETC/USDT,38.553,39.159,36.360,37.033,8070781.66,304741606.99665,735483
1649808000000,2022-04-13 00:00:00,ETC/USDT,38.100,38.822,36.698,38.546,10152069.68,384636472.36181,786302
1649721600000,2022-04-12 00:00:00,ETC/USDT,36.979,39.042,36.425,38.101,13307326.21,500932891.15012,1094853
1649635200000,2022-04-11 00:00:00,ETC/USDT,40.293,40.515,35.686,36.980,15619551.99,598499427.70712,1276176
1649548800000,2022-04-10 00:00:00,ETC/USDT,41.938,42.613,40.090,40.293,10032088.13,418013118.03369,790396
1649462400000,2022-04-09 00:00:00,ETC/USDT,40.441,43.030,40.327,41.935,12444147.19,520521795.36918,1087757
1649376000000,2022-04-08 00:00:00,ETC/USDT,43.431,44.052,39.764,40.441,14969903.11,628949803.00757,1264588
1649289600000,2022-04-07 00:00:00,ETC/USDT,38.409,44.669,38.039,43.433,24717503.04,1035341916.81589,1855471
1649203200000,2022-04-06 00:00:00,ETC/USDT,44.369,44.550,38.167,38.413,16550680.90,678245815.08646,1463625
1649116800000,2022-04-05 00:00:00,ETC/USDT,46.732,46.989,44.100,44.353,7887332.49,362008459.99446,695641
1649030400000,2022-04-04 00:00:00,ETC/USDT,46.721,48.642,44.482,46.725,14150881.12,661934345.09552,1169351
1648944000000,2022-04-03 00:00:00,ETC/USDT,45.471,47.955,44.388,46.719,10520150.84,490237748.08613,921092
1648857600000,2022-04-02 00:00:00,ETC/USDT,47.157,48.358,45.080,45.480,9068860.81,422943442.30340,828245
1648771200000,2022-04-01 00:00:00,ETC/USDT,47.445,48.155,42.609,47.162,15530991.07,711405087.00453,1196841
1648684800000,2022-03-31 00:00:00,ETC/USDT,49.675,51.026,45.350,47.444,19114961.87,924741506.92371,1339115
1648598400000,2022-03-30 00:00:00,ETC/USDT,49.280,51.656,48.300,49.671,20858433.50,1044330922.87135,1482544
1648512000000,2022-03-29 00:00:00,ETC/USDT,47.095,52.700,47.000,49.281,35813982.93,1779917875.87023,2210873
1648425600000,2022-03-28 00:00:00,ETC/USDT,47.986,51.409,46.231,47.089,23208725.45,1121420175.36281,1545821
1648339200000,2022-03-27 00:00:00,ETC/USDT,47.145,48.572,44.655,47.987,17141644.79,796212734.92221,1212314
1648252800000,2022-03-26 00:00:00,ETC/USDT,48.138,48.749,46.568,47.143,17789077.83,849621915.93798,1309077
1648166400000,2022-03-25 00:00:00,ETC/USDT,48.524,49.976,45.199,48.139,38973967.99,1859630683.45128,2290562
1648080000000,2022-03-24 00:00:00,ETC/USDT,45.126,50.600,42.600,48.517,47660119.85,2201696501.10325,2707470
1647993600000,2022-03-23 00:00:00,ETC/USDT,45.847,49.212,43.310,45.125,53496865.95,2481541398.86204,2910373
