https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,LINK/USDT,7.051,7.084,7.040,7.069,155098.99,1095061.99635,4369
1653174000000,2022-05-21 23:00:00,LINK/USDT,7.052,7.106,7.037,7.050,384653.92,2717746.05598,7713
1653170400000,2022-05-21 22:00:00,LINK/USDT,6.993,7.052,6.981,7.052,282695.65,1983540.63138,6450
1653166800000,2022-05-21 21:00:00,LINK/USDT,7.039,7.052,6.979,6.993,387822.65,2719322.52064,6984
1653163200000,2022-05-21 20:00:00,LINK/USDT,7.049,7.083,7.013,7.038,401196.99,2828788.26198,8127
1653159600000,2022-05-21 19:00:00,LINK/USDT,7.086,7.104,7.008,7.049,455051.66,3207121.25121,10191
1653156000000,2022-05-21 18:00:00,LINK/USDT,7.037,7.098,7.032,7.086,370268.81,2617946.45706,8538
1653152400000,2022-05-21 17:00:00,LINK/USDT,7.039,7.083,7.011,7.037,359721.55,2533490.62151,8723
1653148800000,2022-05-21 16:00:00,LINK/USDT,7.061,7.118,7.024,7.038,737873.73,5213734.71719,14213
1653145200000,2022-05-21 15:00:00,LINK/USDT,7.048,7.073,6.973,7.061,706505.53,4960508.69386,13492
1653141600000,2022-05-21 14:00:00,LINK/USDT,6.980,7.059,6.935,7.048,808621.95,5667376.42283,12356
1653138000000,2022-05-21 13:00:00,LINK/USDT,6.972,7.027,6.959,6.979,413915.01,2894268.50723,9142
1653134400000,2022-05-21 12:00:00,LINK/USDT,6.981,7.012,6.922,6.971,533962.08,3719353.49361,10003
1653130800000,2022-05-21 11:00:00,LINK/USDT,6.980,6.987,6.921,6.981,404680.41,2815784.53491,8495
1653127200000,2022-05-21 10:00:00,LINK/USDT,6.962,7.018,6.952,6.982,355664.89,2484085.91539,8056
1653123600000,2022-05-21 09:00:00,LINK/USDT,6.996,7.004,6.943,6.962,387857.52,2702582.96665,8336
1653120000000,2022-05-21 08:00:00,LINK/USDT,7.006,7.043,6.959,6.996,428491.61,2998799.23669,10310
1653116400000,2022-05-21 07:00:00,LINK/USDT,6.955,7.042,6.912,7.007,543789.67,3800309.67741,11385
1653112800000,2022-05-21 06:00:00,LINK/USDT,6.927,6.962,6.892,6.954,343928.85,2386385.10473,7193
1653109200000,2022-05-21 05:00:00,LINK/USDT,6.944,6.952,6.872,6.926,431191.17,2980554.11038,8005
1653105600000,2022-05-21 04:00:00,LINK/USDT,6.971,6.981,6.915,6.942,479247.25,3327012.92494,8837
1653102000000,2022-05-21 03:00:00,LINK/USDT,6.911,6.977,6.863,6.970,436796.05,3018876.19907,9635
1653098400000,2022-05-21 02:00:00,LINK/USDT,6.861,6.932,6.818,6.910,454564.89,3129787.47869,11083
1653094800000,2022-05-21 01:00:00,LINK/USDT,6.873,6.891,6.760,6.861,650941.73,4442846.98738,14023
1653091200000,2022-05-21 00:00:00,LINK/USDT,6.864,6.914,6.797,6.873,647758.80,4445360.40350,15470
1653087600000,2022-05-20 23:00:00,LINK/USDT,6.886,6.979,6.847,6.864,586780.12,4055643.37564,11950
1653084000000,2022-05-20 22:00:00,LINK/USDT,6.878,6.970,6.866,6.885,454249.36,3144373.38524,10079
1653080400000,2022-05-20 21:00:00,LINK/USDT,6.882,6.938,6.871,6.877,346163.98,2390782.87953,7907
1653076800000,2022-05-20 20:00:00,LINK/USDT,6.971,7.007,6.855,6.882,764886.71,5301240.97607,14218
1653073200000,2022-05-20 19:00:00,LINK/USDT,6.827,6.983,6.807,6.972,1039997.68,7181060.11559,19656
1653069600000,2022-05-20 18:00:00,LINK/USDT,6.841,6.854,6.743,6.826,657903.99,4472579.41346,14312
1653066000000,2022-05-20 17:00:00,LINK/USDT,6.814,6.856,6.769,6.841,860158.88,5860314.24754,19903
1653062400000,2022-05-20 16:00:00,LINK/USDT,6.853,6.860,6.750,6.816,1566907.96,10657834.59927,28445
1653058800000,2022-05-20 15:00:00,LINK/USDT,7.001,7.003,6.830,6.854,1697283.37,11691851.51531,31813
1653055200000,2022-05-20 14:00:00,LINK/USDT,7.252,7.259,6.978,7.001,1520303.96,10781290.74624,28823
1653051600000,2022-05-20 13:00:00,LINK/USDT,7.196,7.298,7.135,7.253,1582720.51,11422208.53300,23965
1653048000000,2022-05-20 12:00:00,LINK/USDT,7.285,7.299,7.144,7.198,866985.33,6260427.40105,17909
1653044400000,2022-05-20 11:00:00,LINK/USDT,7.239,7.317,7.191,7.285,1234242.31,8957251.46896,22516
1653040800000,2022-05-20 10:00:00,LINK/USDT,7.152,7.240,7.152,7.239,760603.54,5476576.21829,15280
1653037200000,2022-05-20 09:00:00,LINK/USDT,7.071,7.182,7.033,7.152,834003.30,5932794.57273,15898
1653033600000,2022-05-20 08:00:00,LINK/USDT,7.052,7.108,7.017,7.071,769838.27,5437516.87454,15781
1653030000000,2022-05-20 07:00:00,LINK/USDT,7.018,7.077,6.986,7.052,688843.08,4846665.59338,16521
1653026400000,2022-05-20 06:00:00,LINK/USDT,7.121,7.126,6.945,7.018,1030972.13,7223809.04485,23638
1653022800000,2022-05-20 05:00:00,LINK/USDT,7.061,7.133,7.021,7.119,548714.77,3877246.99992,13912
1653019200000,2022-05-20 04:00:00,LINK/USDT,7.109,7.159,7.018,7.062,661806.21,4694398.52731,22148
1653015600000,2022-05-20 03:00:00,LINK/USDT,7.165,7.192,7.081,7.109,707382.31,5038555.05734,23638
1653012000000,2022-05-20 02:00:00,LINK/USDT,7.263,7.276,7.132,7.167,650012.07,4672730.11120,18026
1653008400000,2022-05-20 01:00:00,LINK/USDT,7.183,7.363,7.122,7.264,1085869.03,7878286.78678,26228
1653004800000,2022-05-20 00:00:00,LINK/USDT,7.218,7.228,7.114,7.187,722459.01,5183881.76039,19552
1653001200000,2022-05-19 23:00:00,LINK/USDT,7.087,7.257,7.083,7.218,793279.28,5695900.31642,22311
1652997600000,2022-05-19 22:00:00,LINK/USDT,7.097,7.104,7.021,7.087,565742.89,3988464.38609,14928
1652994000000,2022-05-19 21:00:00,LINK/USDT,7.141,7.178,7.075,7.096,469150.46,3339834.30126,13950
1652990400000,2022-05-19 20:00:00,LINK/USDT,7.062,7.143,7.057,7.141,359069.31,2550126.96670,12985
1652986800000,2022-05-19 19:00:00,LINK/USDT,7.145,7.170,7.061,7.062,459378.12,3264535.12351,16270
1652983200000,2022-05-19 18:00:00,LINK/USDT,7.169,7.204,7.116,7.145,521098.89,3731678.77924,14199
1652979600000,2022-05-19 17:00:00,LINK/USDT,7.145,7.197,7.092,7.168,757520.17,5414270.11271,16172
1652976000000,2022-05-19 16:00:00,LINK/USDT,7.205,7.219,7.121,7.145,1173817.18,8431240.84049,20433
1652972400000,2022-05-19 15:00:00,LINK/USDT,7.027,7.249,6.991,7.203,1860374.27,13293517.68791,30077
1652968800000,2022-05-19 14:00:00,LINK/USDT,6.961,7.098,6.960,7.025,1134721.08,7976239.53864,23082
1652965200000,2022-05-19 13:00:00,LINK/USDT,6.900,7.059,6.866,6.962,1268858.01,8841700.01384,26090
1652961600000,2022-05-19 12:00:00,LINK/USDT,6.970,6.980,6.890,6.899,871111.59,6034311.84039,18680
1652958000000,2022-05-19 11:00:00,LINK/USDT,6.789,6.996,6.714,6.969,1060345.17,7267361.67752,24316
1652954400000,2022-05-19 10:00:00,LINK/USDT,6.739,6.830,6.698,6.790,697541.84,4726015.98644,17966
1652950800000,2022-05-19 09:00:00,LINK/USDT,6.741,6.797,6.676,6.740,765868.17,5161142.67079,18868
1652947200000,2022-05-19 08:00:00,LINK/USDT,6.830,6.843,6.736,6.740,704904.93,4791510.21238,19147
1652943600000,2022-05-19 07:00:00,LINK/USDT,6.960,6.976,6.808,6.830,686050.00,4724283.04435,15925
1652940000000,2022-05-19 06:00:00,LINK/USDT,6.823,6.980,6.822,6.957,597623.09,4128787.90625,15258
1652936400000,2022-05-19 05:00:00,LINK/USDT,6.856,6.877,6.803,6.825,439331.24,3003771.00682,13136
1652932800000,2022-05-19 04:00:00,LINK/USDT,6.894,6.948,6.845,6.858,362218.19,2498409.45509,10289
1652929200000,2022-05-19 03:00:00,LINK/USDT,6.885,6.945,6.861,6.894,752576.21,5192064.86451,17427
1652925600000,2022-05-19 02:00:00,LINK/USDT,6.691,6.899,6.637,6.887,1275535.01,8618798.91067,27536
1652922000000,2022-05-19 01:00:00,LINK/USDT,6.834,6.891,6.652,6.689,846263.18,5737760.35716,16164
1652918400000,2022-05-19 00:00:00,LINK/USDT,6.803,6.910,6.743,6.835,1163241.15,7945786.64181,25174
1652914800000,2022-05-18 23:00:00,LINK/USDT,6.981,7.033,6.774,6.798,2360505.06,16250531.37480,34202
1652911200000,2022-05-18 22:00:00,LINK/USDT,6.989,7.076,6.961,6.981,585259.32,4098449.12090,12818
1652907600000,2022-05-18 21:00:00,LINK/USDT,7.020,7.051,6.964,6.988,351213.11,2459198.19550,7601
1652904000000,2022-05-18 20:00:00,LINK/USDT,7.077,7.086,6.942,7.019,611279.60,4283650.05600,13854
1652900400000,2022-05-18 19:00:00,LINK/USDT,6.998,7.116,6.998,7.078,764656.24,5408818.68837,17163
1652896800000,2022-05-18 18:00:00,LINK/USDT,6.954,7.033,6.906,6.999,765603.26,5339803.41032,16001
1652893200000,2022-05-18 17:00:00,LINK/USDT,7.047,7.053,6.935,6.950,831359.44,5812840.94689,19695
1652889600000,2022-05-18 16:00:00,LINK/USDT,6.953,7.090,6.855,7.047,2164441.98,15114939.58043,39319
1652886000000,2022-05-18 15:00:00,LINK/USDT,7.087,7.099,6.913,6.954,1714187.52,11988810.42499,37958
1652882400000,2022-05-18 14:00:00,LINK/USDT,7.165,7.242,7.032,7.086,1321572.52,9435622.10516,29525
1652878800000,2022-05-18 13:00:00,LINK/USDT,7.303,7.329,7.145,7.166,1600754.11,11569418.06830,28595
1652875200000,2022-05-18 12:00:00,LINK/USDT,7.484,7.492,7.268,7.302,974764.46,7204803.19398,19505
1652871600000,2022-05-18 11:00:00,LINK/USDT,7.528,7.548,7.429,7.485,468983.67,3504011.30483,11392
1652868000000,2022-05-18 10:00:00,LINK/USDT,7.474,7.535,7.470,7.527,381968.19,2867809.61198,10010
1652864400000,2022-05-18 09:00:00,LINK/USDT,7.498,7.529,7.410,7.473,475427.71,3545668.59637,11695
1652860800000,2022-05-18 08:00:00,LINK/USDT,7.503,7.518,7.452,7.498,431472.68,3231467.20558,11681
1652857200000,2022-05-18 07:00:00,LINK/USDT,7.431,7.511,7.421,7.502,421510.45,3142372.90964,10184
1652853600000,2022-05-18 06:00:00,LINK/USDT,7.561,7.586,7.419,7.432,383333.37,2874397.00179,10779
1652850000000,2022-05-18 05:00:00,LINK/USDT,7.472,7.566,7.459,7.561,456002.24,3432990.51392,11738
1652846400000,2022-05-18 04:00:00,LINK/USDT,7.438,7.518,7.425,7.472,451902.97,3379267.51513,10801
1652842800000,2022-05-18 03:00:00,LINK/USDT,7.648,7.660,7.407,7.438,750504.11,5637480.83327,18855
1652839200000,2022-05-18 02:00:00,LINK/USDT,7.595,7.655,7.580,7.649,295747.12,2253685.72611,9744
1652835600000,2022-05-18 01:00:00,LINK/USDT,7.734,7.750,7.587,7.594,478182.45,3664205.26707,14069
1652832000000,2022-05-18 00:00:00,LINK/USDT,7.707,7.808,7.707,7.734,531464.82,4130898.39587,14067
1652828400000,2022-05-17 23:00:00,LINK/USDT,7.660,7.766,7.660,7.710,678437.46,5241056.40000,16933
1652824800000,2022-05-17 22:00:00,LINK/USDT,7.683,7.737,7.627,7.661,387410.15,2974338.12002,13225
1652821200000,2022-05-17 21:00:00,LINK/USDT,7.541,7.709,7.526,7.682,372924.59,2845799.89917,11090
1652817600000,2022-05-17 20:00:00,LINK/USDT,7.525,7.593,7.504,7.540,340378.56,2569412.52018,10461
1652814000000,2022-05-17 19:00:00,LINK/USDT,7.394,7.588,7.375,7.525,1161811.66,8720719.32917,24574
1652810400000,2022-05-17 18:00:00,LINK/USDT,7.489,7.582,7.288,7.394,1560751.97,11536801.00034,33619
1652806800000,2022-05-17 17:00:00,LINK/USDT,7.549,7.600,7.488,7.490,534426.02,4041896.51087,13381
1652803200000,2022-05-17 16:00:00,LINK/USDT,7.602,7.613,7.441,7.549,1089856.93,8197107.18414,23257
1652799600000,2022-05-17 15:00:00,LINK/USDT,7.583,7.629,7.522,7.603,1015723.08,7699817.90076,21161
1652796000000,2022-05-17 14:00:00,LINK/USDT,7.872,7.877,7.571,7.585,1403657.96,10809954.15229,26080
1652792400000,2022-05-17 13:00:00,LINK/USDT,7.901,7.969,7.817,7.873,909439.74,7182464.80191,20430
1652788800000,2022-05-17 12:00:00,LINK/USDT,7.714,7.940,7.696,7.901,978476.61,7657773.23732,20823
1652785200000,2022-05-17 11:00:00,LINK/USDT,7.724,7.781,7.684,7.715,655575.22,5066228.72307,14571
1652781600000,2022-05-17 10:00:00,LINK/USDT,7.782,7.794,7.681,7.724,520284.04,4023276.46204,11886
1652778000000,2022-05-17 09:00:00,LINK/USDT,7.770,7.875,7.744,7.781,698813.04,5453540.54949,15166
1652774400000,2022-05-17 08:00:00,LINK/USDT,7.701,7.832,7.648,7.770,851674.79,6584275.97417,16434
1652770800000,2022-05-17 07:00:00,LINK/USDT,7.839,7.851,7.694,7.701,486740.17,3775365.02054,15496
1652767200000,2022-05-17 06:00:00,LINK/USDT,7.792,7.841,7.711,7.837,468338.00,3639951.43130,12915
1652763600000,2022-05-17 05:00:00,LINK/USDT,7.734,7.806,7.684,7.791,409775.18,3173751.56880,12874
1652760000000,2022-05-17 04:00:00,LINK/USDT,7.715,7.755,7.671,7.735,569949.33,4395187.93675,11088
1652756400000,2022-05-17 03:00:00,LINK/USDT,7.585,7.750,7.575,7.717,596096.14,4578943.19326,14829
1652752800000,2022-05-17 02:00:00,LINK/USDT,7.580,7.634,7.538,7.587,303493.73,2300797.26743,9873
1652749200000,2022-05-17 01:00:00,LINK/USDT,7.652,7.674,7.512,7.579,638319.59,4830656.89581,16142
1652745600000,2022-05-17 00:00:00,LINK/USDT,7.418,7.669,7.384,7.653,1071869.46,8068995.38346,23839
