https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,LTC/USDT,69.80,70.17,69.71,70.09,27902.535,1951829.31466,5792
1653174000000,2022-05-21 23:00:00,LTC/USDT,69.62,69.89,69.44,69.80,37976.829,2645113.99585,6829
1653170400000,2022-05-21 22:00:00,LTC/USDT,69.38,69.66,69.20,69.63,33584.329,2333738.92488,7461
1653166800000,2022-05-21 21:00:00,LTC/USDT,69.69,69.77,69.34,69.37,24823.024,1727811.79120,5343
1653163200000,2022-05-21 20:00:00,LTC/USDT,69.86,69.96,69.52,69.70,36937.286,2576264.31280,8005
1653159600000,2022-05-21 19:00:00,LTC/USDT,70.22,70.40,69.37,69.86,59229.978,4133715.78817,10051
1653156000000,2022-05-21 18:00:00,LTC/USDT,69.88,70.31,69.83,70.22,32133.842,2251585.83842,6724
1653152400000,2022-05-21 17:00:00,LTC/USDT,70.20,70.42,69.64,69.87,53435.690,3741709.04471,9961
1653148800000,2022-05-21 16:00:00,LTC/USDT,69.96,70.66,69.90,70.19,82858.088,5826774.76585,16524
1653145200000,2022-05-21 15:00:00,LTC/USDT,70.01,70.19,69.48,69.97,80451.828,5620899.50053,17790
1653141600000,2022-05-21 14:00:00,LTC/USDT,69.31,70.13,69.05,70.02,105097.338,7314578.51905,15433
1653138000000,2022-05-21 13:00:00,LTC/USDT,69.33,69.67,69.21,69.32,51811.319,3597264.62697,11692
1653134400000,2022-05-21 12:00:00,LTC/USDT,69.10,69.42,68.86,69.32,54292.071,3755911.34419,11460
1653130800000,2022-05-21 11:00:00,LTC/USDT,69.53,69.62,68.77,69.10,76329.127,5281788.28750,12913
1653127200000,2022-05-21 10:00:00,LTC/USDT,69.69,69.94,69.34,69.53,47670.402,3318764.30202,10848
1653123600000,2022-05-21 09:00:00,LTC/USDT,69.91,69.94,69.29,69.69,43824.428,3049563.78554,10300
1653120000000,2022-05-21 08:00:00,LTC/USDT,69.66,69.94,69.49,69.90,50681.177,3534224.56902,10100
1653116400000,2022-05-21 07:00:00,LTC/USDT,69.26,69.88,69.06,69.67,67460.868,4689026.70594,12078
1653112800000,2022-05-21 06:00:00,LTC/USDT,69.28,69.64,69.05,69.26,69154.285,4794199.70563,10958
1653109200000,2022-05-21 05:00:00,LTC/USDT,69.35,69.46,68.78,69.27,92767.498,6417683.05929,11731
1653105600000,2022-05-21 04:00:00,LTC/USDT,69.74,69.75,69.26,69.36,45287.127,3145769.60858,9134
1653102000000,2022-05-21 03:00:00,LTC/USDT,69.34,69.79,69.03,69.73,57438.927,3984389.09351,11271
