https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA,Volume USDT,tradecount
1652400000000,2022-05-13 00:00:00,LUNA/USDT,0.00032000,0.00060000,0.00004000,0.00005000,145150420958.30000000,21343991.13679980,237843
1652396400000,2022-05-12 23:00:00,LUNA/USDT,0.00241000,0.00295000,0.00028000,0.00032000,85458681239.81000000,72883215.11843820,376122
1652392800000,2022-05-12 22:00:00,LUNA/USDT,0.00409000,0.00440000,0.00115000,0.00240000,49934578143.99000000,107327867.35154860,462765
1652389200000,2022-05-12 21:00:00,LUNA/USDT,0.02754000,0.02797000,0.00364000,0.00408000,26626617590.32000000,204151527.72456890,732506
1652385600000,2022-05-12 20:00:00,LUNA/USDT,0.03820000,0.04900000,0.02200000,0.02757000,8429557384.44000000,300626976.41218620,764304
1652382000000,2022-05-12 19:00:00,LUNA/USDT,0.02229000,0.04032000,0.02220000,0.03834000,7313815132.81000000,213886734.96398440,590721
1652378400000,2022-05-12 18:00:00,LUNA/USDT,0.02002000,0.02350000,0.01635000,0.02229000,5398507365.55000000,109655406.89887580,366309
1652374800000,2022-05-12 17:00:00,LUNA/USDT,0.01428000,0.02170000,0.01109000,0.02002000,8711080952.54000000,137734439.03712400,474495
1652371200000,2022-05-12 16:00:00,LUNA/USDT,0.00888000,0.02591000,0.00710000,0.01427000,18683488317.87000000,283561514.38401020,848371
1652367600000,2022-05-12 15:00:00,LUNA/USDT,0.00656000,0.01272000,0.00465000,0.00887000,16684119202.92000000,134938049.19024390,633602
1652364000000,2022-05-12 14:00:00,LUNA/USDT,0.01130000,0.01233000,0.00354000,0.00657000,17289687684.83000000,120252659.08950280,656856
1652360400000,2022-05-12 13:00:00,LUNA/USDT,0.02018000,0.02500000,0.01122000,0.01131000,9154043187.18000000,143949757.10689370,688458
1652356800000,2022-05-12 12:00:00,LUNA/USDT,0.03240000,0.03850000,0.01940000,0.02018000,4860909534.27000000,128121668.22929030,637608
1652353200000,2022-05-12 11:00:00,LUNA/USDT,0.08690000,0.13690000,0.03160000,0.03250000,3691483415.35000000,269408655.77380400,1000046
1652349600000,2022-05-12 10:00:00,LUNA/USDT,0.02600000,0.13000000,0.02020000,0.08710000,3918323797.02000000,224207710.39602600,933466
1652346000000,2022-05-12 09:00:00,LUNA/USDT,0.07580000,0.07890000,0.02570000,0.02600000,2513765118.54000000,113122082.65847000,590775
1652342400000,2022-05-12 08:00:00,LUNA/USDT,0.14100000,0.14420000,0.07500000,0.07580000,1250688018.03000000,130904693.83806200,547024
1652338800000,2022-05-12 07:00:00,LUNA/USDT,0.16050000,0.18400000,0.12110000,0.14070000,866946205.47000000,127492120.58583500,489010
1652335200000,2022-05-12 06:00:00,LUNA/USDT,0.31470000,0.31560000,0.16000000,0.16050000,494986606.81000000,112886152.22272000,452043
1652331600000,2022-05-12 05:00:00,LUNA/USDT,0.29200000,0.42450000,0.21000000,0.31480000,620632503.82000000,178106290.67333500,697383
1652328000000,2022-05-12 04:00:00,LUNA/USDT,0.39200000,0.41980000,0.27710000,0.29200000,335812246.45000000,115533204.00223700,494157
1652324400000,2022-05-12 03:00:00,LUNA/USDT,0.55060000,0.56000000,0.35550000,0.39200000,384331633.22000000,167841620.31639000,657561
1652320800000,2022-05-12 02:00:00,LUNA/USDT,0.84020000,0.88440000,0.55010000,0.55060000,335621308.60000000,232744563.65888800,860233
1652317200000,2022-05-12 01:00:00,LUNA/USDT,1.12970000,1.23190000,0.84000000,0.84010000,139392388.22000000,146874386.63501500,473086
1652313600000,2022-05-12 00:00:00,LUNA/USDT,1.07820000,1.38000000,1.03600000,1.12970000,142072812.38000000,164519579.04145400,462918
