https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEAR,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,NEAR/USDT,6.13600000,6.14100000,6.07300000,6.10000000,281314.70000000,1716522.48810000,5377
1653174000000,2022-05-21 23:00:00,NEAR/USDT,6.01500000,6.19800000,5.99100000,6.13600000,691140.20000000,4210386.78530000,12655
1653170400000,2022-05-21 22:00:00,NEAR/USDT,5.87500000,6.01700000,5.86600000,6.01500000,233707.40000000,1388183.57760000,4724
1653166800000,2022-05-21 21:00:00,NEAR/USDT,5.92300000,5.95400000,5.87500000,5.87600000,175017.00000000,1035741.89540000,3403
1653163200000,2022-05-21 20:00:00,NEAR/USDT,5.96100000,5.98800000,5.90000000,5.92300000,171701.60000000,1020032.90640000,4224
1653159600000,2022-05-21 19:00:00,NEAR/USDT,5.97500000,6.03800000,5.93200000,5.96200000,251896.90000000,1509232.16150000,5922
1653156000000,2022-05-21 18:00:00,NEAR/USDT,5.94400000,5.99800000,5.94200000,5.97800000,189528.80000000,1131673.05160000,3999
1653152400000,2022-05-21 17:00:00,NEAR/USDT,6.00000000,6.02500000,5.91400000,5.94500000,409743.50000000,2439761.36460000,8120
1653148800000,2022-05-21 16:00:00,NEAR/USDT,6.00800000,6.08300000,5.97500000,5.99800000,557232.40000000,3356974.42470000,9827
1653145200000,2022-05-21 15:00:00,NEAR/USDT,5.98700000,6.05400000,5.93400000,6.00700000,872350.20000000,5221102.74790000,14476
1653141600000,2022-05-21 14:00:00,NEAR/USDT,5.87000000,5.99600000,5.86100000,5.98500000,461114.20000000,2729839.72080000,9306
1653138000000,2022-05-21 13:00:00,NEAR/USDT,5.85500000,5.90700000,5.81700000,5.87100000,223330.50000000,1310686.00520000,4868
1653134400000,2022-05-21 12:00:00,NEAR/USDT,5.81800000,5.87900000,5.76600000,5.85800000,252951.20000000,1472238.70530000,5371
1653130800000,2022-05-21 11:00:00,NEAR/USDT,5.84900000,5.85700000,5.76700000,5.81900000,199698.90000000,1160859.02330000,4582
1653127200000,2022-05-21 10:00:00,NEAR/USDT,5.90800000,5.94600000,5.82300000,5.84900000,262466.60000000,1540642.39750000,5289
1653123600000,2022-05-21 09:00:00,NEAR/USDT,5.81500000,5.92000000,5.79700000,5.90700000,312715.20000000,1830430.10070000,5464
1653120000000,2022-05-21 08:00:00,NEAR/USDT,5.81700000,5.85000000,5.80000000,5.81500000,210442.30000000,1225706.63520000,4647
1653116400000,2022-05-21 07:00:00,NEAR/USDT,5.77400000,5.83400000,5.73700000,5.81700000,248000.60000000,1437546.08420000,5916
1653112800000,2022-05-21 06:00:00,NEAR/USDT,5.73900000,5.79000000,5.70000000,5.77400000,246503.00000000,1419674.30550000,4988
1653109200000,2022-05-21 05:00:00,NEAR/USDT,5.74500000,5.76700000,5.69800000,5.73700000,185111.00000000,1060980.32500000,4996
1653105600000,2022-05-21 04:00:00,NEAR/USDT,5.77900000,5.79500000,5.72800000,5.74500000,169604.30000000,976813.30840000,4135
1653102000000,2022-05-21 03:00:00,NEAR/USDT,5.74500000,5.79500000,5.68100000,5.77800000,495713.10000000,2838861.42210000,10587
1653098400000,2022-05-21 02:00:00,NEAR/USDT,5.71200000,5.75800000,5.65500000,5.74400000,447861.50000000,2559352.85230000,8883
