https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,NEO/USDT,10.361,10.399,10.304,10.382,35806.51,370852.22160,2033
1653174000000,2022-05-21 23:00:00,NEO/USDT,10.320,10.421,10.296,10.361,116897.99,1211198.35014,5368
1653170400000,2022-05-21 22:00:00,NEO/USDT,10.184,10.326,10.157,10.321,37915.71,387872.40645,2432
1653166800000,2022-05-21 21:00:00,NEO/USDT,10.320,10.321,10.183,10.183,44488.31,456368.60863,2662
1653163200000,2022-05-21 20:00:00,NEO/USDT,10.400,10.429,10.255,10.321,71292.82,736926.48798,3513
1653159600000,2022-05-21 19:00:00,NEO/USDT,10.470,10.521,10.323,10.400,33627.10,349989.60739,2416
1653156000000,2022-05-21 18:00:00,NEO/USDT,10.388,10.478,10.378,10.470,24597.92,256852.18449,2024
1653152400000,2022-05-21 17:00:00,NEO/USDT,10.481,10.527,10.377,10.389,44164.41,461931.61582,2598
1653148800000,2022-05-21 16:00:00,NEO/USDT,10.483,10.619,10.468,10.481,82903.23,872236.11507,5213
1653145200000,2022-05-21 15:00:00,NEO/USDT,10.423,10.513,10.313,10.483,86033.75,896744.54000,4968
1653141600000,2022-05-21 14:00:00,NEO/USDT,10.236,10.435,10.210,10.421,61901.58,638689.30614,3480
1653138000000,2022-05-21 13:00:00,NEO/USDT,10.197,10.295,10.195,10.236,41869.38,429007.62745,2591
1653134400000,2022-05-21 12:00:00,NEO/USDT,10.253,10.296,10.128,10.197,46558.78,475539.09776,2722
1653130800000,2022-05-21 11:00:00,NEO/USDT,10.244,10.264,10.117,10.255,42459.04,433023.81412,2679
1653127200000,2022-05-21 10:00:00,NEO/USDT,10.290,10.355,10.200,10.245,53846.06,553341.24516,2580
1653123600000,2022-05-21 09:00:00,NEO/USDT,10.283,10.310,10.209,10.282,39305.89,403166.39671,2513
1653120000000,2022-05-21 08:00:00,NEO/USDT,10.251,10.333,10.243,10.285,71026.04,730749.80844,4757
1653116400000,2022-05-21 07:00:00,NEO/USDT,10.166,10.286,10.080,10.250,76472.44,778597.06454,3941
1653112800000,2022-05-21 06:00:00,NEO/USDT,10.132,10.194,10.081,10.164,38668.59,392453.16201,2597
1653109200000,2022-05-21 05:00:00,NEO/USDT,10.148,10.177,10.038,10.130,39272.31,397045.38206,2706
1653105600000,2022-05-21 04:00:00,NEO/USDT,10.234,10.247,10.133,10.148,34343.07,349712.96385,2215
1653102000000,2022-05-21 03:00:00,NEO/USDT,10.176,10.260,10.048,10.234,45530.86,461979.69339,2737
