https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,NEO/USDT,10.361,10.399,10.304,10.325,28139.46,291428.97117,1646
1653091200000,2022-05-21 00:00:00,NEO/USDT,10.111,10.619,9.946,10.361,1461992.35,14993314.49292,82276
1653004800000,2022-05-20 00:00:00,NEO/USDT,10.508,10.797,9.862,10.110,1878324.91,19389430.63311,106546
1652918400000,2022-05-19 00:00:00,NEO/USDT,9.881,10.662,9.520,10.507,1967796.75,19929883.62157,112001
1652832000000,2022-05-18 00:00:00,NEO/USDT,10.980,11.184,9.813,9.878,2133901.96,22236289.36994,119124
1652745600000,2022-05-17 00:00:00,NEO/USDT,10.253,11.197,10.240,10.982,2435187.09,26114220.83426,123961
1652659200000,2022-05-16 00:00:00,NEO/USDT,11.020,11.020,9.855,10.248,2263427.89,23347899.65883,123241
1652572800000,2022-05-15 00:00:00,NEO/USDT,10.674,11.045,10.219,11.021,1565831.91,16599085.49042,90739
1652486400000,2022-05-14 00:00:00,NEO/USDT,10.224,10.762,9.592,10.674,1821367.61,18589702.75298,95842
1652400000000,2022-05-13 00:00:00,NEO/USDT,9.775,11.282,9.643,10.223,2583784.76,27636149.56246,159599
1652313600000,2022-05-12 00:00:00,NEO/USDT,10.536,11.111,8.414,9.779,7008487.73,67171714.72714,417467
1652227200000,2022-05-11 00:00:00,NEO/USDT,13.815,14.092,9.955,10.533,6728355.23,80521225.84395,436624
1652140800000,2022-05-10 00:00:00,NEO/USDT,13.257,15.009,12.861,13.816,3484918.30,49105840.23607,261527
1652054400000,2022-05-09 00:00:00,NEO/USDT,15.917,16.344,13.200,13.257,3627425.66,53021642.23726,237315
1651968000000,2022-05-08 00:00:00,NEO/USDT,16.282,16.430,15.667,15.915,1742576.10,28019235.84577,125180
1651881600000,2022-05-07 00:00:00,NEO/USDT,16.908,17.032,15.901,16.281,1459112.96,24245671.09970,110543
1651795200000,2022-05-06 00:00:00,NEO/USDT,17.175,17.261,16.477,16.907,1633593.18,27572261.28938,121917
1651708800000,2022-05-05 00:00:00,NEO/USDT,19.346,19.584,16.719,17.179,2130048.09,38630880.16062,173941
1651622400000,2022-05-04 00:00:00,NEO/USDT,17.582,19.570,17.502,19.350,2079099.70,38729021.72167,166441
1651536000000,2022-05-03 00:00:00,NEO/USDT,17.567,18.367,17.127,17.577,1662923.37,29596356.62990,129269
1651449600000,2022-05-02 00:00:00,NEO/USDT,17.640,18.024,16.895,17.569,1311978.78,22940619.69255,120115
1651363200000,2022-05-01 00:00:00,NEO/USDT,16.719,17.786,16.389,17.641,1463951.70,25054046.08501,126566
1651276800000,2022-04-30 00:00:00,NEO/USDT,17.930,18.592,16.466,16.719,1894696.61,33741120.04177,157688
1651190400000,2022-04-29 00:00:00,NEO/USDT,18.815,19.035,17.606,17.935,1247573.51,22813854.42467,121778
1651104000000,2022-04-28 00:00:00,NEO/USDT,19.024,19.332,18.636,18.809,1110587.64,21094696.04638,116738
1651017600000,2022-04-27 00:00:00,NEO/USDT,18.548,19.187,18.367,19.024,993328.06,18724438.79672,110893
1650931200000,2022-04-26 00:00:00,NEO/USDT,20.013,20.437,18.216,18.552,1892576.54,37039440.50257,178375
1650844800000,2022-04-25 00:00:00,NEO/USDT,20.176,20.248,18.680,20.012,1702048.19,33235168.90224,157903
1650758400000,2022-04-24 00:00:00,NEO/USDT,20.909,21.076,20.112,20.176,854489.97,17583379.14603,84009
1650672000000,2022-04-23 00:00:00,NEO/USDT,21.099,21.425,20.654,20.914,888131.21,18716414.09713,97215
1650585600000,2022-04-22 00:00:00,NEO/USDT,20.805,21.351,20.681,21.099,1289362.71,27161032.35838,131843
1650499200000,2022-04-21 00:00:00,NEO/USDT,21.498,22.647,20.413,20.807,1974590.77,42751743.82178,174559
1650412800000,2022-04-20 00:00:00,NEO/USDT,22.092,22.179,21.157,21.507,1368355.15,29704083.72044,133948
1650326400000,2022-04-19 00:00:00,NEO/USDT,21.286,22.132,21.051,22.096,1120117.18,24139454.59388,109556
1650240000000,2022-04-18 00:00:00,NEO/USDT,20.465,21.432,19.739,21.284,1486924.47,30492395.10117,135311
1650153600000,2022-04-17 00:00:00,NEO/USDT,21.551,22.038,20.354,20.465,1139001.64,24430389.11837,112000
1650067200000,2022-04-16 00:00:00,NEO/USDT,21.081,21.785,20.943,21.548,1594442.67,34194406.37590,126732
1649980800000,2022-04-15 00:00:00,NEO/USDT,20.588,21.318,20.457,21.079,1229318.68,25815367.63767,118326
1649894400000,2022-04-14 00:00:00,NEO/USDT,21.256,21.522,20.206,20.589,1116440.64,23296512.94253,117044
1649808000000,2022-04-13 00:00:00,NEO/USDT,20.383,21.347,20.097,21.255,1311819.67,27236063.82915,154163
1649721600000,2022-04-12 00:00:00,NEO/USDT,19.690,20.728,19.516,20.379,1189749.69,23968196.10167,140395
1649635200000,2022-04-11 00:00:00,NEO/USDT,21.563,21.773,19.222,19.689,1873495.83,38102255.00558,180077
1649548800000,2022-04-10 00:00:00,NEO/USDT,22.537,22.843,21.502,21.568,967407.69,21518285.96429,123814
1649462400000,2022-04-09 00:00:00,NEO/USDT,21.825,22.571,21.790,22.532,805190.15,17877970.00749,112527
1649376000000,2022-04-08 00:00:00,NEO/USDT,23.240,23.513,21.584,21.833,1282412.24,29144903.16681,145198
1649289600000,2022-04-07 00:00:00,NEO/USDT,22.434,23.433,22.154,23.258,1372939.74,31450004.41583,179087
1649203200000,2022-04-06 00:00:00,NEO/USDT,25.746,25.752,22.340,22.427,2302014.71,55075893.93816,241118
1649116800000,2022-04-05 00:00:00,NEO/USDT,27.182,27.434,25.677,25.744,1182344.83,31425336.92265,162385
1649030400000,2022-04-04 00:00:00,NEO/USDT,28.009,28.048,26.101,27.183,1245604.20,33592239.70100,178554
1648944000000,2022-04-03 00:00:00,NEO/USDT,27.572,28.623,26.810,28.009,958450.74,26584732.86972,141737
1648857600000,2022-04-02 00:00:00,NEO/USDT,28.042,28.851,27.288,27.576,1225034.07,34507905.85024,184842
1648771200000,2022-04-01 00:00:00,NEO/USDT,26.926,28.217,25.504,28.041,1696468.46,45674362.73406,208819
1648684800000,2022-03-31 00:00:00,NEO/USDT,28.369,29.654,26.545,26.915,2227581.29,62942002.41403,269501
1648598400000,2022-03-30 00:00:00,NEO/USDT,26.854,29.418,25.850,28.371,3233660.05,90982323.39271,322809
1648512000000,2022-03-29 00:00:00,NEO/USDT,25.342,29.360,25.270,26.856,4377693.65,120169420.00061,421285
1648425600000,2022-03-28 00:00:00,NEO/USDT,26.039,26.991,24.971,25.327,1806128.32,47660869.05728,193264
