https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ONE,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,ONE/USDT,0.04741000,0.04758000,0.04707000,0.04751000,1899078.70000000,89906.12754600,712
1653174000000,2022-05-21 23:00:00,ONE/USDT,0.04739000,0.04778000,0.04719000,0.04742000,4815949.90000000,228583.10767700,1793
1653170400000,2022-05-21 22:00:00,ONE/USDT,0.04640000,0.04738000,0.04634000,0.04738000,4030296.80000000,188993.31461900,1263
1653166800000,2022-05-21 21:00:00,ONE/USDT,0.04702000,0.04709000,0.04640000,0.04642000,3601999.50000000,168543.85443000,1313
1653163200000,2022-05-21 20:00:00,ONE/USDT,0.04742000,0.04747000,0.04686000,0.04705000,5247059.90000000,247189.60868000,1685
1653159600000,2022-05-21 19:00:00,ONE/USDT,0.04788000,0.04830000,0.04714000,0.04741000,8507856.80000000,404956.55904100,2759
1653156000000,2022-05-21 18:00:00,ONE/USDT,0.04738000,0.04804000,0.04734000,0.04789000,7050742.90000000,336774.54583000,1949
1653152400000,2022-05-21 17:00:00,ONE/USDT,0.04792000,0.04819000,0.04735000,0.04737000,10843724.70000000,517831.64311100,3005
1653148800000,2022-05-21 16:00:00,ONE/USDT,0.04789000,0.04863000,0.04784000,0.04791000,17099712.00000000,823458.64749800,5161
1653145200000,2022-05-21 15:00:00,ONE/USDT,0.04748000,0.04798000,0.04697000,0.04791000,13844059.50000000,657796.41905700,3891
1653141600000,2022-05-21 14:00:00,ONE/USDT,0.04643000,0.04762000,0.04624000,0.04747000,12225342.20000000,574970.48141700,3343
1653138000000,2022-05-21 13:00:00,ONE/USDT,0.04606000,0.04689000,0.04593000,0.04641000,8855334.20000000,411739.69212400,2441
1653134400000,2022-05-21 12:00:00,ONE/USDT,0.04593000,0.04629000,0.04560000,0.04604000,8245676.80000000,379093.30537300,2631
1653130800000,2022-05-21 11:00:00,ONE/USDT,0.04625000,0.04627000,0.04556000,0.04595000,7172162.50000000,329497.06765800,2296
