https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ONT,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,ONT/USDT,0.27440000,0.27510000,0.27230000,0.27390000,137246.00000000,37601.39680000,292
1653174000000,2022-05-21 23:00:00,ONT/USDT,0.27300000,0.27540000,0.27260000,0.27460000,384678.00000000,105388.42970000,796
1653170400000,2022-05-21 22:00:00,ONT/USDT,0.26890000,0.27290000,0.26840000,0.27280000,342646.00000000,92640.45540000,807
1653166800000,2022-05-21 21:00:00,ONT/USDT,0.27240000,0.27240000,0.26910000,0.26910000,329312.00000000,89119.39670000,733
1653163200000,2022-05-21 20:00:00,ONT/USDT,0.27480000,0.27520000,0.27160000,0.27250000,362569.00000000,99086.26610000,732
1653159600000,2022-05-21 19:00:00,ONT/USDT,0.27740000,0.27870000,0.27170000,0.27480000,471011.00000000,129444.84290000,902
1653156000000,2022-05-21 18:00:00,ONT/USDT,0.27460000,0.27780000,0.27460000,0.27730000,217252.00000000,60097.26000000,510
1653152400000,2022-05-21 17:00:00,ONT/USDT,0.27760000,0.27810000,0.27460000,0.27470000,300092.00000000,82887.86920000,700
1653148800000,2022-05-21 16:00:00,ONT/USDT,0.27810000,0.27960000,0.27610000,0.27750000,546909.00000000,151920.68760000,1142
1653145200000,2022-05-21 15:00:00,ONT/USDT,0.27550000,0.27810000,0.27220000,0.27810000,695938.00000000,191721.34710000,1433
1653141600000,2022-05-21 14:00:00,ONT/USDT,0.27040000,0.27560000,0.26980000,0.27530000,511856.00000000,139812.34440000,1126
1653138000000,2022-05-21 13:00:00,ONT/USDT,0.26880000,0.27320000,0.26850000,0.27050000,699030.00000000,189121.13660000,1413
1653134400000,2022-05-21 12:00:00,ONT/USDT,0.26880000,0.26980000,0.26690000,0.26870000,213680.00000000,57346.35150000,469
1653130800000,2022-05-21 11:00:00,ONT/USDT,0.26900000,0.26920000,0.26570000,0.26880000,305949.00000000,81921.01670000,629
1653127200000,2022-05-21 10:00:00,ONT/USDT,0.26960000,0.27120000,0.26790000,0.26890000,266986.00000000,72016.86890000,642
1653123600000,2022-05-21 09:00:00,ONT/USDT,0.27000000,0.27010000,0.26750000,0.26920000,180522.00000000,48532.01660000,415
1653120000000,2022-05-21 08:00:00,ONT/USDT,0.26790000,0.27070000,0.26780000,0.26990000,369212.00000000,99567.62300000,813
1653116400000,2022-05-21 07:00:00,ONT/USDT,0.26710000,0.26950000,0.26480000,0.26800000,379711.00000000,101728.19600000,836
1653112800000,2022-05-21 06:00:00,ONT/USDT,0.26550000,0.26790000,0.26510000,0.26680000,351142.00000000,93629.66330000,718
1653109200000,2022-05-21 05:00:00,ONT/USDT,0.26600000,0.26620000,0.26300000,0.26540000,401936.00000000,106338.52100000,802
1653105600000,2022-05-21 04:00:00,ONT/USDT,0.26830000,0.26860000,0.26520000,0.26600000,283949.00000000,75710.38230000,575
1653102000000,2022-05-21 03:00:00,ONT/USDT,0.26680000,0.26850000,0.26270000,0.26830000,382266.00000000,101446.17380000,890
1653098400000,2022-05-21 02:00:00,ONT/USDT,0.26190000,0.26830000,0.26080000,0.26690000,666184.00000000,176345.73450000,1247
1653094800000,2022-05-21 01:00:00,ONT/USDT,0.26400000,0.26450000,0.25820000,0.26150000,771840.00000000,201164.14630000,1474
1653091200000,2022-05-21 00:00:00,ONT/USDT,0.26600000,0.26640000,0.26010000,0.26400000,673249.00000000,177929.47360000,1576
1653087600000,2022-05-20 23:00:00,ONT/USDT,0.26510000,0.26900000,0.26470000,0.26600000,433044.00000000,115617.66240000,979
1653084000000,2022-05-20 22:00:00,ONT/USDT,0.26280000,0.26760000,0.26220000,0.26510000,461903.00000000,122643.30290000,983
1653080400000,2022-05-20 21:00:00,ONT/USDT,0.26260000,0.26580000,0.26260000,0.26280000,180559.00000000,47733.24370000,437
1653076800000,2022-05-20 20:00:00,ONT/USDT,0.26560000,0.26790000,0.26070000,0.26260000,445961.00000000,117915.51610000,939
1653073200000,2022-05-20 19:00:00,ONT/USDT,0.26420000,0.26620000,0.26220000,0.26570000,370344.00000000,97751.80100000,1038
1653069600000,2022-05-20 18:00:00,ONT/USDT,0.26410000,0.26450000,0.26140000,0.26400000,227999.00000000,59868.51510000,504
1653066000000,2022-05-20 17:00:00,ONT/USDT,0.26250000,0.26430000,0.26070000,0.26430000,495333.00000000,129818.38530000,1245
1653062400000,2022-05-20 16:00:00,ONT/USDT,0.26720000,0.26730000,0.26070000,0.26280000,937026.00000000,246831.48790000,2042
1653058800000,2022-05-20 15:00:00,ONT/USDT,0.27070000,0.27070000,0.26590000,0.26720000,898514.00000000,240752.11350000,1814
1653055200000,2022-05-20 14:00:00,ONT/USDT,0.27940000,0.27970000,0.27020000,0.27060000,883512.00000000,242131.35380000,1932
1653051600000,2022-05-20 13:00:00,ONT/USDT,0.27830000,0.28050000,0.27600000,0.27930000,718067.00000000,199990.01030000,1440
1653048000000,2022-05-20 12:00:00,ONT/USDT,0.28440000,0.28520000,0.27670000,0.27840000,516284.00000000,145032.96550000,1019
1653044400000,2022-05-20 11:00:00,ONT/USDT,0.28260000,0.28490000,0.27970000,0.28430000,679075.00000000,192154.35090000,1459
1653040800000,2022-05-20 10:00:00,ONT/USDT,0.27780000,0.28270000,0.27740000,0.28270000,375824.00000000,105073.77620000,941
1653037200000,2022-05-20 09:00:00,ONT/USDT,0.27470000,0.27900000,0.27360000,0.27770000,287174.00000000,79386.04210000,707
1653033600000,2022-05-20 08:00:00,ONT/USDT,0.27320000,0.27660000,0.27210000,0.27480000,500296.00000000,137308.33470000,1118
1653030000000,2022-05-20 07:00:00,ONT/USDT,0.27120000,0.27470000,0.26940000,0.27320000,471705.00000000,128385.60150000,1019
1653026400000,2022-05-20 06:00:00,ONT/USDT,0.27510000,0.27540000,0.26890000,0.27120000,415566.00000000,112804.88820000,922
1653022800000,2022-05-20 05:00:00,ONT/USDT,0.27200000,0.27570000,0.27090000,0.27530000,397479.00000000,108374.29770000,839
1653019200000,2022-05-20 04:00:00,ONT/USDT,0.27550000,0.27740000,0.27070000,0.27220000,527361.00000000,144692.67600000,1102
1653015600000,2022-05-20 03:00:00,ONT/USDT,0.27610000,0.27660000,0.27390000,0.27570000,734396.00000000,202124.58220000,1493
1653012000000,2022-05-20 02:00:00,ONT/USDT,0.27800000,0.27820000,0.27520000,0.27620000,318324.00000000,88002.42850000,706
1653008400000,2022-05-20 01:00:00,ONT/USDT,0.27660000,0.28030000,0.27370000,0.27800000,760364.00000000,211156.62400000,1722
1653004800000,2022-05-20 00:00:00,ONT/USDT,0.27510000,0.27760000,0.27300000,0.27670000,665811.00000000,183023.07580000,1439
1653001200000,2022-05-19 23:00:00,ONT/USDT,0.26860000,0.27840000,0.26860000,0.27490000,788362.00000000,215927.59940000,1919
1652997600000,2022-05-19 22:00:00,ONT/USDT,0.26910000,0.26940000,0.26530000,0.26840000,505455.00000000,135027.82060000,1167
1652994000000,2022-05-19 21:00:00,ONT/USDT,0.27150000,0.27240000,0.26870000,0.26900000,197726.00000000,53494.63090000,541
1652990400000,2022-05-19 20:00:00,ONT/USDT,0.26880000,0.27170000,0.26830000,0.27140000,184540.00000000,49799.71020000,444
1652986800000,2022-05-19 19:00:00,ONT/USDT,0.27240000,0.27330000,0.26870000,0.26880000,332336.00000000,89866.32650000,932
