https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ONT,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,ONT/USDT,0.27440000,0.27510000,0.27230000,0.27270000,108336.00000000,29689.39310000,229
1653091200000,2022-05-21 00:00:00,ONT/USDT,0.26600000,0.27960000,0.25820000,0.27460000,10107919.00000000,2724916.20320000,21380
1653004800000,2022-05-20 00:00:00,ONT/USDT,0.27510000,0.28520000,0.26070000,0.26600000,12701921.00000000,3458573.03530000,27839
1652918400000,2022-05-19 00:00:00,ONT/USDT,0.25750000,0.27870000,0.24770000,0.27490000,12981541.00000000,3436943.74070000,28395
1652832000000,2022-05-18 00:00:00,ONT/USDT,0.28770000,0.29090000,0.25630000,0.25740000,12045789.00000000,3275080.69890000,27360
1652745600000,2022-05-17 00:00:00,ONT/USDT,0.27330000,0.29160000,0.26670000,0.28770000,12192293.00000000,3415720.64910000,29375
1652659200000,2022-05-16 00:00:00,ONT/USDT,0.28810000,0.30020000,0.26530000,0.27320000,21704212.00000000,6101609.73900000,52194
1652572800000,2022-05-15 00:00:00,ONT/USDT,0.26760000,0.28890000,0.25680000,0.28830000,11184174.00000000,3023350.85890000,26792
1652486400000,2022-05-14 00:00:00,ONT/USDT,0.25350000,0.27250000,0.23730000,0.26740000,16220722.00000000,4133361.26200000,36066
1652400000000,2022-05-13 00:00:00,ONT/USDT,0.23080000,0.27430000,0.22520000,0.25350000,21822283.00000000,5601709.09210000,44484
1652313600000,2022-05-12 00:00:00,ONT/USDT,0.26700000,0.28220000,0.19080000,0.23070000,63915545.00000000,14495774.72175500,94928
1652227200000,2022-05-11 00:00:00,ONT/USDT,0.37230000,0.38180000,0.24730000,0.26730000,50975959.00000000,15573558.45172800,101867
1652140800000,2022-05-10 00:00:00,ONT/USDT,0.35560000,0.40000000,0.34350000,0.37240000,23064294.05000000,8680415.44702500,70425
1652054400000,2022-05-09 00:00:00,ONT/USDT,0.41790000,0.42560000,0.35250000,0.35550000,19582691.24000000,7526306.78255600,54702
1651968000000,2022-05-08 00:00:00,ONT/USDT,0.42100000,0.42700000,0.40760000,0.41770000,9274814.00000000,3867186.35170000,29018
1651881600000,2022-05-07 00:00:00,ONT/USDT,0.43940000,0.44070000,0.40870000,0.42090000,7602267.00000000,3255856.60710000,24214
1651795200000,2022-05-06 00:00:00,ONT/USDT,0.44290000,0.44710000,0.42170000,0.43940000,8642204.00000000,3754206.76900000,27621
1651708800000,2022-05-05 00:00:00,ONT/USDT,0.49040000,0.49460000,0.43100000,0.44290000,10316653.00000000,4732993.39920000,36044
