https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QTUM,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,QTUM/USDT,3.913,3.940,3.910,3.936,48158.0,188977.5455,1073
1653174000000,2022-05-21 23:00:00,QTUM/USDT,3.911,3.943,3.901,3.913,100020.4,392089.7532,1950
1653170400000,2022-05-21 22:00:00,QTUM/USDT,3.868,3.910,3.857,3.910,86985.5,337410.6057,1909
1653166800000,2022-05-21 21:00:00,QTUM/USDT,3.903,3.918,3.867,3.871,88015.8,342513.4374,1707
1653163200000,2022-05-21 20:00:00,QTUM/USDT,3.932,3.943,3.895,3.906,92595.0,362746.9177,1934
1653159600000,2022-05-21 19:00:00,QTUM/USDT,3.978,3.989,3.905,3.932,142332.2,561057.0901,2407
1653156000000,2022-05-21 18:00:00,QTUM/USDT,3.935,3.983,3.928,3.978,131745.5,519907.2021,2554
1653152400000,2022-05-21 17:00:00,QTUM/USDT,3.981,3.998,3.935,3.936,90002.4,356796.0422,2429
1653148800000,2022-05-21 16:00:00,QTUM/USDT,3.959,4.007,3.953,3.982,208059.4,827758.5641,4002
1653145200000,2022-05-21 15:00:00,QTUM/USDT,3.934,3.973,3.884,3.958,169147.0,664578.0159,3548
1653141600000,2022-05-21 14:00:00,QTUM/USDT,3.880,3.945,3.860,3.934,182426.5,711774.7601,3227
1653138000000,2022-05-21 13:00:00,QTUM/USDT,3.880,3.909,3.857,3.881,92355.7,358902.2253,1727
1653134400000,2022-05-21 12:00:00,QTUM/USDT,3.868,3.894,3.837,3.880,161388.5,624970.6483,2783
1653130800000,2022-05-21 11:00:00,QTUM/USDT,3.874,3.878,3.824,3.867,182194.5,701720.7648,2482
1653127200000,2022-05-21 10:00:00,QTUM/USDT,3.880,3.900,3.860,3.875,97528.8,378218.7644,2062
1653123600000,2022-05-21 09:00:00,QTUM/USDT,3.887,3.890,3.859,3.880,69988.8,270963.0749,1979
1653120000000,2022-05-21 08:00:00,QTUM/USDT,3.910,3.918,3.874,3.887,146750.2,571515.8837,3020
1653116400000,2022-05-21 07:00:00,QTUM/USDT,3.874,3.910,3.843,3.908,179777.5,699051.7344,3125
1653112800000,2022-05-21 06:00:00,QTUM/USDT,3.859,3.884,3.841,3.875,130393.6,504042.4979,2448
1653109200000,2022-05-21 05:00:00,QTUM/USDT,3.878,3.888,3.827,3.858,180605.5,695864.0571,3012
1653105600000,2022-05-21 04:00:00,QTUM/USDT,3.884,3.898,3.859,3.878,113396.8,439634.2099,2489
1653102000000,2022-05-21 03:00:00,QTUM/USDT,3.860,3.898,3.815,3.884,152559.7,588561.2223,2578
1653098400000,2022-05-21 02:00:00,QTUM/USDT,3.822,3.879,3.808,3.860,283548.4,1090686.0399,4066
1653094800000,2022-05-21 01:00:00,QTUM/USDT,3.834,3.837,3.763,3.822,294023.9,1115819.9793,4862
1653091200000,2022-05-21 00:00:00,QTUM/USDT,3.798,3.906,3.794,3.834,645883.2,2489526.8104,9335
1653087600000,2022-05-20 23:00:00,QTUM/USDT,3.833,3.883,3.795,3.795,160827.4,616791.9868,3035
1653084000000,2022-05-20 22:00:00,QTUM/USDT,3.810,3.873,3.794,3.834,99851.3,383623.8584,2326
1653080400000,2022-05-20 21:00:00,QTUM/USDT,3.805,3.849,3.804,3.810,109403.6,418526.6373,2301
1653076800000,2022-05-20 20:00:00,QTUM/USDT,3.843,3.879,3.780,3.804,172976.0,661657.2785,3070
1653073200000,2022-05-20 19:00:00,QTUM/USDT,3.782,3.848,3.768,3.843,138155.9,526322.4746,2807
1653069600000,2022-05-20 18:00:00,QTUM/USDT,3.798,3.800,3.751,3.782,171176.5,645869.6097,3540
1653066000000,2022-05-20 17:00:00,QTUM/USDT,3.764,3.806,3.732,3.800,245970.1,926584.2334,3628
1653062400000,2022-05-20 16:00:00,QTUM/USDT,3.813,3.820,3.721,3.765,361813.0,1363220.6049,6951
1653058800000,2022-05-20 15:00:00,QTUM/USDT,3.833,3.847,3.778,3.814,241397.3,920816.9934,4935
1653055200000,2022-05-20 14:00:00,QTUM/USDT,3.938,3.942,3.820,3.832,316795.6,1226114.4082,6254
1653051600000,2022-05-20 13:00:00,QTUM/USDT,3.928,3.956,3.883,3.938,261397.8,1025931.5471,4704
1653048000000,2022-05-20 12:00:00,QTUM/USDT,4.015,4.021,3.898,3.928,306937.0,1214364.9274,5091
1653044400000,2022-05-20 11:00:00,QTUM/USDT,4.012,4.033,3.964,4.016,142269.5,569821.5607,3127
1653040800000,2022-05-20 10:00:00,QTUM/USDT,3.966,4.012,3.965,4.012,150586.1,599293.2787,2450
1653037200000,2022-05-20 09:00:00,QTUM/USDT,3.931,3.990,3.916,3.968,92896.3,367673.8052,2237
1653033600000,2022-05-20 08:00:00,QTUM/USDT,3.928,3.975,3.911,3.929,139158.5,548426.8172,2890
1653030000000,2022-05-20 07:00:00,QTUM/USDT,3.888,3.948,3.861,3.929,146398.4,571100.7438,3091
1653026400000,2022-05-20 06:00:00,QTUM/USDT,3.955,3.957,3.841,3.887,208564.5,811313.9274,4028
1653022800000,2022-05-20 05:00:00,QTUM/USDT,3.913,3.970,3.892,3.953,171414.2,673248.7888,2969
1653019200000,2022-05-20 04:00:00,QTUM/USDT,3.941,3.972,3.876,3.914,187211.6,734768.1000,3548
1653015600000,2022-05-20 03:00:00,QTUM/USDT,3.990,3.993,3.926,3.942,113813.7,449421.9430,2140
1653012000000,2022-05-20 02:00:00,QTUM/USDT,4.015,4.017,3.954,3.991,137628.5,548640.2148,2830
1653008400000,2022-05-20 01:00:00,QTUM/USDT,3.985,4.072,3.944,4.017,257564.1,1033570.8759,5013
1653004800000,2022-05-20 00:00:00,QTUM/USDT,4.002,4.005,3.911,3.987,337715.6,1337279.4373,6792
1653001200000,2022-05-19 23:00:00,QTUM/USDT,3.914,4.035,3.914,4.002,301957.8,1202139.6284,5364
1652997600000,2022-05-19 22:00:00,QTUM/USDT,3.919,3.922,3.867,3.913,135551.6,528268.7544,2701
1652994000000,2022-05-19 21:00:00,QTUM/USDT,3.934,3.952,3.918,3.918,96589.1,380014.7878,2082
1652990400000,2022-05-19 20:00:00,QTUM/USDT,3.884,3.941,3.873,3.932,105977.0,414111.8503,2451
1652986800000,2022-05-19 19:00:00,QTUM/USDT,3.937,3.953,3.883,3.885,131270.6,513229.8596,2778
1652983200000,2022-05-19 18:00:00,QTUM/USDT,3.962,3.978,3.913,3.937,134335.5,529893.3674,2781
1652979600000,2022-05-19 17:00:00,QTUM/USDT,3.968,3.999,3.915,3.963,173669.4,686668.5104,3433
1652976000000,2022-05-19 16:00:00,QTUM/USDT,3.993,4.012,3.951,3.967,198643.3,790620.5239,3571
1652972400000,2022-05-19 15:00:00,QTUM/USDT,3.925,4.040,3.914,3.993,320614.8,1280468.7877,6108
1652968800000,2022-05-19 14:00:00,QTUM/USDT,3.881,3.967,3.880,3.923,289905.8,1138171.6471,5622
1652965200000,2022-05-19 13:00:00,QTUM/USDT,3.846,3.951,3.826,3.882,369859.7,1437960.1014,6114
1652961600000,2022-05-19 12:00:00,QTUM/USDT,3.891,3.902,3.824,3.849,232153.5,895081.6676,4360
1652958000000,2022-05-19 11:00:00,QTUM/USDT,3.752,3.904,3.727,3.890,287729.9,1100298.8208,4585
1652954400000,2022-05-19 10:00:00,QTUM/USDT,3.724,3.783,3.704,3.750,211427.3,792759.6508,3835
1652950800000,2022-05-19 09:00:00,QTUM/USDT,3.726,3.756,3.677,3.723,148298.1,551177.4597,3473
1652947200000,2022-05-19 08:00:00,QTUM/USDT,3.816,3.825,3.726,3.728,173063.4,653195.4748,3472
1652943600000,2022-05-19 07:00:00,QTUM/USDT,3.867,3.871,3.791,3.816,107858.1,412772.5556,2562
1652940000000,2022-05-19 06:00:00,QTUM/USDT,3.768,3.872,3.767,3.865,163088.3,623222.2230,3518
1652936400000,2022-05-19 05:00:00,QTUM/USDT,3.814,3.828,3.764,3.767,121491.7,460775.7011,2913
