https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QTUM,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,QTUM/USDT,3.913,3.931,3.910,3.917,35254.1,138225.9927,848
1653091200000,2022-05-21 00:00:00,QTUM/USDT,3.798,4.007,3.763,3.913,4021724.8,15606110.3011,71635
1653004800000,2022-05-20 00:00:00,QTUM/USDT,4.002,4.072,3.721,3.795,4671922.5,18174384.0525,89757
1652918400000,2022-05-19 00:00:00,QTUM/USDT,3.807,4.040,3.658,4.002,4843831.4,18700390.1430,93504
1652832000000,2022-05-18 00:00:00,QTUM/USDT,4.197,4.375,3.786,3.807,5311583.4,21419304.5505,100554
1652745600000,2022-05-17 00:00:00,QTUM/USDT,3.962,4.289,3.944,4.196,5037560.3,20789893.5001,91765
1652659200000,2022-05-16 00:00:00,QTUM/USDT,4.279,4.279,3.862,3.959,5003818.0,20192019.0979,101277
1652572800000,2022-05-15 00:00:00,QTUM/USDT,4.086,4.302,3.930,4.279,4101560.0,16696879.9969,82398
1652486400000,2022-05-14 00:00:00,QTUM/USDT,3.913,4.117,3.656,4.081,3928586.6,15328095.1634,83426
1652400000000,2022-05-13 00:00:00,QTUM/USDT,3.621,4.237,3.580,3.912,7266909.7,29091597.2574,148349
1652313600000,2022-05-12 00:00:00,QTUM/USDT,4.020,4.245,3.109,3.621,20402649.3,72771668.1733,400042
1652227200000,2022-05-11 00:00:00,QTUM/USDT,4.743,4.989,3.758,4.020,25214447.0,111161306.4558,477756
1652140800000,2022-05-10 00:00:00,QTUM/USDT,4.425,5.317,4.184,4.742,24078657.2,116763477.0995,416893
1652054400000,2022-05-09 00:00:00,QTUM/USDT,5.046,5.175,4.379,4.429,16867087.5,80040645.3341,294779
1651968000000,2022-05-08 00:00:00,QTUM/USDT,5.204,5.237,4.985,5.044,4781098.5,24376881.3882,112717
1651881600000,2022-05-07 00:00:00,QTUM/USDT,5.412,5.426,5.089,5.203,3448751.1,18298480.3291,89112
1651795200000,2022-05-06 00:00:00,QTUM/USDT,5.481,5.505,5.235,5.412,4679722.9,25202750.2255,112626
1651708800000,2022-05-05 00:00:00,QTUM/USDT,5.944,6.109,5.266,5.482,6746997.3,38111592.6521,175950
1651622400000,2022-05-04 00:00:00,QTUM/USDT,5.407,5.949,5.391,5.944,3761103.0,21207075.6055,103579
1651536000000,2022-05-03 00:00:00,QTUM/USDT,5.513,5.637,5.262,5.408,3365663.8,18472210.4313,91404
1651449600000,2022-05-02 00:00:00,QTUM/USDT,5.583,5.700,5.289,5.513,3755734.2,20627447.6508,103908
1651363200000,2022-05-01 00:00:00,QTUM/USDT,5.306,5.662,5.240,5.580,3915212.7,21409040.1209,112936
1651276800000,2022-04-30 00:00:00,QTUM/USDT,5.820,5.930,5.206,5.308,4049042.3,22887714.2495,109121
1651190400000,2022-04-29 00:00:00,QTUM/USDT,6.079,6.153,5.692,5.818,3032561.4,17988433.1093,88592
1651104000000,2022-04-28 00:00:00,QTUM/USDT,6.112,6.243,5.963,6.079,3309917.2,20182584.4111,96464
1651017600000,2022-04-27 00:00:00,QTUM/USDT,5.999,6.228,5.946,6.113,3093895.9,18828011.4188,87615
1650931200000,2022-04-26 00:00:00,QTUM/USDT,6.475,6.605,5.910,5.998,5715748.0,35905704.5545,148785
1650844800000,2022-04-25 00:00:00,QTUM/USDT,6.332,6.512,5.932,6.475,7195118.8,45160243.0776,171429
1650758400000,2022-04-24 00:00:00,QTUM/USDT,6.440,6.551,6.250,6.333,2348088.8,15040489.4155,68159
1650672000000,2022-04-23 00:00:00,QTUM/USDT,6.587,6.602,6.364,6.442,2209844.5,14353811.6340,72115
1650585600000,2022-04-22 00:00:00,QTUM/USDT,6.518,6.775,6.468,6.587,4267607.1,28314086.7557,121915
1650499200000,2022-04-21 00:00:00,QTUM/USDT,6.761,7.306,6.441,6.518,12351783.0,85478202.5056,229423
1650412800000,2022-04-20 00:00:00,QTUM/USDT,6.820,7.129,6.605,6.761,5792794.3,39474246.8489,141282
1650326400000,2022-04-19 00:00:00,QTUM/USDT,6.680,6.869,6.547,6.822,2975078.1,19946648.7866,88432
