https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SHIB,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,SHIB/USDT,0.00001175,0.00001180,0.00001172,0.00001179,32078917211.00,376942.52758237,950
1653174000000,2022-05-21 23:00:00,SHIB/USDT,0.00001174,0.00001180,0.00001171,0.00001175,89263583770.00,1049865.30531576,2596
1653170400000,2022-05-21 22:00:00,SHIB/USDT,0.00001168,0.00001175,0.00001161,0.00001173,142662320954.00,1663267.10623679,3823
1653166800000,2022-05-21 21:00:00,SHIB/USDT,0.00001176,0.00001177,0.00001168,0.00001168,59112209659.00,693523.16686157,2367
1653163200000,2022-05-21 20:00:00,SHIB/USDT,0.00001177,0.00001181,0.00001171,0.00001176,71179050933.00,836884.64449462,2488
1653159600000,2022-05-21 19:00:00,SHIB/USDT,0.00001186,0.00001191,0.00001172,0.00001178,140549218945.00,1658532.40349100,4074
1653156000000,2022-05-21 18:00:00,SHIB/USDT,0.00001177,0.00001187,0.00001176,0.00001187,98787362631.00,1168441.22778364,3353
1653152400000,2022-05-21 17:00:00,SHIB/USDT,0.00001186,0.00001192,0.00001176,0.00001177,183065481324.00,2165625.13808154,5025
1653148800000,2022-05-21 16:00:00,SHIB/USDT,0.00001179,0.00001205,0.00001177,0.00001186,415769741481.00,4942607.37866089,10525
1653145200000,2022-05-21 15:00:00,SHIB/USDT,0.00001168,0.00001183,0.00001165,0.00001178,247345875408.00,2902185.33276624,6492
1653141600000,2022-05-21 14:00:00,SHIB/USDT,0.00001161,0.00001168,0.00001156,0.00001168,136544901075.00,1586638.39030904,3546
1653138000000,2022-05-21 13:00:00,SHIB/USDT,0.00001156,0.00001165,0.00001152,0.00001160,84239581896.00,975693.57389741,2811
1653134400000,2022-05-21 12:00:00,SHIB/USDT,0.00001154,0.00001159,0.00001148,0.00001156,80849280907.00,932410.61941924,2771
1653130800000,2022-05-21 11:00:00,SHIB/USDT,0.00001158,0.00001160,0.00001148,0.00001155,172861714079.00,1995847.93024597,3485
1653127200000,2022-05-21 10:00:00,SHIB/USDT,0.00001159,0.00001164,0.00001153,0.00001158,94725496309.00,1097338.09267043,2722
1653123600000,2022-05-21 09:00:00,SHIB/USDT,0.00001163,0.00001164,0.00001154,0.00001159,127387886128.00,1476579.76057582,2847
1653120000000,2022-05-21 08:00:00,SHIB/USDT,0.00001166,0.00001168,0.00001159,0.00001163,102621919765.00,1193924.50391735,2683
1653116400000,2022-05-21 07:00:00,SHIB/USDT,0.00001163,0.00001170,0.00001157,0.00001166,98798662914.00,1150367.84497554,3060
1653112800000,2022-05-21 06:00:00,SHIB/USDT,0.00001156,0.00001165,0.00001153,0.00001163,84292877656.00,976684.29420730,2494
1653109200000,2022-05-21 05:00:00,SHIB/USDT,0.00001160,0.00001163,0.00001152,0.00001155,74484315761.00,861110.54865871,2448
1653105600000,2022-05-21 04:00:00,SHIB/USDT,0.00001159,0.00001162,0.00001156,0.00001160,63007492161.00,730195.50525069,2098
1653102000000,2022-05-21 03:00:00,SHIB/USDT,0.00001156,0.00001160,0.00001147,0.00001159,88047124242.00,1015226.41678234,2652
1653098400000,2022-05-21 02:00:00,SHIB/USDT,0.00001147,0.00001160,0.00001142,0.00001156,94252180102.00,1086204.76945444,2820
1653094800000,2022-05-21 01:00:00,SHIB/USDT,0.00001152,0.00001153,0.00001133,0.00001147,149078710720.00,1703006.21288151,3831
1653091200000,2022-05-21 00:00:00,SHIB/USDT,0.00001160,0.00001166,0.00001150,0.00001152,111131382484.00,1285317.45307818,3239
1653087600000,2022-05-20 23:00:00,SHIB/USDT,0.00001161,0.00001171,0.00001160,0.00001160,85899448238.00,1001304.35146083,2217
1653084000000,2022-05-20 22:00:00,SHIB/USDT,0.00001160,0.00001171,0.00001157,0.00001162,101970434802.00,1187905.27297646,2921
1653080400000,2022-05-20 21:00:00,SHIB/USDT,0.00001161,0.00001166,0.00001158,0.00001159,51408948100.00,597319.60180005,1883
1653076800000,2022-05-20 20:00:00,SHIB/USDT,0.00001167,0.00001175,0.00001156,0.00001162,146866614769.00,1712763.52331727,3815
1653073200000,2022-05-20 19:00:00,SHIB/USDT,0.00001154,0.00001171,0.00001152,0.00001166,184169390186.00,2140296.66414530,4630
1653069600000,2022-05-20 18:00:00,SHIB/USDT,0.00001150,0.00001159,0.00001142,0.00001154,136411853364.00,1567228.85328563,3881
1653066000000,2022-05-20 17:00:00,SHIB/USDT,0.00001141,0.00001154,0.00001138,0.00001151,306072101987.00,3500393.27297956,6604
1653062400000,2022-05-20 16:00:00,SHIB/USDT,0.00001151,0.00001152,0.00001130,0.00001142,342723513622.00,3911893.49784846,9013
1653058800000,2022-05-20 15:00:00,SHIB/USDT,0.00001162,0.00001163,0.00001146,0.00001150,378336475886.00,4359617.75862413,8761
1653055200000,2022-05-20 14:00:00,SHIB/USDT,0.00001187,0.00001189,0.00001158,0.00001162,339131892334.00,3970464.23909786,8896
1653051600000,2022-05-20 13:00:00,SHIB/USDT,0.00001184,0.00001191,0.00001174,0.00001186,280708528627.00,3321861.49150639,6984
1653048000000,2022-05-20 12:00:00,SHIB/USDT,0.00001198,0.00001202,0.00001174,0.00001183,226263901135.00,2683134.35742487,6052
1653044400000,2022-05-20 11:00:00,SHIB/USDT,0.00001197,0.00001204,0.00001186,0.00001197,217683513782.00,2604059.98453411,6027
1653040800000,2022-05-20 10:00:00,SHIB/USDT,0.00001191,0.00001198,0.00001188,0.00001198,139486099887.00,1663406.70548683,4061
1653037200000,2022-05-20 09:00:00,SHIB/USDT,0.00001184,0.00001196,0.00001181,0.00001191,153296855941.00,1822917.82823886,4088
1653033600000,2022-05-20 08:00:00,SHIB/USDT,0.00001179,0.00001190,0.00001177,0.00001183,137579269069.00,1628930.24049244,3934
1653030000000,2022-05-20 07:00:00,SHIB/USDT,0.00001175,0.00001184,0.00001168,0.00001180,146268305961.00,1720478.29981534,3810
1653026400000,2022-05-20 06:00:00,SHIB/USDT,0.00001186,0.00001188,0.00001164,0.00001175,173047771888.00,2030966.84588014,4897
1653022800000,2022-05-20 05:00:00,SHIB/USDT,0.00001177,0.00001188,0.00001172,0.00001187,96784416688.00,1141202.51188683,2951
1653019200000,2022-05-20 04:00:00,SHIB/USDT,0.00001180,0.00001190,0.00001170,0.00001178,125538308283.00,1480682.34848213,3872
1653015600000,2022-05-20 03:00:00,SHIB/USDT,0.00001187,0.00001190,0.00001177,0.00001181,85824816103.00,1014281.69329033,2850
1653012000000,2022-05-20 02:00:00,SHIB/USDT,0.00001193,0.00001195,0.00001183,0.00001188,100257964795.00,1190637.37566112,2884
1653008400000,2022-05-20 01:00:00,SHIB/USDT,0.00001180,0.00001200,0.00001172,0.00001193,198425108730.00,2359788.28227372,4984
1653004800000,2022-05-20 00:00:00,SHIB/USDT,0.00001183,0.00001184,0.00001170,0.00001180,142734837537.00,1680761.24256893,3975
1653001200000,2022-05-19 23:00:00,SHIB/USDT,0.00001171,0.00001188,0.00001170,0.00001182,156197621776.00,1843955.75301404,4669
1652997600000,2022-05-19 22:00:00,SHIB/USDT,0.00001177,0.00001178,0.00001161,0.00001172,110470726919.00,1290597.59418351,4043
1652994000000,2022-05-19 21:00:00,SHIB/USDT,0.00001187,0.00001193,0.00001176,0.00001178,104062542087.00,1232466.51240905,3609
1652990400000,2022-05-19 20:00:00,SHIB/USDT,0.00001175,0.00001187,0.00001172,0.00001187,85099485557.00,1004549.62219685,3279
1652986800000,2022-05-19 19:00:00,SHIB/USDT,0.00001189,0.00001193,0.00001175,0.00001175,164999722723.00,1947376.75522277,4974
1652983200000,2022-05-19 18:00:00,SHIB/USDT,0.00001191,0.00001195,0.00001182,0.00001188,155387694850.00,1847553.30149509,5119
1652979600000,2022-05-19 17:00:00,SHIB/USDT,0.00001188,0.00001195,0.00001179,0.00001192,214573569797.00,2546013.26106103,6325
1652976000000,2022-05-19 16:00:00,SHIB/USDT,0.00001201,0.00001208,0.00001183,0.00001187,297545656113.00,3554735.56892965,7831
1652972400000,2022-05-19 15:00:00,SHIB/USDT,0.00001177,0.00001213,0.00001172,0.00001202,514433463330.00,6161189.05586179,12508
1652968800000,2022-05-19 14:00:00,SHIB/USDT,0.00001165,0.00001188,0.00001165,0.00001177,385803329182.00,4536330.02454724,9518
1652965200000,2022-05-19 13:00:00,SHIB/USDT,0.00001165,0.00001196,0.00001150,0.00001165,596817823489.00,7016907.69044184,13862
1652961600000,2022-05-19 12:00:00,SHIB/USDT,0.00001173,0.00001176,0.00001159,0.00001165,173190960386.00,2018930.35645466,5959
1652958000000,2022-05-19 11:00:00,SHIB/USDT,0.00001152,0.00001177,0.00001142,0.00001172,250523956682.00,2902338.19843471,7550
1652954400000,2022-05-19 10:00:00,SHIB/USDT,0.00001142,0.00001158,0.00001135,0.00001152,176599945484.00,2027062.36334495,6212
1652950800000,2022-05-19 09:00:00,SHIB/USDT,0.00001140,0.00001152,0.00001130,0.00001143,235396734524.00,2688557.36640821,7523
1652947200000,2022-05-19 08:00:00,SHIB/USDT,0.00001162,0.00001165,0.00001138,0.00001140,213697318465.00,2467446.67151538,6968
1652943600000,2022-05-19 07:00:00,SHIB/USDT,0.00001174,0.00001177,0.00001158,0.00001162,131608216204.00,1535554.74750915,4375
1652940000000,2022-05-19 06:00:00,SHIB/USDT,0.00001149,0.00001176,0.00001148,0.00001174,150643637962.00,1751701.09867411,5263
1652936400000,2022-05-19 05:00:00,SHIB/USDT,0.00001154,0.00001158,0.00001144,0.00001148,124357944766.00,1430347.16871538,4861
1652932800000,2022-05-19 04:00:00,SHIB/USDT,0.00001163,0.00001176,0.00001153,0.00001154,110473176015.00,1286240.93706434,4606
1652929200000,2022-05-19 03:00:00,SHIB/USDT,0.00001154,0.00001169,0.00001152,0.00001163,177466913053.00,2060499.13464029,6046
1652925600000,2022-05-19 02:00:00,SHIB/USDT,0.00001129,0.00001155,0.00001121,0.00001153,487067216811.00,5526644.11066935,10843
1652922000000,2022-05-19 01:00:00,SHIB/USDT,0.00001159,0.00001170,0.00001125,0.00001129,227321453919.00,2609435.57777650,7309
1652918400000,2022-05-19 00:00:00,SHIB/USDT,0.00001152,0.00001172,0.00001148,0.00001160,163566945639.00,1900932.20101931,4781
1652914800000,2022-05-18 23:00:00,SHIB/USDT,0.00001173,0.00001182,0.00001147,0.00001152,271194431851.00,3143385.63564217,6672
1652911200000,2022-05-18 22:00:00,SHIB/USDT,0.00001181,0.00001191,0.00001171,0.00001173,131465022935.00,1550772.43510423,3650
1652907600000,2022-05-18 21:00:00,SHIB/USDT,0.00001187,0.00001190,0.00001175,0.00001181,69349838889.00,820331.19186369,2329
1652904000000,2022-05-18 20:00:00,SHIB/USDT,0.00001199,0.00001199,0.00001173,0.00001187,180497866459.00,2139971.18571217,4466
1652900400000,2022-05-18 19:00:00,SHIB/USDT,0.00001184,0.00001202,0.00001184,0.00001199,246150923264.00,2942932.46423105,5905
1652896800000,2022-05-18 18:00:00,SHIB/USDT,0.00001180,0.00001189,0.00001170,0.00001184,240222919151.00,2835798.88879230,6059
1652893200000,2022-05-18 17:00:00,SHIB/USDT,0.00001190,0.00001206,0.00001176,0.00001180,339043351966.00,4035145.55357476,8308
1652889600000,2022-05-18 16:00:00,SHIB/USDT,0.00001166,0.00001191,0.00001145,0.00001191,584735341703.00,6826060.43990391,13109
1652886000000,2022-05-18 15:00:00,SHIB/USDT,0.00001188,0.00001192,0.00001160,0.00001166,513757903487.00,6038210.79998516,12276
1652882400000,2022-05-18 14:00:00,SHIB/USDT,0.00001199,0.00001210,0.00001181,0.00001189,457434736465.00,5465237.20125348,10151
1652878800000,2022-05-18 13:00:00,SHIB/USDT,0.00001211,0.00001218,0.00001198,0.00001199,559725506620.00,6758244.58988127,10829
1652875200000,2022-05-18 12:00:00,SHIB/USDT,0.00001232,0.00001234,0.00001206,0.00001211,284271205896.00,3466169.68669594,7588
1652871600000,2022-05-18 11:00:00,SHIB/USDT,0.00001234,0.00001237,0.00001227,0.00001231,147402035257.00,1814417.82983834,4357
1652868000000,2022-05-18 10:00:00,SHIB/USDT,0.00001236,0.00001239,0.00001230,0.00001235,104555341987.00,1291127.04540899,3666
1652864400000,2022-05-18 09:00:00,SHIB/USDT,0.00001237,0.00001240,0.00001222,0.00001236,200979485816.00,2473522.64842018,5887
1652860800000,2022-05-18 08:00:00,SHIB/USDT,0.00001236,0.00001239,0.00001228,0.00001237,143085192109.00,1764566.22610484,4569
1652857200000,2022-05-18 07:00:00,SHIB/USDT,0.00001226,0.00001236,0.00001222,0.00001236,191183838522.00,2350023.50210202,5315
1652853600000,2022-05-18 06:00:00,SHIB/USDT,0.00001242,0.00001244,0.00001225,0.00001227,143522530632.00,1770869.96010910,4322
1652850000000,2022-05-18 05:00:00,SHIB/USDT,0.00001229,0.00001242,0.00001227,0.00001242,167343364436.00,2070089.71678966,4495
1652846400000,2022-05-18 04:00:00,SHIB/USDT,0.00001228,0.00001238,0.00001224,0.00001230,152343591717.00,1875171.08247281,4392
1652842800000,2022-05-18 03:00:00,SHIB/USDT,0.00001252,0.00001252,0.00001223,0.00001228,280518855129.00,3462448.32160656,7787
1652839200000,2022-05-18 02:00:00,SHIB/USDT,0.00001240,0.00001252,0.00001237,0.00001251,96227875340.00,1199591.31462909,3129
1652835600000,2022-05-18 01:00:00,SHIB/USDT,0.00001254,0.00001255,0.00001236,0.00001240,154636855265.00,1926191.98473281,5021
1652832000000,2022-05-18 00:00:00,SHIB/USDT,0.00001254,0.00001267,0.00001250,0.00001254,160695459894.00,2024501.61087200,4579
1652828400000,2022-05-17 23:00:00,SHIB/USDT,0.00001255,0.00001265,0.00001252,0.00001255,171232419689.00,2155029.00125233,4588
1652824800000,2022-05-17 22:00:00,SHIB/USDT,0.00001257,0.00001264,0.00001248,0.00001254,138988649170.00,1744654.90631691,4812
1652821200000,2022-05-17 21:00:00,SHIB/USDT,0.00001236,0.00001259,0.00001234,0.00001257,120394982815.00,1501715.33177436,4188
1652817600000,2022-05-17 20:00:00,SHIB/USDT,0.00001235,0.00001245,0.00001230,0.00001236,136795515687.00,1694844.38841734,3984
1652814000000,2022-05-17 19:00:00,SHIB/USDT,0.00001227,0.00001247,0.00001223,0.00001235,354852077331.00,4393628.11497740,8873
1652810400000,2022-05-17 18:00:00,SHIB/USDT,0.00001229,0.00001241,0.00001198,0.00001228,503831879997.00,6130790.12157863,14320
1652806800000,2022-05-17 17:00:00,SHIB/USDT,0.00001239,0.00001246,0.00001229,0.00001229,153323818333.00,1899944.54460812,5559
1652803200000,2022-05-17 16:00:00,SHIB/USDT,0.00001231,0.00001243,0.00001217,0.00001239,245493866072.00,3018668.33603321,7218
1652799600000,2022-05-17 15:00:00,SHIB/USDT,0.00001226,0.00001235,0.00001215,0.00001231,357974071685.00,4395222.92740958,9499
1652796000000,2022-05-17 14:00:00,SHIB/USDT,0.00001260,0.00001263,0.00001224,0.00001226,415469787059.00,5160448.59191746,11367
1652792400000,2022-05-17 13:00:00,SHIB/USDT,0.00001261,0.00001275,0.00001252,0.00001260,296739970983.00,3749639.39494654,8077
1652788800000,2022-05-17 12:00:00,SHIB/USDT,0.00001243,0.00001264,0.00001240,0.00001262,219390123214.00,2755804.55845673,6211
1652785200000,2022-05-17 11:00:00,SHIB/USDT,0.00001253,0.00001262,0.00001242,0.00001243,168945522140.00,2112561.98495864,5670
1652781600000,2022-05-17 10:00:00,SHIB/USDT,0.00001260,0.00001261,0.00001251,0.00001253,134447597756.00,1687426.99114623,4537
1652778000000,2022-05-17 09:00:00,SHIB/USDT,0.00001254,0.00001266,0.00001253,0.00001260,121888515807.00,1536273.17659145,4597
1652774400000,2022-05-17 08:00:00,SHIB/USDT,0.00001243,0.00001264,0.00001241,0.00001254,178395071382.00,2237405.37241750,5758
1652770800000,2022-05-17 07:00:00,SHIB/USDT,0.00001272,0.00001273,0.00001239,0.00001244,297054196999.00,3721508.72755151,8218
1652767200000,2022-05-17 06:00:00,SHIB/USDT,0.00001271,0.00001272,0.00001257,0.00001272,155436741978.00,1964522.07756133,5342
1652763600000,2022-05-17 05:00:00,SHIB/USDT,0.00001259,0.00001278,0.00001248,0.00001272,225202578598.00,2838398.44820889,6142
1652760000000,2022-05-17 04:00:00,SHIB/USDT,0.00001243,0.00001267,0.00001233,0.00001259,226897534388.00,2839525.05669735,6720
1652756400000,2022-05-17 03:00:00,SHIB/USDT,0.00001231,0.00001252,0.00001229,0.00001244,179248144770.00,2227687.87121514,5832
1652752800000,2022-05-17 02:00:00,SHIB/USDT,0.00001233,0.00001239,0.00001222,0.00001231,136010986130.00,1672677.12318869,4034
1652749200000,2022-05-17 01:00:00,SHIB/USDT,0.00001227,0.00001240,0.00001211,0.00001233,226247808598.00,2768739.43800467,6174
1652745600000,2022-05-17 00:00:00,SHIB/USDT,0.00001199,0.00001232,0.00001195,0.00001228,2950647949582.00,36099452.91527561,39797
1652742000000,2022-05-16 23:00:00,SHIB/USDT,0.00001207,0.00001209,0.00001187,0.00001199,359928219988.00,4317602.61021728,7151
1652738400000,2022-05-16 22:00:00,SHIB/USDT,0.00001222,0.00001225,0.00001202,0.00001207,394303400953.00,4790648.81770344,7818
1652734800000,2022-05-16 21:00:00,SHIB/USDT,0.00001211,0.00001225,0.00001208,0.00001222,168269138313.00,2048927.16841496,4647
1652731200000,2022-05-16 20:00:00,SHIB/USDT,0.00001197,0.00001211,0.00001194,0.00001211,122000083998.00,1467284.77319038,3962
1652727600000,2022-05-16 19:00:00,SHIB/USDT,0.00001206,0.00001213,0.00001195,0.00001198,211427558217.00,2542920.34844855,5469
1652724000000,2022-05-16 18:00:00,SHIB/USDT,0.00001197,0.00001215,0.00001192,0.00001206,287375099996.00,3461114.57095854,6736
1652720400000,2022-05-16 17:00:00,SHIB/USDT,0.00001181,0.00001199,0.00001178,0.00001197,265673191340.00,3167333.64453971,6464
1652716800000,2022-05-16 16:00:00,SHIB/USDT,0.00001198,0.00001204,0.00001174,0.00001181,358841571394.00,4264310.08263794,9251
1652713200000,2022-05-16 15:00:00,SHIB/USDT,0.00001193,0.00001204,0.00001185,0.00001199,273561510524.00,3269189.02079523,8086
1652709600000,2022-05-16 14:00:00,SHIB/USDT,0.00001203,0.00001217,0.00001192,0.00001193,291564846122.00,3512388.20366384,8714
1652706000000,2022-05-16 13:00:00,SHIB/USDT,0.00001214,0.00001227,0.00001199,0.00001203,442898783369.00,5359242.87246433,11120
1652702400000,2022-05-16 12:00:00,SHIB/USDT,0.00001209,0.00001234,0.00001197,0.00001214,381805647869.00,4636488.86578245,9769
1652698800000,2022-05-16 11:00:00,SHIB/USDT,0.00001227,0.00001228,0.00001206,0.00001210,235538138569.00,2860568.40757298,6478
1652695200000,2022-05-16 10:00:00,SHIB/USDT,0.00001203,0.00001229,0.00001186,0.00001228,320292535135.00,3887608.11561545,8747
1652691600000,2022-05-16 09:00:00,SHIB/USDT,0.00001228,0.00001228,0.00001195,0.00001203,275820393572.00,3333878.95128067,8270
1652688000000,2022-05-16 08:00:00,SHIB/USDT,0.00001214,0.00001236,0.00001211,0.00001227,247810026020.00,3037931.39728852,6594
1652684400000,2022-05-16 07:00:00,SHIB/USDT,0.00001201,0.00001221,0.00001191,0.00001214,339757785526.00,4090787.90126843,8788
1652680800000,2022-05-16 06:00:00,SHIB/USDT,0.00001251,0.00001251,0.00001191,0.00001203,643168899491.00,7797887.40364332,15999
