https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STX,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,STX/USDT,0.52700000,0.52800000,0.52100000,0.52600000,80847.60000000,42411.25300000,169
1653174000000,2022-05-21 23:00:00,STX/USDT,0.52400000,0.52800000,0.52200000,0.52700000,74766.40000000,39294.84660000,293
1653170400000,2022-05-21 22:00:00,STX/USDT,0.52000000,0.52600000,0.51900000,0.52400000,68354.60000000,35717.12430000,232
1653166800000,2022-05-21 21:00:00,STX/USDT,0.52000000,0.52200000,0.51900000,0.52000000,36666.60000000,19052.79270000,168
1653163200000,2022-05-21 20:00:00,STX/USDT,0.51900000,0.52200000,0.51700000,0.52000000,56121.70000000,29181.53360000,202
1653159600000,2022-05-21 19:00:00,STX/USDT,0.52300000,0.52500000,0.51700000,0.51900000,125224.40000000,65206.80760000,291
1653156000000,2022-05-21 18:00:00,STX/USDT,0.52000000,0.52400000,0.52000000,0.52100000,81786.80000000,42738.96540000,245
1653152400000,2022-05-21 17:00:00,STX/USDT,0.52200000,0.52700000,0.51800000,0.52000000,182735.10000000,95438.18740000,388
1653148800000,2022-05-21 16:00:00,STX/USDT,0.51700000,0.52500000,0.51700000,0.52300000,191455.30000000,99598.06240000,471
1653145200000,2022-05-21 15:00:00,STX/USDT,0.51500000,0.52000000,0.51100000,0.51700000,106811.20000000,55147.72100000,342
1653141600000,2022-05-21 14:00:00,STX/USDT,0.51100000,0.51800000,0.50900000,0.51500000,125090.10000000,64203.21460000,306
1653138000000,2022-05-21 13:00:00,STX/USDT,0.51100000,0.51500000,0.51000000,0.51100000,80096.40000000,41075.51120000,248
1653134400000,2022-05-21 12:00:00,STX/USDT,0.51100000,0.51400000,0.50600000,0.51100000,108748.90000000,55347.02180000,320
1653130800000,2022-05-21 11:00:00,STX/USDT,0.50900000,0.51300000,0.50500000,0.51100000,78763.60000000,40089.30020000,367
1653127200000,2022-05-21 10:00:00,STX/USDT,0.50900000,0.51600000,0.50900000,0.50900000,146792.90000000,75084.46610000,408
1653123600000,2022-05-21 09:00:00,STX/USDT,0.51000000,0.51100000,0.50700000,0.50900000,116223.40000000,59206.39560000,342
1653120000000,2022-05-21 08:00:00,STX/USDT,0.51600000,0.51700000,0.50900000,0.51000000,102770.60000000,52762.28990000,354
1653116400000,2022-05-21 07:00:00,STX/USDT,0.51400000,0.51900000,0.51200000,0.51500000,97524.50000000,50309.79120000,307
1653112800000,2022-05-21 06:00:00,STX/USDT,0.50900000,0.51600000,0.50700000,0.51500000,106459.00000000,54464.57490000,411
1653109200000,2022-05-21 05:00:00,STX/USDT,0.51000000,0.51100000,0.50500000,0.50900000,118022.00000000,59898.23670000,396
1653105600000,2022-05-21 04:00:00,STX/USDT,0.51200000,0.51300000,0.50900000,0.51000000,94518.60000000,48213.03010000,272
1653102000000,2022-05-21 03:00:00,STX/USDT,0.50800000,0.51500000,0.50200000,0.51200000,155376.80000000,78909.76050000,396
1653098400000,2022-05-21 02:00:00,STX/USDT,0.50500000,0.51000000,0.50100000,0.50800000,162294.20000000,82163.46570000,432
1653094800000,2022-05-21 01:00:00,STX/USDT,0.51000000,0.51000000,0.49500000,0.50500000,217943.20000000,109700.24530000,489
1653091200000,2022-05-21 00:00:00,STX/USDT,0.50900000,0.51600000,0.50600000,0.51100000,164674.40000000,84237.94840000,477
1653087600000,2022-05-20 23:00:00,STX/USDT,0.50800000,0.51500000,0.50800000,0.51000000,84358.00000000,43177.37680000,353
1653084000000,2022-05-20 22:00:00,STX/USDT,0.50700000,0.51600000,0.50600000,0.50800000,168009.30000000,86055.11520000,429
1653080400000,2022-05-20 21:00:00,STX/USDT,0.50700000,0.51200000,0.50600000,0.50700000,69161.50000000,35192.35620000,281
1653076800000,2022-05-20 20:00:00,STX/USDT,0.50900000,0.51400000,0.50700000,0.50700000,111937.90000000,57106.38100000,326
1653073200000,2022-05-20 19:00:00,STX/USDT,0.50400000,0.51200000,0.50300000,0.51000000,140324.90000000,71241.06930000,341
1653069600000,2022-05-20 18:00:00,STX/USDT,0.50300000,0.51000000,0.49500000,0.50600000,141266.60000000,70709.69090000,395
1653066000000,2022-05-20 17:00:00,STX/USDT,0.50200000,0.51000000,0.49900000,0.50300000,229294.40000000,115408.37870000,517
1653062400000,2022-05-20 16:00:00,STX/USDT,0.50200000,0.50500000,0.49400000,0.50300000,272231.10000000,135733.34950000,433
1653058800000,2022-05-20 15:00:00,STX/USDT,0.50300000,0.50500000,0.49700000,0.50100000,205212.80000000,102914.31010000,350
1653055200000,2022-05-20 14:00:00,STX/USDT,0.52800000,0.52800000,0.50100000,0.50300000,426493.20000000,218141.63750000,770
1653051600000,2022-05-20 13:00:00,STX/USDT,0.52800000,0.53200000,0.52200000,0.52700000,135141.20000000,71365.33890000,396
