https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRX,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,TRX/USDT,0.07396,0.07430,0.07378,0.07407,25759586,1907749.06675,5820
1653174000000,2022-05-21 23:00:00,TRX/USDT,0.07427,0.07444,0.07393,0.07397,44155970,3276282.89186,8821
1653170400000,2022-05-21 22:00:00,TRX/USDT,0.07372,0.07427,0.07355,0.07427,43654608,3229650.72482,8230
1653166800000,2022-05-21 21:00:00,TRX/USDT,0.07370,0.07414,0.07360,0.07373,52696328,3896562.10052,8587
1653163200000,2022-05-21 20:00:00,TRX/USDT,0.07381,0.07394,0.07342,0.07369,52523936,3869475.89294,9570
1653159600000,2022-05-21 19:00:00,TRX/USDT,0.07422,0.07440,0.07350,0.07382,93914430,6938680.17450,14733
1653156000000,2022-05-21 18:00:00,TRX/USDT,0.07379,0.07434,0.07379,0.07422,64642971,4789162.42190,14439
1653152400000,2022-05-21 17:00:00,TRX/USDT,0.07408,0.07439,0.07375,0.07378,92451950,6846988.28141,14971
1653148800000,2022-05-21 16:00:00,TRX/USDT,0.07485,0.07491,0.07402,0.07409,164006668,12208531.37060,25198
1653145200000,2022-05-21 15:00:00,TRX/USDT,0.07546,0.07586,0.07440,0.07486,463503399,34811857.34037,55299
1653141600000,2022-05-21 14:00:00,TRX/USDT,0.07272,0.07547,0.07266,0.07546,683934568,50882871.11645,72286
1653138000000,2022-05-21 13:00:00,TRX/USDT,0.07231,0.07278,0.07212,0.07272,105048393,7616730.44491,16565
1653134400000,2022-05-21 12:00:00,TRX/USDT,0.07198,0.07236,0.07173,0.07231,99946740,7204161.04037,16061
1653130800000,2022-05-21 11:00:00,TRX/USDT,0.07184,0.07200,0.07148,0.07198,57412115,4120208.43069,10436
1653127200000,2022-05-21 10:00:00,TRX/USDT,0.07182,0.07210,0.07151,0.07183,61734442,4434100.95386,11008
1653123600000,2022-05-21 09:00:00,TRX/USDT,0.07176,0.07187,0.07159,0.07181,40005442,2870824.33204,8053
1653120000000,2022-05-21 08:00:00,TRX/USDT,0.07168,0.07198,0.07161,0.07175,54850863,3939145.39580,12025
1653116400000,2022-05-21 07:00:00,TRX/USDT,0.07160,0.07197,0.07134,0.07167,74610759,5350651.20965,12814
1653112800000,2022-05-21 06:00:00,TRX/USDT,0.07127,0.07166,0.07118,0.07159,58008710,4146059.28596,11694
1653109200000,2022-05-21 05:00:00,TRX/USDT,0.07149,0.07167,0.07103,0.07127,88016656,6278259.62951,11164
1653105600000,2022-05-21 04:00:00,TRX/USDT,0.07146,0.07159,0.07119,0.07150,61032871,4358438.02685,11410
1653102000000,2022-05-21 03:00:00,TRX/USDT,0.07113,0.07150,0.07080,0.07146,50058892,3561417.00228,10162
1653098400000,2022-05-21 02:00:00,TRX/USDT,0.07080,0.07128,0.07029,0.07114,102612797,7271277.67857,18992
1653094800000,2022-05-21 01:00:00,TRX/USDT,0.07134,0.07140,0.07041,0.07080,116639377,8262054.25338,19451
1653091200000,2022-05-21 00:00:00,TRX/USDT,0.07114,0.07152,0.07083,0.07134,89802710,6388917.36433,20171
1653087600000,2022-05-20 23:00:00,TRX/USDT,0.07111,0.07180,0.07106,0.07114,72073601,5148028.41088,15150
1653084000000,2022-05-20 22:00:00,TRX/USDT,0.07099,0.07168,0.07090,0.07111,113003733,8065638.06333,20401
1653080400000,2022-05-20 21:00:00,TRX/USDT,0.07092,0.07137,0.07079,0.07098,89873656,6388800.07976,15690
1653076800000,2022-05-20 20:00:00,TRX/USDT,0.07035,0.07119,0.07002,0.07092,258831443,18300385.21205,32090
1653073200000,2022-05-20 19:00:00,TRX/USDT,0.07333,0.07343,0.06980,0.07036,525037414,37206731.85439,71442
1653069600000,2022-05-20 18:00:00,TRX/USDT,0.07342,0.07349,0.07284,0.07333,82212535,6016416.89361,14760
1653066000000,2022-05-20 17:00:00,TRX/USDT,0.07343,0.07357,0.07277,0.07343,147421332,10789913.18511,20677
1653062400000,2022-05-20 16:00:00,TRX/USDT,0.07278,0.07357,0.07221,0.07342,284343994,20788278.75894,34657
1653058800000,2022-05-20 15:00:00,TRX/USDT,0.07237,0.07294,0.07192,0.07277,211415980,15311226.26187,29049
1653055200000,2022-05-20 14:00:00,TRX/USDT,0.07378,0.07397,0.07182,0.07237,347332455,25208523.42320,43810
1653051600000,2022-05-20 13:00:00,TRX/USDT,0.07371,0.07405,0.07322,0.07378,158452841,11674911.43158,23658
1653048000000,2022-05-20 12:00:00,TRX/USDT,0.07483,0.07495,0.07322,0.07372,193861230,14350924.89801,25769
1653044400000,2022-05-20 11:00:00,TRX/USDT,0.07450,0.07499,0.07410,0.07483,165371147,12351357.66385,19988
1653040800000,2022-05-20 10:00:00,TRX/USDT,0.07440,0.07455,0.07403,0.07450,62864127,4670085.14153,11889
1653037200000,2022-05-20 09:00:00,TRX/USDT,0.07441,0.07462,0.07407,0.07440,107965659,8029557.02394,15065
1653033600000,2022-05-20 08:00:00,TRX/USDT,0.07359,0.07443,0.07354,0.07440,126486326,9369636.78324,17723
1653030000000,2022-05-20 07:00:00,TRX/USDT,0.07358,0.07395,0.07329,0.07359,115179689,8482884.48773,16825
1653026400000,2022-05-20 06:00:00,TRX/USDT,0.07477,0.07479,0.07328,0.07358,172364734,12733984.68555,24462
1653022800000,2022-05-20 05:00:00,TRX/USDT,0.07462,0.07507,0.07430,0.07476,119636540,8933054.59544,18373
1653019200000,2022-05-20 04:00:00,TRX/USDT,0.07432,0.07469,0.07400,0.07463,105405961,7844463.55882,15913
1653015600000,2022-05-20 03:00:00,TRX/USDT,0.07450,0.07461,0.07395,0.07432,76999414,5716790.70011,14267
1653012000000,2022-05-20 02:00:00,TRX/USDT,0.07423,0.07471,0.07378,0.07451,86113657,6388395.05847,16063
1653008400000,2022-05-20 01:00:00,TRX/USDT,0.07368,0.07475,0.07328,0.07423,153394488,11365898.05766,21901
1653004800000,2022-05-20 00:00:00,TRX/USDT,0.07355,0.07371,0.07304,0.07369,84689831,6212050.30520,15394
1653001200000,2022-05-19 23:00:00,TRX/USDT,0.07340,0.07410,0.07329,0.07355,98958549,7296331.84435,16061
1652997600000,2022-05-19 22:00:00,TRX/USDT,0.07337,0.07353,0.07297,0.07339,68651185,5025553.20396,10791
1652994000000,2022-05-19 21:00:00,TRX/USDT,0.07371,0.07399,0.07334,0.07337,56281294,4146120.72273,9777
1652990400000,2022-05-19 20:00:00,TRX/USDT,0.07319,0.07374,0.07310,0.07371,60659479,4455699.70464,10870
1652986800000,2022-05-19 19:00:00,TRX/USDT,0.07407,0.07425,0.07317,0.07318,109681686,8073253.70990,16335
1652983200000,2022-05-19 18:00:00,TRX/USDT,0.07403,0.07425,0.07347,0.07407,116531618,8615397.00239,17985
1652979600000,2022-05-19 17:00:00,TRX/USDT,0.07374,0.07418,0.07345,0.07402,116236244,8577225.57009,19350
1652976000000,2022-05-19 16:00:00,TRX/USDT,0.07423,0.07444,0.07345,0.07373,164342742,12143849.97416,25954
