https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,XLM/USDT,0.13057,0.13271,0.13050,0.13191,14764484,1946509.29728,6516
1653174000000,2022-05-21 23:00:00,XLM/USDT,0.13036,0.13129,0.12999,0.13056,5909514,772195.16335,3882
1653170400000,2022-05-21 22:00:00,XLM/USDT,0.12853,0.13043,0.12817,0.13037,19214115,2488552.57246,6307
1653166800000,2022-05-21 21:00:00,XLM/USDT,0.12966,0.13023,0.12851,0.12854,6163115,798395.24566,2906
1653163200000,2022-05-21 20:00:00,XLM/USDT,0.12942,0.13012,0.12872,0.12965,4330796,560678.63225,3263
1653159600000,2022-05-21 19:00:00,XLM/USDT,0.13046,0.13083,0.12902,0.12943,7676285,997274.36519,3992
1653156000000,2022-05-21 18:00:00,XLM/USDT,0.12997,0.13056,0.12950,0.13047,6726936,874336.00242,3948
1653152400000,2022-05-21 17:00:00,XLM/USDT,0.13020,0.13111,0.12983,0.12997,6291119,819612.96622,4285
1653148800000,2022-05-21 16:00:00,XLM/USDT,0.12971,0.13113,0.12951,0.13022,12112777,1578759.85868,6829
1653145200000,2022-05-21 15:00:00,XLM/USDT,0.12905,0.13043,0.12802,0.12973,14699759,1901604.73371,7508
1653141600000,2022-05-21 14:00:00,XLM/USDT,0.12786,0.12920,0.12752,0.12900,7893863,1012540.38129,4799
1653138000000,2022-05-21 13:00:00,XLM/USDT,0.12724,0.12831,0.12679,0.12783,6342696,809113.09617,3336
1653134400000,2022-05-21 12:00:00,XLM/USDT,0.12738,0.12839,0.12666,0.12723,11339056,1447875.59759,4688
1653130800000,2022-05-21 11:00:00,XLM/USDT,0.12726,0.12764,0.12650,0.12739,4570040,581277.17310,2942
1653127200000,2022-05-21 10:00:00,XLM/USDT,0.12748,0.12820,0.12705,0.12726,4453069,567995.92465,3041
1653123600000,2022-05-21 09:00:00,XLM/USDT,0.12800,0.12842,0.12712,0.12749,11337361,1448721.81028,4567
1653120000000,2022-05-21 08:00:00,XLM/USDT,0.12757,0.12846,0.12754,0.12801,9797172,1253391.56305,4807
1653116400000,2022-05-21 07:00:00,XLM/USDT,0.12662,0.12798,0.12615,0.12758,7046426,896534.24133,3924
1653112800000,2022-05-21 06:00:00,XLM/USDT,0.12617,0.12689,0.12575,0.12662,4257149,538167.54282,2913
1653109200000,2022-05-21 05:00:00,XLM/USDT,0.12642,0.12663,0.12503,0.12622,5474563,689266.76558,3412
1653105600000,2022-05-21 04:00:00,XLM/USDT,0.12751,0.12770,0.12611,0.12642,7572461,960830.60116,3693
1653102000000,2022-05-21 03:00:00,XLM/USDT,0.12664,0.12770,0.12526,0.12750,9444641,1193733.90862,4447
1653098400000,2022-05-21 02:00:00,XLM/USDT,0.12492,0.12707,0.12422,0.12662,10365237,1302951.13947,5531
1653094800000,2022-05-21 01:00:00,XLM/USDT,0.12571,0.12591,0.12334,0.12488,10702040,1332444.87766,6711
1653091200000,2022-05-21 00:00:00,XLM/USDT,0.12620,0.12682,0.12448,0.12573,13704207,1723364.12429,7311
