https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,XLM/USDT,0.13057,0.13271,0.13050,0.13210,13558368,1787165.08098,5937
1653091200000,2022-05-21 00:00:00,XLM/USDT,0.12620,0.13129,0.12334,0.13056,207424397,26549618.28700,109042
1653004800000,2022-05-20 00:00:00,XLM/USDT,0.13059,0.13414,0.12432,0.12620,291472459,37795484.02796,159507
1652918400000,2022-05-19 00:00:00,XLM/USDT,0.12762,0.13368,0.12273,0.13057,301681825,38847874.91728,164215
1652832000000,2022-05-18 00:00:00,XLM/USDT,0.14159,0.14313,0.12717,0.12755,264553906,35650590.76914,143490
1652745600000,2022-05-17 00:00:00,XLM/USDT,0.13632,0.14225,0.13346,0.14158,274257844,37921294.18727,139867
1652659200000,2022-05-16 00:00:00,XLM/USDT,0.14502,0.14510,0.13350,0.13631,321313553,44290440.45391,174054
1652572800000,2022-05-15 00:00:00,XLM/USDT,0.13805,0.14526,0.13388,0.14510,229024803,31674602.20675,122515
1652486400000,2022-05-14 00:00:00,XLM/USDT,0.13211,0.14030,0.12718,0.13805,277975480,37297020.22342,146300
1652400000000,2022-05-13 00:00:00,XLM/USDT,0.12053,0.13979,0.11961,0.13209,341030197,45479632.50053,181148
1652313600000,2022-05-12 00:00:00,XLM/USDT,0.12613,0.13085,0.10404,0.12051,849276074,99283319.16973,442351
1652227200000,2022-05-11 00:00:00,XLM/USDT,0.14823,0.15110,0.11700,0.12617,1117625325,152097690.77932,581527
1652140800000,2022-05-10 00:00:00,XLM/USDT,0.14039,0.15617,0.13593,0.14824,800938637,118933618.12400,408853
1652054400000,2022-05-09 00:00:00,XLM/USDT,0.16153,0.16504,0.13853,0.14021,619891006,93056897.38723,339886
1651968000000,2022-05-08 00:00:00,XLM/USDT,0.16733,0.16810,0.15949,0.16151,266118595,43718360.03447,167886
1651881600000,2022-05-07 00:00:00,XLM/USDT,0.17134,0.17337,0.16448,0.16733,257996036,43724818.47851,153273
1651795200000,2022-05-06 00:00:00,XLM/USDT,0.17085,0.17277,0.16434,0.17135,308073446,51988862.58782,183881
1651708800000,2022-05-05 00:00:00,XLM/USDT,0.18460,0.18753,0.16665,0.17086,392909269,69389156.14332,217182
1651622400000,2022-05-04 00:00:00,XLM/USDT,0.17177,0.18497,0.17132,0.18463,282676457,50074874.68875,167154
1651536000000,2022-05-03 00:00:00,XLM/USDT,0.17338,0.17725,0.16935,0.17176,187441581,32568112.98388,122455
1651449600000,2022-05-02 00:00:00,XLM/USDT,0.17538,0.17768,0.17024,0.17338,205583166,35864211.01414,133825
1651363200000,2022-05-01 00:00:00,XLM/USDT,0.16875,0.17668,0.16775,0.17549,234372138,40457406.28569,162388
1651276800000,2022-04-30 00:00:00,XLM/USDT,0.17779,0.18134,0.16641,0.16877,215601853,37779559.56812,152734
1651190400000,2022-04-29 00:00:00,XLM/USDT,0.18568,0.18794,0.17579,0.17779,218963002,39864929.28712,147317
1651104000000,2022-04-28 00:00:00,XLM/USDT,0.18410,0.18861,0.18240,0.18568,211523638,39313096.85897,146824
1651017600000,2022-04-27 00:00:00,XLM/USDT,0.18021,0.18685,0.17931,0.18410,229948400,42210673.06566,141059
1650931200000,2022-04-26 00:00:00,XLM/USDT,0.19202,0.19254,0.17736,0.18020,273803738,50691584.44726,189912
