https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,XMR/USDT,175.65,176.53,175.00,175.40,8046.270,1412845.02890,5313
1653174000000,2022-05-21 23:00:00,XMR/USDT,178.03,178.52,175.31,175.66,10401.272,1840202.54640,7234
1653170400000,2022-05-21 22:00:00,XMR/USDT,176.94,178.48,176.65,177.97,7042.203,1251558.48464,5382
1653166800000,2022-05-21 21:00:00,XMR/USDT,178.71,178.71,176.52,176.93,8749.315,1554490.63438,6386
1653163200000,2022-05-21 20:00:00,XMR/USDT,180.35,180.92,178.55,178.71,14109.916,2534369.36044,8433
1653159600000,2022-05-21 19:00:00,XMR/USDT,178.02,181.01,177.45,180.34,21186.175,3802703.76347,12089
1653156000000,2022-05-21 18:00:00,XMR/USDT,177.80,179.39,177.36,178.08,12936.416,2308014.44456,7970
1653152400000,2022-05-21 17:00:00,XMR/USDT,175.33,178.69,175.32,177.79,16673.926,2955460.19973,9804
1653148800000,2022-05-21 16:00:00,XMR/USDT,177.45,178.41,175.25,175.46,23329.619,4126553.52896,11779
1653145200000,2022-05-21 15:00:00,XMR/USDT,179.71,179.86,177.13,177.41,26644.641,4746246.92513,12882
1653141600000,2022-05-21 14:00:00,XMR/USDT,176.30,180.00,175.66,179.77,29793.218,5295577.02414,15255
1653138000000,2022-05-21 13:00:00,XMR/USDT,175.07,178.06,174.11,176.29,24032.427,4233566.40314,11706
1653134400000,2022-05-21 12:00:00,XMR/USDT,174.46,175.98,173.76,175.06,18599.493,3254167.28589,9562
1653130800000,2022-05-21 11:00:00,XMR/USDT,173.67,174.73,172.96,174.50,9311.296,1618868.31954,6109
1653127200000,2022-05-21 10:00:00,XMR/USDT,174.65,175.56,172.83,173.60,47677.677,8285602.78514,11151
1653123600000,2022-05-21 09:00:00,XMR/USDT,174.87,175.64,173.91,174.68,22156.369,3875131.22097,9988
1653120000000,2022-05-21 08:00:00,XMR/USDT,172.64,176.13,172.56,174.79,18689.167,3254852.86624,10443
