https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZEC,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,ZEC/USDT,104.40,105.52,104.40,105.28,11962.156,1256761.01492,5262
1653174000000,2022-05-21 23:00:00,ZEC/USDT,103.69,105.55,103.36,104.43,26277.639,2745617.88527,8988
1653170400000,2022-05-21 22:00:00,ZEC/USDT,102.93,103.87,102.58,103.68,12355.518,1276280.27965,5485
1653166800000,2022-05-21 21:00:00,ZEC/USDT,103.83,104.45,102.77,102.93,12810.402,1329041.82295,5840
1653163200000,2022-05-21 20:00:00,ZEC/USDT,104.35,104.82,103.12,103.83,16925.560,1759058.49286,7378
1653159600000,2022-05-21 19:00:00,ZEC/USDT,105.27,105.91,103.52,104.34,25344.690,2648517.63777,9245
1653156000000,2022-05-21 18:00:00,ZEC/USDT,104.14,105.49,104.03,105.31,15158.274,1591278.65422,7321
1653152400000,2022-05-21 17:00:00,ZEC/USDT,105.66,106.95,103.90,104.15,36078.548,3808577.86079,12618
1653148800000,2022-05-21 16:00:00,ZEC/USDT,104.02,106.14,103.93,105.67,41138.656,4327829.03483,17243
1653145200000,2022-05-21 15:00:00,ZEC/USDT,103.55,104.26,102.68,104.02,44143.507,4572615.97653,14888
1653141600000,2022-05-21 14:00:00,ZEC/USDT,102.65,104.30,102.30,103.57,27557.315,2847562.14252,10621
1653138000000,2022-05-21 13:00:00,ZEC/USDT,102.33,103.30,101.68,102.68,24963.815,2562099.13843,8719
1653134400000,2022-05-21 12:00:00,ZEC/USDT,101.99,102.57,101.30,102.31,23002.643,2346658.13368,8815
1653130800000,2022-05-21 11:00:00,ZEC/USDT,102.36,102.77,101.20,102.00,34481.506,3518713.43345,11693
1653127200000,2022-05-21 10:00:00,ZEC/USDT,103.40,104.34,102.08,102.37,31685.069,3267824.58719,10245
1653123600000,2022-05-21 09:00:00,ZEC/USDT,103.88,104.01,102.41,103.41,30081.065,3107874.40339,9664
1653120000000,2022-05-21 08:00:00,ZEC/USDT,104.07,105.31,103.57,103.91,154365.310,16121901.22812,18542
1653116400000,2022-05-21 07:00:00,ZEC/USDT,103.31,104.86,102.68,104.08,64714.080,6730378.18897,14983
1653112800000,2022-05-21 06:00:00,ZEC/USDT,103.19,103.91,101.98,103.25,49704.917,5122864.85146,13057
1653109200000,2022-05-21 05:00:00,ZEC/USDT,103.94,104.14,102.38,103.18,37253.140,3849342.24678,11134
1653105600000,2022-05-21 04:00:00,ZEC/USDT,104.87,105.03,103.27,103.94,23622.962,2451041.84108,7787
1653102000000,2022-05-21 03:00:00,ZEC/USDT,104.74,105.19,103.12,104.85,22193.342,2308942.30719,10093
1653098400000,2022-05-21 02:00:00,ZEC/USDT,104.22,105.77,102.87,104.65,32737.295,3422593.84748,13819
1653094800000,2022-05-21 01:00:00,ZEC/USDT,106.27,106.73,102.92,104.21,41684.709,4355501.45925,15788
1653091200000,2022-05-21 00:00:00,ZEC/USDT,107.04,107.80,105.01,106.26,36180.640,3852307.64484,15370
1653087600000,2022-05-20 23:00:00,ZEC/USDT,105.91,108.97,105.91,107.04,39294.081,4237854.21055,15288
1653084000000,2022-05-20 22:00:00,ZEC/USDT,105.71,107.50,105.71,105.91,22775.156,2431186.94368,9025
1653080400000,2022-05-20 21:00:00,ZEC/USDT,105.33,107.29,105.29,105.69,28256.614,3002365.70411,9526
1653076800000,2022-05-20 20:00:00,ZEC/USDT,106.70,107.75,105.27,105.37,34795.099,3708919.88784,14429
1653073200000,2022-05-20 19:00:00,ZEC/USDT,103.67,106.79,103.02,106.69,44331.112,4644396.25486,15718
1653069600000,2022-05-20 18:00:00,ZEC/USDT,103.84,104.19,102.00,103.62,29444.035,3031693.84331,12925
1653066000000,2022-05-20 17:00:00,ZEC/USDT,102.82,104.05,101.67,103.84,38359.118,3943537.35612,14904
1653062400000,2022-05-20 16:00:00,ZEC/USDT,103.95,104.00,100.87,102.84,65882.111,6733045.35770,23804
1653058800000,2022-05-20 15:00:00,ZEC/USDT,104.03,106.23,102.30,103.95,123932.780,12893726.45570,29969
1653055200000,2022-05-20 14:00:00,ZEC/USDT,106.97,107.12,103.44,104.04,92885.472,9749043.54055,24823
1653051600000,2022-05-20 13:00:00,ZEC/USDT,106.31,107.17,104.50,106.96,49080.340,5208042.66842,17900
1653048000000,2022-05-20 12:00:00,ZEC/USDT,107.61,108.14,104.88,106.30,45680.964,4864329.51865,16474
1653044400000,2022-05-20 11:00:00,ZEC/USDT,109.27,110.12,106.49,107.59,69606.288,7524999.15432,22049
1653040800000,2022-05-20 10:00:00,ZEC/USDT,108.97,109.96,108.56,109.35,59344.629,6470456.59798,11510
1653037200000,2022-05-20 09:00:00,ZEC/USDT,109.06,110.33,108.65,108.97,33961.917,3717317.86021,12575
1653033600000,2022-05-20 08:00:00,ZEC/USDT,109.80,111.50,108.57,109.07,63979.020,7044683.63530,20506
1653030000000,2022-05-20 07:00:00,ZEC/USDT,107.45,110.26,107.33,109.82,52401.363,5712892.49942,18650
1653026400000,2022-05-20 06:00:00,ZEC/USDT,107.09,107.67,105.65,107.50,41607.437,4441779.84226,14615
1653022800000,2022-05-20 05:00:00,ZEC/USDT,105.01,107.95,104.62,107.09,28721.385,3055506.48100,11286
1653019200000,2022-05-20 04:00:00,ZEC/USDT,106.40,107.38,103.93,105.02,25764.953,2719219.02022,10882
1653015600000,2022-05-20 03:00:00,ZEC/USDT,106.86,107.39,105.87,106.39,13512.138,1436751.75090,7059
1653012000000,2022-05-20 02:00:00,ZEC/USDT,107.35,107.53,105.53,106.89,20667.847,2201296.23010,9103
1653008400000,2022-05-20 01:00:00,ZEC/USDT,106.25,108.98,104.88,107.37,101067.091,10820480.67021,23739
1653004800000,2022-05-20 00:00:00,ZEC/USDT,104.67,106.49,103.86,106.25,27859.571,2925558.35951,11445
1653001200000,2022-05-19 23:00:00,ZEC/USDT,102.86,105.24,102.69,104.65,34524.597,3594227.30535,13922
1652997600000,2022-05-19 22:00:00,ZEC/USDT,102.76,102.98,100.78,102.85,20788.891,2114912.16644,8789
1652994000000,2022-05-19 21:00:00,ZEC/USDT,104.12,104.17,102.45,102.77,23350.107,2412264.69491,8072
1652990400000,2022-05-19 20:00:00,ZEC/USDT,103.22,104.59,102.99,104.11,25837.467,2680649.42745,8519
1652986800000,2022-05-19 19:00:00,ZEC/USDT,105.83,106.11,103.08,103.24,34209.456,3564617.40335,10979
1652983200000,2022-05-19 18:00:00,ZEC/USDT,106.81,106.91,105.03,105.85,24492.974,2595103.04720,10886
1652979600000,2022-05-19 17:00:00,ZEC/USDT,106.46,107.65,105.79,106.79,24144.905,2576575.86658,11588
1652976000000,2022-05-19 16:00:00,ZEC/USDT,107.45,108.38,106.24,106.47,48429.559,5188655.26038,18259
1652972400000,2022-05-19 15:00:00,ZEC/USDT,104.39,109.40,103.75,107.44,178763.532,19270325.92305,36913
1652968800000,2022-05-19 14:00:00,ZEC/USDT,102.36,104.93,102.36,104.36,43999.383,4570027.15531,17180
1652965200000,2022-05-19 13:00:00,ZEC/USDT,100.32,104.35,100.25,102.36,65577.607,6718890.72401,21496
1652961600000,2022-05-19 12:00:00,ZEC/USDT,101.90,102.08,99.97,100.32,34668.206,3496562.01163,13375
1652958000000,2022-05-19 11:00:00,ZEC/USDT,98.42,102.02,97.67,101.87,44564.747,4444039.90351,15253
1652954400000,2022-05-19 10:00:00,ZEC/USDT,97.31,99.10,96.72,98.42,93472.342,9132283.50758,19159
1652950800000,2022-05-19 09:00:00,ZEC/USDT,98.07,98.99,95.36,97.31,112723.555,10938142.19529,23873
1652947200000,2022-05-19 08:00:00,ZEC/USDT,101.36,101.45,97.89,98.00,40545.430,4048356.42835,15850
1652943600000,2022-05-19 07:00:00,ZEC/USDT,102.00,102.40,100.46,101.35,29298.351,2971298.77343,10384
1652940000000,2022-05-19 06:00:00,ZEC/USDT,99.80,102.75,99.54,101.99,35812.833,3622133.23611,12915
1652936400000,2022-05-19 05:00:00,ZEC/USDT,100.15,100.35,99.27,99.80,22392.049,2234761.95162,8407
