https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZEC,Volume USDT,tradecount
1653177600000,2022-05-22 00:00:00,ZEC/USDT,104.40,105.34,104.40,105.14,9919.070,1041510.13867,4267
1653091200000,2022-05-21 00:00:00,ZEC/USDT,107.04,107.80,101.20,104.43,864460.602,89924423.09870,269336
1653004800000,2022-05-20 00:00:00,ZEC/USDT,104.67,111.50,100.87,107.04,1153210.521,122519083.84292,378204
1652918400000,2022-05-19 00:00:00,ZEC/USDT,99.58,109.40,93.96,104.65,1257005.074,127669647.52973,397560
1652832000000,2022-05-18 00:00:00,ZEC/USDT,114.53,116.12,98.71,99.58,1328754.052,143045038.05002,408145
1652745600000,2022-05-17 00:00:00,ZEC/USDT,102.82,116.60,99.56,114.54,1025212.856,109893968.30586,329140
1652659200000,2022-05-16 00:00:00,ZEC/USDT,112.23,112.23,101.29,102.81,1010174.516,106541460.16014,316346
1652572800000,2022-05-15 00:00:00,ZEC/USDT,105.45,114.00,102.27,112.24,868800.990,92471273.08600,305055
1652486400000,2022-05-14 00:00:00,ZEC/USDT,93.78,107.47,86.79,105.48,1210465.093,117736069.13800,439258
1652400000000,2022-05-13 00:00:00,ZEC/USDT,86.55,99.97,85.52,93.76,1080482.219,102590119.57921,453673
1652313600000,2022-05-12 00:00:00,ZEC/USDT,83.22,89.45,69.25,86.58,2445920.516,189288341.67690,945057
1652227200000,2022-05-11 00:00:00,ZEC/USDT,92.89,96.87,75.31,83.21,2526255.251,218684261.39911,964885
1652140800000,2022-05-10 00:00:00,ZEC/USDT,92.39,105.00,87.78,92.90,1487531.409,144083285.34128,650084
1652054400000,2022-05-09 00:00:00,ZEC/USDT,114.01,116.80,91.73,92.40,1560525.211,158793399.87082,647187
1651968000000,2022-05-08 00:00:00,ZEC/USDT,112.65,116.33,108.71,114.00,617434.909,69518471.80950,273164
1651881600000,2022-05-07 00:00:00,ZEC/USDT,123.65,124.48,110.17,112.65,713490.298,84054134.87925,295797
1651795200000,2022-05-06 00:00:00,ZEC/USDT,125.45,128.50,119.58,123.65,855593.673,105914823.89332,357301
1651708800000,2022-05-05 00:00:00,ZEC/USDT,134.39,139.85,118.69,125.49,1056734.371,135901224.75114,421517
1651622400000,2022-05-04 00:00:00,ZEC/USDT,119.68,135.08,118.77,134.38,689425.902,86669344.87604,292795
1651536000000,2022-05-03 00:00:00,ZEC/USDT,124.68,127.45,117.33,119.63,573165.022,70120442.18929,236254
1651449600000,2022-05-02 00:00:00,ZEC/USDT,124.00,125.85,115.50,124.67,693870.434,83684155.62673,252759
1651363200000,2022-05-01 00:00:00,ZEC/USDT,113.81,125.97,110.98,124.01,926064.322,110174916.65229,350473
1651276800000,2022-04-30 00:00:00,ZEC/USDT,128.25,133.62,108.36,113.84,962262.241,120233287.44384,384685
1651190400000,2022-04-29 00:00:00,ZEC/USDT,146.89,147.75,125.52,128.22,989677.348,133625899.94828,398347
1651104000000,2022-04-28 00:00:00,ZEC/USDT,149.13,152.15,144.78,146.88,598483.751,88915148.74606,265288
